"年度","縣市","雨水下水道系統規劃幹線已建設長度","雨水下水道系統規劃幹線長度","雨水下水道系統規劃幹線建設完工比率","小型汽車路外停車位","小型汽車路邊停車位","每萬輛小型車擁有路外及路邊停車位數","道路里程長度","道路路面面積","道路里程密度","平均每人享有道路面積","市內電話用戶數","每千人電話用戶數","公墓總面積","自來水供水普及率","電燈用戶數","電燈售電量","電燈用戶平均每戶售電量","電力用戶數","電力售電量","電力用戶平均每戶售電量","收寄函件","郵政儲金結存戶數","郵政儲金結存金額","國民通信率"
1998, 苗栗縣,-,-,52.490000,4165.000000,4146.000000,589.587339,1291.000000,11526.000000,0.709218,20.587363,208481.000000,372.381925,5306178.000000,67.341004,233162.000000,900.192732,3915.950087,3930.000000,3163.125541,80.394600,-,-,-,-
1998, 彰化縣,-,-,42.770000,2843.000000,3668.000000,209.227744,2027.000000,16557.000000,1.886641,12.721798,502425.000000,386.045132,9437082.000000,89.310371,644954.000000,2240.356376,3517.106472,39792.000000,4385.782296,11.107886,-,-,-,-
1998, 南投縣,-,-,54.050000,1446.000000,2292.000000,271.046335,2013.000000,16180.000000,0.490206,29.640540,218579.000000,400.420243,7331057.000000,79.426205,236053.000000,824.275598,3535.114587,3280.000000,873.042856,26.776349,-,-,-,-
1998, 雲林縣,-,-,53.290000,2581.000000,3720.000000,376.071335,2168.000000,16380.000000,1.679533,21.869305,266951.000000,356.412259,4410370.000000,95.187952,415301.000000,1173.878499,2869.287258,14688.000000,1356.619612,9.231217,-,-,-,-
1998, 嘉義縣,-,-,58.930000,1236.000000,3582.000000,380.412469,2077.000000,15784.000000,1.092196,27.900087,147699.000000,261.075454,5339769.000000,88.376319,274861.000000,817.547697,3012.568021,14004.000000,1137.925128,8.137046,-,-,-,-
1998, 屏東縣,-,-,50.380000,3850.000000,7086.000000,570.751590,2535.000000,19180.000000,0.913316,21.064423,328144.000000,360.383948,11235899.000000,40.889472,449919.000000,1568.916871,3519.798787,23456.000000,1588.232682,6.842881,-,-,-,-
1998, 臺東縣,-,-,48.610000,1966.000000,2438.000000,871.268325,1218.000000,8657.000000,0.346490,34.636728,88037.000000,352.236764,2177457.000000,75.856316,97465.000000,367.114469,3812.512659,1864.000000,274.014409,14.839665,-,-,-,-
1998, 花蓮縣,-,-,53.480000,3548.000000,2563.000000,734.654132,1381.000000,11844.000000,0.298364,33.213592,148944.000000,417.676899,2118622.000000,78.914529,140915.000000,604.484854,4339.290435,2379.000000,1013.897973,43.043854,-,-,-,-
1998, 澎湖縣,-,-,84.440000,966.000000,1031.000000,1507.283569,249.000000,2032.000000,1.962730,22.713300,35175.000000,393.179303,2766044.000000,92.486279,36286.000000,149.971939,4196.369154,1067.000000,93.098994,8.891977,-,-,-,-
1998, 基隆市,-,-,31.570000,3664.000000,1808.000000,830.651527,215.000000,2571.000000,1.619477,6.728288,190411.000000,498.304189,956579.000000,98.664549,168719.000000,768.257581,4602.990827,2182.000000,567.568284,26.331166,-,-,-,-
1998, 新竹市,-,-,24.450000,1005.000000,3490.000000,477.307962,368.000000,4183.000000,3.535185,11.741985,227561.000000,638.780271,1051161.000000,96.466457,157617.000000,803.357791,5249.846698,4227.000000,3968.377846,94.417746,-,-,-,-
1998, 嘉義市,-,-,54.140000,1874.000000,1337.000000,513.095029,462.000000,9974.000000,7.696716,37.916746,191521.000000,728.078312,573562.000000,98.981562,127553.000000,582.952414,4612.494424,2271.000000,370.468205,16.305819,-,-,-,-
1998, 金門縣,-,-,-,-,-,-,-,-,-,-,20075.000000,393.164904,210000.000000,-,16849.000000,91.302037,5453.146808,1173.000000,51.110963,4.497225,-,-,-,-
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,4481.000000,673.328325,-,-,3477.000000,26.448680,7656.297583,332.000000,16.701596,4.827051,-,-,-,-
1999, 總計,3196.000000,6476.000000,49.340000,-,-,-,-,-,-,-,12043756.000000,545.154129,98843958.000000,78.183589,10100915.000000,44881.849043,4502.616014,268652.000000,86844.042654,32.515142,-,-,-,-
1999, 臺灣地區,3196.000000,6476.000000,49.340000,160560.000000,179980.000000,664.461032,35593.000000,366935.000000,0.988525,16.653054,12017426.000000,545.401363,98633958.000000,90.315110,10079893.000000,44761.233929,4499.848620,267123.000000,86779.203050,32.676461,-,-,-,-
1999, 新北市,217.000000,605.000000,35.820000,19565.000000,22033.000000,581.392586,2366.000000,26622.000000,1.152703,7.582634,2151531.000000,612.811696,7826684.000000,96.331272,1509549.000000,8013.425501,5409.184461,29944.000000,7401.902749,25.009385,-,-,-,-
1999, 臺北市,503.000000,540.000000,93.180000,58985.000000,28994.000000,1394.144148,1258.000000,19966.000000,4.628408,7.559122,2218864.000000,840.061303,3406200.000000,99.480000,996034.000000,6594.677976,6655.203726,18885.000000,6224.672146,33.418367,-,-,-,-
1999, 桃園市,122.000000,415.000000,29.330000,7114.000000,1309.000000,192.422356,1947.000000,19973.000000,1.594655,11.809315,902348.000000,533.525849,2595194.000000,93.659640,743286.000000,3665.545100,5034.142064,12506.000000,15268.747274,123.793962,-,-,-,-
1999, 臺中市,311.000000,826.000000,37.670000,11690.000000,31312.000000,664.386228,3776.000000,47014.000000,1.704820,19.411262,1424749.000000,588.254068,7219756.000000,88.162615,1176380.000000,5427.976317,4669.144602,25141.000000,7270.690064,28.861107,-,-,-,-
1999, 臺南市,398.000000,930.000000,42.770000,5560.000000,12686.000000,418.999417,3914.000000,41810.000000,1.785867,22.824756,898882.000000,490.714239,12548517.000000,98.224080,929384.000000,3452.555338,3770.107743,27050.000000,8195.063738,30.377965,-,-,-,-
1999, 高雄市,521.000000,854.000000,60.980000,21028.000000,43033.000000,1072.200873,3781.000000,47636.000000,1.283319,17.604774,1394015.000000,515.184284,8782297.000000,93.785148,1289709.000000,5324.693427,4184.806531,32095.000000,16392.764718,51.191396,-,-,-,-
1999, 宜蘭縣,103.000000,330.000000,31.010000,1812.000000,978.000000,274.244599,1130.000000,9184.000000,0.527144,19.750368,194940.000000,419.222200,3950000.000000,87.673654,212667.000000,774.415613,3684.806963,4540.000000,1829.358680,40.272068,-,-,-,-
1999, 新竹縣,56.000000,93.000000,60.830000,2685.000000,1242.000000,331.431562,1054.000000,8451.000000,0.738306,19.482810,177000.000000,408.053171,2056129.000000,70.175463,171350.000000,727.538167,4310.762518,2489.000000,3983.026425,161.027953,-,-,-,-
1999, 苗栗縣,72.000000,136.000000,52.940000,3842.000000,4146.000000,555.946076,1303.000000,11968.000000,0.715810,21.378911,217993.000000,389.409508,4235191.000000,68.942344,239402.000000,916.423888,3878.517568,3920.000000,3124.755418,79.611603,-,-,-,-
1999, 彰化縣,160.000000,327.000000,49.010000,2843.000000,3818.000000,218.595554,2042.000000,17775.000000,1.900603,13.614013,525175.000000,402.235685,8746234.000000,90.497840,661810.000000,2247.010594,3439.045756,40548.000000,4710.962983,11.727565,-,-,-,-
1999, 南投縣,62.000000,114.000000,54.700000,1446.000000,2332.000000,281.021735,2066.000000,17665.000000,0.503113,32.470158,224957.000000,413.495013,6858346.000000,77.446612,230224.000000,801.539468,3438.039912,3182.000000,886.627676,27.441277,-,-,-,-
1999, 雲林縣,100.000000,185.000000,53.940000,2641.000000,3770.000000,373.627526,2171.000000,16417.000000,1.681857,21.999595,276543.000000,370.581354,4410370.000000,95.188552,426195.000000,1197.615307,2846.395721,14665.000000,1854.633960,12.636759,-,-,-,-
1999, 嘉義縣,96.000000,160.000000,60.200000,1604.000000,5444.000000,544.621400,2180.000000,17824.000000,1.146359,31.677988,153219.000000,272.310908,5339769.000000,88.385034,283895.000000,825.910958,2956.249089,14134.000000,1156.349895,8.219134,-,-,-,-
1999, 屏東縣,150.000000,292.000000,51.390000,4388.000000,7080.000000,609.581723,2634.000000,24109.000000,0.948984,26.522115,334890.000000,368.409762,11235899.000000,41.551350,457865.000000,1555.126642,3426.204123,23780.000000,1657.010542,7.015880,-,-,-,-
1999, 臺東縣,56.000000,115.000000,48.500000,2807.000000,2415.000000,1081.383309,1281.000000,9316.000000,0.364412,37.594683,90221.000000,364.086505,2177457.000000,75.957321,99506.000000,364.759596,3703.688320,1875.000000,286.144875,15.305957,-,-,-,-
1999, 花蓮縣,147.000000,254.000000,57.950000,4324.000000,2571.000000,834.513392,1388.000000,12098.000000,0.299877,34.013146,153517.000000,431.608216,2118622.000000,79.902779,144304.000000,612.434920,4294.488937,2416.000000,1051.536781,43.859720,-,-,-,-
1999, 澎湖縣,13.000000,16.000000,84.440000,1012.000000,1009.000000,1572.395550,250.000000,2133.000000,1.970613,23.962792,36808.000000,413.512633,2545396.000000,92.632537,36997.000000,151.663469,4139.117367,1107.000000,97.631537,8.981742,-,-,-,-
1999, 基隆市,32.000000,102.000000,31.570000,3816.000000,1810.000000,846.587917,216.000000,2626.000000,1.627010,6.817220,199772.000000,518.617553,956579.000000,98.719110,176187.000000,721.777953,4185.360376,2294.000000,597.458067,26.696071,-,-,-,-
1999, 新竹市,21.000000,82.000000,25.900000,1524.000000,2780.000000,453.405811,373.000000,4332.000000,3.583217,11.968239,243224.000000,671.967466,1051756.000000,96.779461,165049.000000,818.015762,5070.356108,4286.000000,4406.659981,103.527781,-,-,-,-
1999, 嘉義市,55.000000,101.000000,54.580000,1874.000000,1218.000000,488.815113,463.000000,10016.000000,7.713376,37.780686,198778.000000,749.797253,573562.000000,99.004560,130100.000000,568.127933,4410.023815,2266.000000,383.205541,16.892464,-,-,-,-
1999, 金門縣,-,-,-,-,-,-,-,-,-,-,21415.000000,413.968414,210000.000000,-,17493.000000,94.768307,5519.090734,1216.000000,50.169960,4.200080,-,-,-,-
1999, 連江縣,-,-,-,-,-,-,-,-,-,-,4915.000000,749.237805,-,-,3529.000000,25.846807,7378.477591,313.000000,14.669644,4.548727,-,-,-,-
2000, 總計,3303.000000,6513.000000,50.710000,-,-,-,-,-,-,-,12642193.000000,567.508154,113922546.000000,90.496664,10312034.000000,47644.777003,4668.093474,273521.000000,94768.110050,34.958624,-,-,-,-
2000, 臺灣地區,3303.000000,6513.000000,50.710000,183653.000000,222533.000000,758.237483,35771.000000,376256.000000,0.993468,16.936181,12613477.000000,567.762705,113702546.000000,90.480620,10290539.000000,47515.896989,4665.183045,271984.000000,94698.420230,35.131586,-,-,-,-
2000, 新北市,228.000000,613.000000,37.150000,20014.000000,34280.000000,724.576950,2315.000000,26087.000000,1.127856,7.311592,2279043.000000,638.763854,8442285.000000,96.518649,1550672.000000,8603.665200,5622.904490,30836.000000,8685.144138,28.578954,-,-,-,-
2000, 臺北市,508.000000,540.000000,94.070000,69717.000000,41548.000000,1722.536408,1251.000000,20113.000000,4.602654,7.599924,2314395.000000,874.520211,3406200.000000,99.479080,1007515.000000,6884.633373,6872.438231,19315.000000,6849.360911,35.860528,-,-,-,-
2000, 桃園市,123.000000,415.000000,29.740000,8819.000000,2809.000000,251.327640,1964.000000,20565.000000,1.608578,11.869328,962759.000000,555.667525,2073953.000000,93.892649,767578.000000,3948.852420,5227.277134,13000.000000,17108.190447,134.150321,-,-,-,-
2000, 臺中市,342.000000,820.000000,41.750000,13864.000000,32645.000000,675.967537,3839.000000,47669.000000,1.733264,19.376870,1491273.000000,606.184388,8301202.000000,88.201039,1197960.000000,5797.753789,4883.676128,25337.000000,7956.308397,31.523865,-,-,-,-
2000, 臺南市,403.000000,930.000000,43.330000,5054.000000,17658.000000,508.296294,3995.000000,44818.000000,1.822825,24.326711,942184.000000,511.406979,12615965.000000,98.222258,947834.000000,3663.343074,3902.949017,27335.000000,8823.392198,32.447889,-,-,-,-
2000, 高雄市,527.000000,854.000000,61.750000,23405.000000,47679.000000,1129.335655,3902.000000,53420.000000,1.324388,19.601749,1453949.000000,533.506992,9746234.000000,93.824128,1316184.000000,5626.079604,4317.966704,32336.000000,17127.707808,53.166047,-,-,-,-
2000, 宜蘭縣,103.000000,330.000000,31.230000,1812.000000,978.000000,266.445107,1146.000000,9368.000000,0.534608,20.138181,202403.000000,435.101228,3998773.000000,87.972553,216359.000000,825.685573,3849.116711,4581.000000,1850.791896,40.583092,-,-,-,-
2000, 新竹縣,57.000000,93.000000,61.580000,3450.000000,1308.000000,377.538147,1065.000000,9053.000000,0.746011,20.588429,191100.000000,434.601661,1036200.000000,71.772042,177036.000000,798.652272,4584.870069,2552.000000,3918.567505,155.467864,-,-,-,-
2000, 苗栗縣,74.000000,136.000000,54.170000,3842.000000,4146.000000,530.045652,1319.000000,12112.000000,0.724600,21.640048,230574.000000,411.957770,4235191.000000,69.803807,245965.000000,970.431552,3998.753735,3891.000000,3450.500571,88.349778,-,-,-,-
2000, 彰化縣,181.000000,327.000000,55.420000,2843.000000,6470.000000,284.701099,2092.000000,17037.000000,1.947141,13.000074,551759.000000,421.019419,9471442.000000,90.589845,674479.000000,2353.275209,3522.105187,41982.000000,5187.121714,12.570270,-,-,-,-
2000, 南投縣,64.000000,114.000000,56.300000,1837.000000,2332.000000,288.434263,2070.000000,17886.000000,0.504087,33.028214,234242.000000,432.550315,7359586.000000,77.291302,231775.000000,812.742964,3518.375425,3191.000000,967.904790,30.375170,-,-,-,-
2000, 雲林縣,102.000000,185.000000,55.120000,2641.000000,3800.000000,372.245436,2139.000000,16732.000000,1.657067,22.508367,288078.000000,387.530806,2728082.000000,95.191883,436241.000000,1274.356682,2955.249275,14680.000000,1816.759071,12.382069,-,-,-,-
2000, 嘉義縣,107.000000,196.000000,54.880000,2826.000000,5444.000000,628.534079,2014.000000,15607.000000,1.059068,27.755400,159422.000000,283.515174,5437409.000000,88.419274,290629.000000,868.687729,3024.025903,14349.000000,1234.093054,8.665471,-,-,-,-
2000, 屏東縣,154.000000,292.000000,52.770000,4973.000000,7351.000000,643.144541,2643.000000,24412.000000,0.952226,26.897608,344371.000000,379.434546,25382500.000000,41.690741,463697.000000,1634.432794,3547.092424,24155.000000,1782.790477,7.438366,-,-,-,-
2000, 臺東縣,56.000000,115.000000,49.230000,2967.000000,2415.000000,1081.417778,1283.000000,9489.000000,0.364981,38.681353,93326.000000,380.437973,2197152.000000,75.970601,101663.000000,384.659825,3824.245535,1869.000000,294.012975,15.705821,-,-,-,-
2000, 花蓮縣,148.000000,254.000000,58.470000,6501.000000,3386.000000,1135.784032,1408.000000,12435.000000,0.304198,35.163872,159031.000000,449.710149,2118622.000000,80.448774,147082.000000,635.792006,4363.915947,2440.000000,1093.762909,45.047896,-,-,-,-
2000, 澎湖縣,14.000000,16.000000,89.750000,1193.000000,2008.000000,2318.389223,252.000000,2125.000000,1.986378,23.744078,38447.000000,429.594619,2585388.000000,92.815321,37545.000000,161.215680,4325.499182,1164.000000,108.680861,9.571190,-,-,-,-
2000, 基隆市,32.000000,102.000000,31.570000,3921.000000,1755.000000,815.002010,229.000000,2844.000000,1.724931,7.321877,209071.000000,538.253202,956600.000000,98.381155,177612.000000,781.303871,4416.653925,2327.000000,633.554296,27.420658,-,-,-,-
2000, 新竹市,22.000000,82.000000,26.520000,2100.000000,3049.000000,509.701049,375.000000,4383.000000,3.602430,11.896135,262988.000000,713.789800,1036200.000000,97.051344,170778.000000,894.133376,5324.964199,4361.000000,5404.808157,125.010019,-,-,-,-
2000, 嘉義市,56.000000,101.000000,55.100000,1874.000000,1472.000000,521.606285,470.000000,10101.000000,7.829993,37.947577,205062.000000,770.379776,573562.000000,99.031869,131935.000000,596.199996,4550.537111,2283.000000,404.968055,17.804707,-,-,-,-
2000, 金門縣,-,-,-,-,-,-,-,-,-,-,23208.000000,431.119037,220000.000000,96.600535,17932.000000,101.731025,5743.459421,1229.000000,54.482146,4.456617,-,-,-,-
2000, 連江縣,-,-,-,-,-,-,-,-,-,-,5508.000000,818.060300,-,94.638348,3563.000000,27.148989,7656.229272,308.000000,15.207674,4.897802,-,-,-,-
2001, 總計,3442.000000,6494.000000,53.000000,-,-,-,-,-,-,-,12857775.000000,573.865166,101328459.000000,90.544489,10469508.000000,48816.166139,4698.031180,276181.000000,94807.413528,34.494113,-,-,-,-
2001, 臺灣地區,3442.000000,6494.000000,53.000000,205821.000000,239441.000000,811.219506,36466.000000,389569.000000,1.012771,17.438371,12827633.000000,574.206418,101040459.000000,90.533255,10447662.000000,48674.518347,4694.189081,274631.000000,94725.803445,34.659057,-,-,-,-
2001, 新北市,294.000000,615.000000,47.840000,23104.000000,35260.000000,762.125134,2355.000000,26971.000000,1.147344,7.470670,2327998.000000,644.829779,8726416.000000,96.681783,1574667.000000,8843.384568,5659.152219,31165.000000,8170.018661,26.354474,-,-,-,-
2001, 臺北市,511.000000,540.000000,94.620000,77042.000000,44417.000000,1879.815267,1262.000000,20436.000000,4.643125,7.759125,2319513.000000,880.670984,3163627.000000,99.476574,1014387.000000,7013.142985,6937.173993,19591.000000,7035.019114,36.164186,-,-,-,-
2001, 桃園市,124.000000,403.000000,30.910000,7242.000000,4138.000000,237.257322,2020.000000,21052.000000,1.654444,11.941260,991027.000000,562.137152,2146396.000000,92.458151,785970.000000,3970.419490,5111.421713,13284.000000,17121.338935,130.279554,-,-,-,-
2001, 臺中市,348.000000,820.000000,42.420000,16124.000000,34420.000000,716.497125,3904.000000,50188.000000,1.762610,20.188514,1524373.000000,613.190918,8250265.000000,88.772100,1221042.000000,5955.414848,4923.861037,25264.000000,7905.095237,31.244818,-,-,-,-
2001, 臺南市,413.000000,930.000000,44.400000,9344.000000,19016.000000,621.255435,4120.000000,46598.000000,1.879860,25.212053,958419.000000,518.556813,14187558.000000,98.404160,959746.000000,3741.263904,3922.523725,27447.000000,8788.973179,32.087084,-,-,-,-
2001, 高雄市,537.000000,854.000000,62.850000,27417.000000,55812.000000,1281.110360,3993.000000,55048.000000,1.355274,20.153657,1467772.000000,537.366896,8412371.000000,94.024562,1334967.000000,5744.595340,4333.661372,32496.000000,16716.036216,51.567239,-,-,-,-
2001, 宜蘭縣,105.000000,335.000000,31.280000,2515.000000,978.000000,327.596717,1178.000000,9780.000000,0.549536,20.996181,206234.000000,442.753205,4105672.000000,88.206716,217771.000000,844.913006,3892.442384,4572.000000,1659.360874,36.258295,-,-,-,-
2001, 新竹縣,65.000000,93.000000,69.900000,3426.000000,1617.000000,387.976797,1081.000000,9617.000000,0.757219,21.548286,201085.000000,450.560161,1388713.000000,71.701098,182006.000000,838.530635,4670.933401,2705.000000,4568.845980,173.819516,-,-,-,-
2001, 苗栗縣,74.000000,136.000000,54.580000,3842.000000,4146.000000,521.035810,1340.000000,12639.000000,0.736136,22.543878,239211.000000,426.674872,5244430.000000,70.288064,249435.000000,1000.585508,4039.505482,3873.000000,3290.215788,84.755687,-,-,-,-
2001, 彰化縣,183.000000,313.000000,58.380000,3409.000000,7026.000000,308.416657,2066.000000,17601.000000,1.922941,13.395038,564960.000000,429.956301,9413091.000000,91.072410,683670.000000,2395.504105,3527.601324,42157.000000,5164.956711,12.277200,-,-,-,-
2001, 南投縣,70.000000,114.000000,61.120000,1835.000000,3109.000000,330.481283,2094.000000,18200.000000,0.509931,33.590615,239472.000000,441.978672,7058483.000000,77.305294,240069.000000,871.529627,3694.143094,3276.000000,981.356044,30.349653,-,-,-,-
2001, 雲林縣,104.000000,185.000000,56.200000,2641.000000,820.000000,194.470978,2178.000000,18012.000000,1.687280,24.223938,293947.000000,395.322784,2510607.000000,94.984009,444706.000000,1303.045042,2958.282489,14958.000000,2173.082451,14.664164,-,-,-,-
2001, 嘉義縣,107.000000,196.000000,54.880000,2912.000000,5444.000000,614.411765,2037.000000,16276.000000,1.071162,28.890684,162389.000000,288.248294,5224139.000000,88.414261,294828.000000,890.007831,3040.386676,14576.000000,1219.064290,8.429139,-,-,-,-
2001, 屏東縣,155.000000,292.000000,53.190000,3216.000000,7359.000000,534.439104,2712.000000,25187.000000,0.977086,27.697380,346912.000000,381.488601,10978812.000000,41.670772,467925.000000,1679.033653,3604.538435,24703.000000,1769.978608,7.245399,-,-,-,-
2001, 臺東縣,64.000000,115.000000,55.680000,2787.000000,2415.000000,1015.321558,1285.000000,9508.000000,0.365550,38.869720,96679.000000,395.234085,2877493.000000,76.040014,103232.000000,401.767695,3921.693502,1863.000000,311.896642,16.714718,-,-,-,-
2001, 花蓮縣,150.000000,256.000000,58.580000,6501.000000,3426.000000,1119.052182,1407.000000,12443.000000,0.303981,35.235417,160011.000000,453.110532,2246007.000000,80.458120,149055.000000,667.124690,4505.513934,2456.000000,1412.005445,57.679961,-,-,-,-
2001, 澎湖縣,14.000000,16.000000,89.750000,1776.000000,2289.000000,2668.198228,254.000000,2127.000000,2.002142,23.052413,39733.000000,430.626003,2585688.000000,91.889929,38351.000000,169.537491,4467.626515,1220.000000,121.709868,10.210559,-,-,-,-
2001, 基隆市,33.000000,100.000000,32.450000,3984.000000,1755.000000,805.801660,314.000000,2948.000000,2.365190,7.540298,211617.000000,541.267016,956579.000000,98.510101,177716.000000,781.377873,4398.065297,2355.000000,616.761495,26.346070,-,-,-,-
2001, 新竹市,35.000000,82.000000,42.880000,3762.000000,4482.000000,794.020766,382.000000,4571.000000,3.669675,12.244974,269326.000000,721.481077,990550.000000,96.805752,174403.000000,949.246199,5499.991013,4358.000000,5291.129828,121.370107,-,-,-,-
2001, 嘉義市,56.000000,101.000000,55.660000,2942.000000,1512.000000,677.857762,484.000000,10367.000000,8.063226,38.683846,206955.000000,772.240320,573562.000000,99.047736,133716.000000,614.093857,4623.312971,2312.000000,408.958079,17.800134,-,-,-,-
2001, 金門縣,-,-,-,-,-,-,-,-,-,-,24272.000000,426.138558,223000.000000,93.927104,18211.000000,110.348797,6106.233406,1238.000000,64.035623,5.191376,-,-,-,-
2001, 連江縣,-,-,-,-,-,-,-,-,-,-,5870.000000,663.201898,65000.000000,97.130268,3635.000000,31.298995,8696.580995,312.000000,17.574460,5.669181,-,-,-,-
2002, 總計,3618.000000,6535.000000,55.360000,-,-,-,-,-,-,-,13099416.000000,581.659176,100461091.000000,90.803683,10616930.000000,50757.785618,4814.258873,280472.000000,100434.904363,36.085283,-,-,-,-
2002, 臺灣地區,3618.000000,6535.000000,55.360000,237577.000000,246872.000000,853.394923,37037.000000,402587.000000,1.028629,17.930146,13067611.000000,581.996368,100245423.000000,90.793227,10594331.000000,50605.559525,4809.958783,278886.000000,100343.575792,36.256728,-,-,-,-
2002, 新北市,352.000000,615.000000,57.200000,34836.000000,40749.000000,957.014434,2388.000000,28367.000000,1.163421,7.790037,2373517.000000,651.806178,8821138.000000,96.691919,1593659.000000,9371.533940,5915.763681,31427.000000,8249.056331,26.358181,-,-,-,-
2002, 臺北市,512.000000,540.000000,94.760000,86410.000000,43545.000000,1976.543987,1263.000000,20447.000000,4.646804,7.739635,2353124.000000,890.708653,3163627.000000,99.564549,1022245.000000,7140.008864,7011.584679,20132.000000,7451.944426,37.519545,-,-,-,-
2002, 桃園市,180.000000,433.000000,41.550000,10358.000000,4774.000000,306.374708,2128.000000,22340.000000,1.742899,12.462324,1024863.000000,571.717776,2328208.000000,93.014739,804774.000000,4250.337616,5343.836112,13527.000000,18418.755483,137.397005,-,-,-,-
2002, 臺中市,351.000000,820.000000,42.820000,17525.000000,43258.000000,827.574094,3981.000000,52235.000000,1.797375,20.823243,1537510.000000,612.921293,7216875.000000,89.577974,1238265.000000,6133.587501,4988.061678,25322.000000,8277.457311,32.726277,-,-,-,-
2002, 臺南市,429.000000,930.000000,46.060000,10237.000000,18812.000000,610.155180,4192.000000,48168.000000,1.912711,25.999318,981747.000000,529.910982,12399884.000000,98.660064,973331.000000,3886.026770,4020.560764,27807.000000,9717.501177,35.173928,-,-,-,-
2002, 高雄市,546.000000,854.000000,64.000000,30844.000000,49145.000000,1204.666314,3980.000000,55416.000000,1.350862,20.203397,1497980.000000,546.129013,8155301.000000,95.762468,1355532.000000,5950.780443,4423.551500,32795.000000,17582.666045,53.859387,-,-,-,-
2002, 宜蘭縣,107.000000,335.000000,31.910000,2842.000000,978.000000,344.410985,1325.000000,12341.000000,0.618112,26.590851,209216.000000,450.792597,3612337.000000,88.490370,219866.000000,857.548947,3918.996552,4578.000000,1740.078899,38.034511,-,-,-,-
2002, 新竹縣,68.000000,95.000000,71.350000,3537.000000,1798.000000,395.006701,1074.000000,9346.000000,0.752315,20.645977,209766.000000,463.387964,1748035.000000,71.861297,186704.000000,887.206847,4812.491373,2756.000000,4781.927957,175.130121,-,-,-,-
2002, 苗栗縣,75.000000,136.000000,54.820000,3749.000000,4146.000000,503.648983,1377.000000,13554.000000,0.756463,24.170510,245171.000000,437.207320,5276792.000000,70.907830,254222.000000,1043.649136,4144.285242,3800.000000,3489.755572,90.961959,-,-,-,-
2002, 彰化縣,186.000000,313.000000,59.450000,3409.000000,7176.000000,300.633361,2078.000000,17801.000000,1.934110,13.524756,572166.000000,434.717466,9734750.000000,90.961716,691596.000000,2457.756657,3574.227323,42270.000000,5434.250613,12.873253,-,-,-,-
