"年度","縣市","機動車輛登記數","小客車登記數","小貨車登記數","機車登記數","汽車登記數","每千人持有車輛數(年底)-小客車","每千人持有車輛數(年底)-機車","車輛成長率-小客車","車輛成長率-機車","每汽車享有道路面積","領有汽車駕照人數","領有機車駕照人數","觀光旅館家數","觀光旅館房間數","觀光旅館平均房價","觀光旅館住用率"
2000, 新北市,2486649.000000,671687.000000,77633.000000,1710798.000000,775851.000000,188.258570,479.497721,4.700141,5.232150,0.033624,-,-,-,-,-,-
2000, 臺北市,1625526.000000,595742.000000,50195.000000,959013.000000,666513.000000,225.107823,362.373860,2.390900,2.964787,0.030176,-,-,-,-,-,-
2000, 桃園市,1265709.000000,412815.000000,49848.000000,781627.000000,484082.000000,238.260966,451.125090,5.994860,5.159867,0.042482,-,-,-,-,-,-
2000, 臺中市,1967726.000000,603291.000000,84745.000000,1248796.000000,718930.000000,245.230475,507.620428,6.041261,5.004902,0.066305,-,-,-,-,-,-
2000, 臺南市,1526924.000000,391135.000000,55691.000000,1061830.000000,465094.000000,212.303721,576.349495,2.901559,4.078226,0.096363,-,-,-,-,-,-
2000, 高雄市,2378381.000000,562404.000000,67028.000000,1715548.000000,662833.000000,206.366569,629.497220,5.283218,5.008885,0.080593,-,-,-,-,-,-
2000, 宜蘭縣,356904.000000,89978.000000,14734.000000,247163.000000,109741.000000,193.423706,531.320805,3.064041,2.146978,0.085365,-,-,-,-,-,-
2000, 新竹縣,331488.000000,111525.000000,14502.000000,200399.000000,131089.000000,253.631346,455.749546,6.736788,3.969432,0.069060,-,-,-,-,-,-
2000, 苗栗縣,447430.000000,130454.000000,20250.000000,289386.000000,158044.000000,233.077186,517.034927,5.198900,3.505553,0.076637,-,-,-,-,-,-
2000, 彰化縣,1079041.000000,274782.000000,52333.000000,737345.000000,341696.000000,209.672263,562.630720,7.096171,4.237822,0.049860,-,-,-,-,-,-
2000, 南投縣,436541.000000,120248.000000,24291.000000,286207.000000,150334.000000,222.049463,528.508671,6.910869,4.501639,0.118975,-,-,-,-,-,-
2000, 雲林縣,586590.000000,142055.000000,30976.000000,405092.000000,181498.000000,191.096469,544.941402,1.647919,3.022581,0.092188,-,-,-,-,-,-
