"年度","縣市","農戶數","稻作收穫面積","稻米產量","耕地面積","水田面積","旱田面積","耕地率","水田占耕地面積比率","旱田占耕地面積比率","平均每一農戶耕地面積"
2004, 雲林縣,,,,,,,,,,
2004, 嘉義縣,,,,,,,,,,
2004, 屏東縣,,,,,,,,,,
2004, 臺東縣,,,,,,,,,,
2004, 花蓮縣,,,,,,,,,,
2004, 澎湖縣,,,,,,,,,,
2004, 基隆市,,,,,,,,,,
2004, 新竹市,,,,,,,,,,
2004, 嘉義市,,,,,,,,,,
2004, 金門縣,,,,,,,,,,
2004, 連江縣,,,,,,,,,,
2005, 總計,,,,,,,,,,
2005, 臺灣地區,,,,,,,,,,
2005, 新北市,,,,,,,,,,
2005, 臺北市,,,,,,,,,,
2005, 桃園市,,,,,,,,,,
2005, 臺中市,,,,,,,,,,
2005, 臺南市,,,,,,,,,,
2005, 高雄市,,,,,,,,,,
2005, 宜蘭縣,,,,,,,,,,
2005, 新竹縣,,,,,,,,,,
2005, 苗栗縣,,,,,,,,,,
2005, 彰化縣,,,,,,,,,,
2005, 南投縣,,,,,,,,,,
2005, 雲林縣,,,,,,,,,,
2005, 嘉義縣,,,,,,,,,,
2005, 屏東縣,,,,,,,,,,
2005, 臺東縣,,,,,,,,,,
2005, 花蓮縣,,,,,,,,,,
2005, 澎湖縣,,,,,,,,,,
2005, 基隆市,,,,,,,,,,
2005, 新竹市,,,,,,,,,,
2005, 嘉義市,,,,,,,,,,
2005, 金門縣,,,,,,,,,,
2005, 連江縣,,,,,,,,,,
2006, 總計,,,,,,,,,,
2006, 臺灣地區,,,,,,,,,,
2006, 新北市,,,,,,,,,,
2006, 臺北市,,,,,,,,,,
2006, 桃園市,,,,,,,,,,
2006, 臺中市,,,,,,,,,,
2006, 臺南市,,,,,,,,,,
2006, 高雄市,,,,,,,,,,
2006, 宜蘭縣,,,,,,,,,,
2006, 新竹縣,,,,,,,,,,
2006, 苗栗縣,,,,,,,,,,
2006, 彰化縣,,,,,,,,,,
2006, 南投縣,,,,,,,,,,
2006, 雲林縣,,,,,,,,,,
2006, 嘉義縣,,,,,,,,,,
2006, 屏東縣,,,,,,,,,,
2006, 臺東縣,,,,,,,,,,
2006, 花蓮縣,,,,,,,,,,
2006, 澎湖縣,,,,,,,,,,
2006, 基隆市,,,,,,,,,,
2006, 新竹市,,,,,,,,,,
2006, 嘉義市,,,,,,,,,,
2006, 金門縣,,,,,,,,,,
2006, 連江縣,,,,,,,,,,
2007, 總計,,,,,,,,,,
2007, 臺灣地區,,,,,,,,,,
2007, 新北市,,,,,,,,,,
2007, 臺北市,,,,,,,,,,
2007, 桃園市,,,,,,,,,,
2007, 臺中市,,,,,,,,,,
2007, 臺南市,,,,,,,,,,
2007, 高雄市,,,,,,,,,,
2007, 宜蘭縣,,,,,,,,,,
2007, 新竹縣,,,,,,,,,,
2007, 苗栗縣,,,,,,,,,,
2007, 彰化縣,,,,,,,,,,
2007, 南投縣,,,,,,,,,,
2007, 雲林縣,,,,,,,,,,
2007, 嘉義縣,,,,,,,,,,
2007, 屏東縣,,,,,,,,,,
2007, 臺東縣,,,,,,,,,,
2007, 花蓮縣,,,,,,,,,,
2007, 澎湖縣,,,,,,,,,,
2007, 基隆市,,,,,,,,,,
2007, 新竹市,,,,,,,,,,
2007, 嘉義市,,,,,,,,,,
2007, 金門縣,,,,,,,,,,
2007, 連江縣,,,,,,,,,,
2008, 總計,,,,,,,,,,
2008, 臺灣地區,,,,,,,,,,
2008, 新北市,,,,,,,,,,
2008, 臺北市,,,,,,,,,,
2008, 桃園市,,,,,,,,,,
2008, 臺中市,,,,,,,,,,
2008, 臺南市,,,,,,,,,,
2008, 高雄市,,,,,,,,,,
2008, 宜蘭縣,,,,,,,,,,
2008, 新竹縣,,,,,,,,,,
2008, 苗栗縣,,,,,,,,,,
2008, 彰化縣,,,,,,,,,,
2008, 南投縣,,,,,,,,,,
2008, 雲林縣,,,,,,,,,,
2008, 嘉義縣,,,,,,,,,,
2008, 屏東縣,,,,,,,,,,
2008, 臺東縣,,,,,,,,,,
2008, 花蓮縣,,,,,,,,,,
2008, 澎湖縣,,,,,,,,,,
2008, 基隆市,,,,,,,,,,
2008, 新竹市,,,,,,,,,,
2008, 嘉義市,,,,,,,,,,
2008, 金門縣,,,,,,,,,,
2008, 連江縣,,,,,,,,,,
2009, 總計,,,,,,,,,,
2009, 臺灣地區,,,,,,,,,,
2009, 新北市,,,,,,,,,,
2009, 臺北市,,,,,,,,,,
2009, 桃園市,,,,,,,,,,
2009, 臺中市,,,,,,,,,,
2009, 臺南市,,,,,,,,,,
2009, 高雄市,,,,,,,,,,
2009, 宜蘭縣,,,,,,,,,,
2009, 新竹縣,,,,,,,,,,
2009, 苗栗縣,,,,,,,,,,
2009, 彰化縣,,,,,,,,,,
2009, 南投縣,,,,,,,,,,
2009, 雲林縣,,,,,,,,,,
2009, 嘉義縣,,,,,,,,,,
2009, 屏東縣,,,,,,,,,,
2009, 臺東縣,,,,,,,,,,
2009, 花蓮縣,,,,,,,,,,
2009, 澎湖縣,,,,,,,,,,
2009, 基隆市,,,,,,,,,,
2009, 新竹市,,,,,,,,,,
2009, 嘉義市,,,,,,,,,,
2009, 金門縣,,,,,,,,,,
2009, 連江縣,,,,,,,,,,
2010, 總計,,,,,,,,,,
2010, 臺灣地區,,,,,,,,,,
2010, 新北市,,,,,,,,,,
2010, 臺北市,,,,,,,,,,
2010, 桃園市,,,,,,,,,,
2010, 臺中市,,,,,,,,,,
2010, 臺南市,,,,,,,,,,
2010, 高雄市,,,,,,,,,,
2010, 宜蘭縣,,,,,,,,,,
2010, 新竹縣,,,,,,,,,,
2010, 苗栗縣,,,,,,,,,,
2010, 彰化縣,,,,,,,,,,
2010, 南投縣,,,,,,,,,,
2010, 雲林縣,,,,,,,,,,
2010, 嘉義縣,,,,,,,,,,
2010, 屏東縣,,,,,,,,,,
2010, 臺東縣,,,,,,,,,,
2010, 花蓮縣,,,,,,,,,,
2010, 澎湖縣,,,,,,,,,,
2010, 基隆市,,,,,,,,,,
2010, 新竹市,,,,,,,,,,
2010, 嘉義市,,,,,,,,,,
2010, 金門縣,,,,,,,,,,
2010, 連江縣,,,,,,,,,,
2011, 總計,,,,,,,,,,
2011, 臺灣地區,,,,,,,,,,
2011, 新北市,,,,,,,,,,
2011, 臺北市,,,,,,,,,,
2011, 桃園市,,,,,,,,,,
2011, 臺中市,,,,,,,,,,
2011, 臺南市,,,,,,,,,,
2011, 高雄市,,,,,,,,,,
2011, 宜蘭縣,,,,,,,,,,
2011, 新竹縣,,,,,,,,,,
2011, 苗栗縣,,,,,,,,,,
2011, 彰化縣,,,,,,,,,,
2011, 南投縣,,,,,,,,,,
2011, 雲林縣,,,,,,,,,,
2011, 嘉義縣,,,,,,,,,,
2011, 屏東縣,,,,,,,,,,
2011, 臺東縣,,,,,,,,,,
2011, 花蓮縣,,,,,,,,,,
2011, 澎湖縣,,,,,,,,,,
2011, 基隆市,,,,,,,,,,
2011, 新竹市,,,,,,,,,,
2011, 嘉義市,,,,,,,,,,
2011, 金門縣,,,,,,,,,,
2011, 連江縣,,,,,,,,,,
2012, 總計,,,,,,,,,,
2012, 臺灣地區,,,,,,,,,,
2012, 新北市,,,,,,,,,,
2012, 臺北市,,,,,,,,,,
2012, 桃園市,,,,,,,,,,
2012, 臺中市,,,,,,,,,,
2012, 臺南市,,,,,,,,,,
2012, 高雄市,,,,,,,,,,
2012, 宜蘭縣,,,,,,,,,,
2012, 新竹縣,,,,,,,,,,
2012, 苗栗縣,,,,,,,,,,
2012, 彰化縣,,,,,,,,,,
2012, 南投縣,,,,,,,,,,
2012, 雲林縣,,,,,,,,,,
2012, 嘉義縣,,,,,,,,,,
2012, 屏東縣,,,,,,,,,,
2012, 臺東縣,,,,,,,,,,
2012, 花蓮縣,,,,,,,,,,
2012, 澎湖縣,,,,,,,,,,
2012, 基隆市,,,,,,,,,,
2012, 新竹市,,,,,,,,,,
2012, 嘉義市,,,,,,,,,,
2012, 金門縣,,,,,,,,,,
2012, 連江縣,,,,,,,,,,
2013, 總計,,,,,,,,,,
2013, 臺灣地區,,,,,,,,,,
2013, 新北市,,,,,,,,,,
2013, 臺北市,,,,,,,,,,
2013, 桃園市,,,,,,,,,,
2013, 臺中市,,,,,,,,,,
2013, 臺南市,,,,,,,,,,
2013, 高雄市,,,,,,,,,,
2013, 宜蘭縣,,,,,,,,,,
2013, 新竹縣,,,,,,,,,,
2013, 苗栗縣,,,,,,,,,,
2013, 彰化縣,,,,,,,,,,
2013, 南投縣,,,,,,,,,,
2013, 雲林縣,,,,,,,,,,
2013, 嘉義縣,,,,,,,,,,
2013, 屏東縣,,,,,,,,,,
2013, 臺東縣,,,,,,,,,,
2013, 花蓮縣,,,,,,,,,,
2013, 澎湖縣,,,,,,,,,,
2013, 基隆市,,,,,,,,,,
2013, 新竹市,,,,,,,,,,
2013, 嘉義市,,,,,,,,,,
2013, 金門縣,,,,,,,,,,
2013, 連江縣,,,,,,,,,,
2014, 總計,,,,,,,,,,
2014, 臺灣地區,,,,,,,,,,
2014, 新北市,,,,,,,,,,
2014, 臺北市,,,,,,,,,,
2014, 桃園市,,,,,,,,,,
2014, 臺中市,,,,,,,,,,
2014, 臺南市,,,,,,,,,,
2014, 高雄市,,,,,,,,,,
2014, 宜蘭縣,,,,,,,,,,
2014, 新竹縣,,,,,,,,,,
2014, 苗栗縣,,,,,,,,,,
2014, 彰化縣,,,,,,,,,,
2014, 南投縣,,,,,,,,,,
2014, 雲林縣,,,,,,,,,,
2014, 嘉義縣,,,,,,,,,,
2014, 屏東縣,,,,,,,,,,
2014, 臺東縣,,,,,,,,,,
2014, 花蓮縣,,,,,,,,,,
2014, 澎湖縣,,,,,,,,,,
2014, 基隆市,,,,,,,,,,
2014, 新竹市,,,,,,,,,,
2014, 嘉義市,,,,,,,,,,
2014, 金門縣,,,,,,,,,,
2014, 連江縣,,,,,,,,,,
