"年度","縣市","政府部門醫療保健支出","醫療保健支出占政府支出比率(年度)","嬰兒死亡數","孕產婦死亡數","嬰兒死亡率","孕產婦死亡率","法定傳染病患者數","每十萬人法定傳染病患者","現有藥商家數"
2001, 臺南市,706323.000000,1.549911,122.000000,-,6.300000,-,1494.000000,80.962884,3702.000000
2001, 高雄市,2169943.000000,2.481793,187.000000,1.000000,6.500000,3.500000,3122.000000,114.428512,6616.000000
2001, 宜蘭縣,358840.000000,2.555585,33.000000,2.000000,6.100000,-,929.000000,199.573570,736.000000
2001, 新竹縣,346108.000000,2.457491,58.000000,-,8.600000,-,432.000000,97.515499,722.000000
2001, 苗栗縣,329393.000000,1.884971,38.000000,1.000000,5.300000,14.000000,411.000000,73.370387,813.000000
2001, 彰化縣,476902.000000,1.557257,96.000000,1.000000,5.700000,6.000000,1205.000000,91.826140,2063.000000
2001, 南投縣,372238.000000,0.950984,59.000000,-,8.800000,-,746.000000,137.720323,867.000000
2001, 雲林縣,332126.000000,1.698306,46.000000,-,4.700000,-,762.000000,102.493056,1226.000000
2001, 嘉義縣,369077.000000,2.202561,63.000000,-,8.400000,-,560.000000,99.496300,902.000000
2001, 屏東縣,501684.000000,2.082486,66.000000,-,6.300000,-,1139.000000,125.374666,1712.000000
2001, 臺東縣,312957.000000,3.211632,17.000000,1.000000,5.500000,32.400000,390.000000,159.208367,292.000000
2001, 花蓮縣,274299.000000,2.101056,43.000000,-,10.400000,-,944.000000,267.131128,454.000000
2001, 澎湖縣,385868.000000,6.559553,13.000000,-,11.900000,-,72.000000,79.223609,103.000000
2001, 基隆市,291207.000000,1.973106,28.000000,-,7.100000,-,447.000000,114.704943,651.000000
2001, 新竹市,98741.000000,0.796877,26.000000,-,5.300000,-,303.000000,81.700338,906.000000
2001, 嘉義市,86643.000000,1.015038,20.000000,-,7.400000,-,194.000000,72.635236,862.000000
2001, 金門縣,146449.000000,2.070186,4.000000,-,5.500000,-,32.000000,57.766946,31.000000
2001, 連江縣,160123.000000,7.150219,-,-,-,-,13.000000,166.837782,-
2002, 總計,14874312.000000,2.177634,1325.000000,19.000000,5.400000,7.700000,31050.000000,138.226249,49752.000000
2002, 臺灣地區,14435854.000000,2.139690,1322.000000,19.000000,5.400000,7.700000,30981.000000,138.330147,49716.000000
2002, 新北市,1010629.000000,1.602431,165.000000,4.000000,4.500000,10.900000,3970.000000,109.491598,7095.000000
2002, 臺北市,5071873.000000,3.422608,111.000000,-,4.400000,3.900000,2880.000000,109.180694,10339.000000
2002, 桃園市,390906.000000,1.001560,142.000000,1.000000,6.400000,4.500000,1862.000000,104.737192,3004.000000
2002, 臺中市,778871.000000,1.399690,180.000000,1.000000,6.300000,3.500000,2233.000000,89.419023,5520.000000
2002, 臺南市,689930.000000,1.514369,95.000000,2.000000,5.200000,11.000000,1815.000000,98.084064,3970.000000
2002, 高雄市,2154453.000000,2.244399,162.000000,1.000000,5.900000,3.600000,8378.000000,306.083678,6888.000000
2002, 宜蘭縣,263788.000000,1.855006,29.000000,1.000000,5.700000,19.700000,654.000000,140.659378,756.000000
2002, 新竹縣,261802.000000,1.669940,27.000000,1.000000,4.100000,15.200000,462.000000,102.783269,766.000000
2002, 苗栗縣,372723.000000,2.029589,33.000000,1.000000,4.700000,14.300000,480.000000,85.606819,861.000000
2002, 彰化縣,411263.000000,1.611591,83.000000,2.000000,5.100000,12.300000,1484.000000,112.844288,2177.000000
2002, 南投縣,534606.000000,2.349088,34.000000,1.000000,5.400000,-,729.000000,134.612366,952.000000
2002, 雲林縣,293654.000000,1.540867,44.000000,1.000000,4.700000,-,852.000000,114.642559,1346.000000
2002, 嘉義縣,311729.000000,1.719235,47.000000,1.000000,6.500000,-,680.000000,120.807384,919.000000
2002, 屏東縣,548957.000000,2.179510,56.000000,1.000000,5.500000,9.900000,1875.000000,206.549890,1659.000000
2002, 臺東縣,340592.000000,3.039871,25.000000,1.000000,8.200000,-,566.000000,231.693264,318.000000
2002, 花蓮縣,283892.000000,2.328302,33.000000,1.000000,8.500000,-,765.000000,216.931119,487.000000
2002, 澎湖縣,244288.000000,3.499298,4.000000,-,3.700000,93.500000,74.000000,80.123867,109.000000
2002, 基隆市,279544.000000,1.873527,22.000000,-,5.800000,26.500000,617.000000,157.716611,647.000000
2002, 新竹市,103240.000000,0.721341,24.000000,-,4.900000,20.400000,360.000000,95.732842,1003.000000
2002, 嘉義市,89114.000000,1.029012,6.000000,-,2.300000,-,245.000000,91.434969,900.000000
2002, 金門縣,209469.000000,3.364136,3.000000,-,4.000000,-,51.000000,88.013737,36.000000
2002, 連江縣,228989.000000,10.638192,-,-,-,-,18.000000,204.382877,-
2003, 總計,15305764.000000,2.191723,1105.000000,15.000000,4.900000,6.600000,23018.000000,102.018100,51447.000000
2003, 臺灣地區,14782887.000000,2.148128,1100.000000,15.000000,4.900000,6.600000,22945.000000,102.005340,51388.000000
2003, 新北市,1031643.000000,1.257306,151.000000,5.000000,4.400000,14.500000,3908.000000,106.805445,7286.000000
2003, 臺北市,5060548.000000,3.587204,89.000000,3.000000,3.800000,12.800000,2749.000000,104.346295,10453.000000
2003, 桃園市,364250.000000,0.980943,90.000000,2.000000,4.400000,9.700000,1503.000000,83.160934,3218.000000
2003, 臺中市,889414.000000,1.475352,150.000000,2.000000,5.800000,7.700000,1939.000000,76.971048,6043.000000
2003, 臺南市,743147.000000,1.512724,59.000000,-,3.500000,-,1678.000000,90.479561,4121.000000
2003, 高雄市,2243470.000000,2.330881,139.000000,-,5.400000,-,3152.000000,114.832731,7184.000000
2003, 宜蘭縣,305587.000000,2.293521,23.000000,-,4.900000,-,470.000000,101.359511,763.000000
2003, 新竹縣,268822.000000,1.813525,26.000000,-,4.300000,-,390.000000,85.529504,802.000000
2003, 苗栗縣,380657.000000,2.062055,27.000000,-,4.300000,-,443.000000,78.989434,906.000000
2003, 彰化縣,458381.000000,1.644415,66.000000,-,4.400000,-,1140.000000,86.605673,2313.000000
2003, 南投縣,391695.000000,2.168069,31.000000,-,5.500000,-,566.000000,104.651152,1034.000000
2003, 雲林縣,350559.000000,1.723557,46.000000,-,5.200000,-,694.000000,93.575263,1345.000000
2003, 嘉義縣,358957.000000,2.083688,38.000000,-,5.700000,-,656.000000,116.850314,928.000000
2003, 屏東縣,553242.000000,2.246882,53.000000,1.000000,5.800000,10.900000,1323.000000,146.191884,1696.000000
2003, 臺東縣,374676.000000,3.397457,24.000000,1.000000,9.000000,37.400000,400.000000,164.336174,350.000000
2003, 花蓮縣,291630.000000,2.166782,27.000000,-,7.600000,-,770.000000,218.967724,547.000000
2003, 澎湖縣,207453.000000,3.064920,6.000000,-,5.800000,-,79.000000,85.544589,86.000000
2003, 基隆市,281858.000000,1.983544,11.000000,1.000000,3.300000,30.000000,536.000000,136.788432,655.000000
2003, 新竹市,131124.000000,0.967298,26.000000,-,5.700000,-,350.000000,91.900422,866.000000
2003, 嘉義市,95774.000000,1.126960,18.000000,-,7.700000,-,199.000000,74.046374,792.000000
2003, 金門縣,326538.000000,4.164511,3.000000,-,4.100000,-,44.000000,73.384703,57.000000
2003, 連江縣,196339.000000,8.435020,2.000000,-,20.000000,-,29.000000,330.126928,2.000000
2004, 總計,14574474.000000,1.991978,1147.000000,12.000000,5.300000,5.500000,29076.000000,128.388796,52685.000000
2004, 臺灣地區,14007425.000000,1.945011,1141.000000,12.000000,5.300000,5.600000,28998.000000,128.451634,52621.000000
2004, 新北市,862213.000000,1.047796,152.000000,3.000000,4.600000,9.000000,5119.000000,138.639271,7337.000000
2004, 臺北市,4572728.000000,3.501500,100.000000,-,4.500000,-,3434.000000,130.828766,10799.000000
2004, 桃園市,490919.000000,1.133773,97.000000,1.000000,4.900000,5.000000,2104.000000,114.500161,3422.000000
2004, 臺中市,743558.000000,1.170164,147.000000,1.000000,5.800000,3.900000,2495.000000,98.265196,6058.000000
2004, 臺南市,770533.000000,1.505474,56.000000,1.000000,3.500000,6.200000,1967.000000,105.836561,4360.000000
2004, 高雄市,2196925.000000,2.007375,155.000000,1.000000,6.400000,4.100000,3893.000000,141.604290,6950.000000
2004, 宜蘭縣,291728.000000,1.685580,32.000000,1.000000,7.200000,22.700000,695.000000,150.177566,832.000000
2004, 新竹縣,293132.000000,1.672798,37.000000,-,6.200000,-,472.000000,101.885200,853.000000
2004, 苗栗縣,401429.000000,2.224739,37.000000,-,6.200000,-,504.000000,89.875939,978.000000
2004, 彰化縣,455380.000000,1.585061,72.000000,-,5.000000,-,1406.000000,106.790014,2407.000000
2004, 南投縣,364109.000000,1.878147,34.000000,-,6.300000,-,749.000000,138.856703,1071.000000
2004, 雲林縣,357414.000000,1.564367,38.000000,-,4.900000,-,935.000000,126.584592,1381.000000
2004, 嘉義縣,367783.000000,2.098700,32.000000,-,5.300000,-,695.000000,124.294361,965.000000
2004, 屏東縣,556570.000000,2.236046,56.000000,1.000000,6.600000,11.800000,1801.000000,199.670616,1711.000000
2004, 臺東縣,325417.000000,2.919347,17.000000,-,6.800000,-,498.000000,206.119429,388.000000
2004, 花蓮縣,309518.000000,2.178293,22.000000,1.000000,6.400000,29.200000,841.000000,240.184494,615.000000
2004, 澎湖縣,193270.000000,2.629126,8.000000,-,8.500000,-,76.000000,82.581318,87.000000
2004, 基隆市,237824.000000,1.507194,16.000000,-,5.000000,-,645.000000,164.419389,687.000000
2004, 新竹市,118367.000000,0.736070,26.000000,-,5.400000,-,412.000000,107.034255,911.000000
2004, 嘉義市,98608.000000,1.095352,7.000000,2.000000,3.000000,86.700000,257.000000,95.196644,809.000000
2004, 金門縣,419682.000000,4.879260,5.000000,-,6.800000,-,59.000000,94.069627,62.000000
2004, 連江縣,147367.000000,5.107608,1.000000,-,11.900000,-,19.000000,209.193504,2.000000
2005, 總計,14841876.000000,1.963787,1026.000000,15.000000,5.000000,7.300000,28231.000000,124.202848,55802.000000
2005, 臺灣地區,14282829.000000,1.920856,1025.000000,15.000000,5.000000,7.300000,28207.000000,124.520250,55734.000000
2005, 新北市,998165.000000,1.333225,155.000000,1.000000,4.900000,3.100000,4785.000000,128.546514,7810.000000
2005, 臺北市,4380826.000000,3.200674,89.000000,1.000000,4.300000,4.800000,2908.000000,111.016794,11215.000000
2005, 桃園市,583446.000000,1.330698,90.000000,-,4.600000,-,2444.000000,130.928162,3684.000000
2005, 臺中市,782462.000000,1.145699,103.000000,2.000000,4.300000,8.300000,2363.000000,92.403010,6567.000000
2005, 臺南市,830490.000000,1.564759,86.000000,1.000000,5.500000,6.400000,2069.000000,111.131731,4720.000000
2005, 高雄市,2155102.000000,1.695996,112.000000,2.000000,4.800000,8.600000,4174.000000,151.641536,7214.000000
2005, 宜蘭縣,288114.000000,1.623674,35.000000,-,8.500000,-,566.000000,122.527796,869.000000
2005, 新竹縣,314343.000000,1.791873,27.000000,1.000000,4.700000,17.400000,424.000000,89.742762,892.000000
2005, 苗栗縣,363568.000000,1.923412,26.000000,1.000000,4.800000,18.400000,488.000000,87.097209,1056.000000
2005, 彰化縣,505172.000000,1.675768,64.000000,-,4.800000,-,1429.000000,108.562373,2635.000000
2005, 南投縣,386641.000000,2.230914,39.000000,2.000000,7.700000,39.500000,797.000000,148.198973,1168.000000
2005, 雲林縣,358496.000000,1.637374,39.000000,1.000000,5.300000,13.700000,1232.000000,167.607418,1433.000000
2005, 嘉義縣,434782.000000,2.273448,25.000000,-,4.400000,-,675.000000,121.075799,987.000000
2005, 屏東縣,585439.000000,2.383595,51.000000,2.000000,6.400000,25.100000,1506.000000,167.472987,1774.000000
2005, 臺東縣,334503.000000,3.135755,10.000000,-,4.200000,-,389.000000,162.314632,412.000000
2005, 花蓮縣,290913.000000,2.024650,24.000000,-,7.700000,-,670.000000,192.405165,680.000000
2005, 澎湖縣,205385.000000,2.948730,2.000000,-,2.300000,-,51.000000,55.345448,82.000000
2005, 基隆市,256142.000000,1.587281,16.000000,-,5.300000,-,545.000000,139.019264,716.000000
2005, 新竹市,124749.000000,0.818290,23.000000,1.000000,5.000000,21.900000,466.000000,119.849494,968.000000
2005, 嘉義市,104091.000000,1.168186,9.000000,-,4.500000,-,226.000000,83.388372,852.000000
2005, 金門縣,401541.000000,4.391388,1.000000,-,1.300000,-,20.000000,29.691211,68.000000
2005, 連江縣,157506.000000,5.132695,-,-,-,-,4.000000,40.600893,-
2006, 總計,14547829.000000,1.988376,943.000000,15.000000,4.600000,7.300000,30381.000000,133.113063,57976.000000
2006, 臺灣地區,14162577.000000,1.962756,935.000000,15.000000,4.600000,7.400000,30256.000000,133.051821,57901.000000
2006, 新北市,1070677.000000,1.527359,152.000000,2.000000,4.700000,6.100000,4855.000000,129.401586,8553.000000
2006, 臺北市,4399337.000000,3.244665,69.000000,1.000000,3.200000,4.700000,3189.000000,121.517726,11206.000000
2006, 桃園市,532857.000000,1.221607,79.000000,2.000000,4.100000,10.400000,2550.000000,134.512223,4025.000000
2006, 臺中市,733246.000000,1.114193,113.000000,-,4.700000,-,2625.000000,101.861682,6968.000000
2006, 臺南市,878396.000000,1.659954,72.000000,2.000000,4.700000,13.000000,2027.000000,108.696672,4779.000000
2006, 高雄市,1934638.000000,1.735672,100.000000,1.000000,4.300000,4.300000,5230.000000,189.710439,7454.000000
2006, 宜蘭縣,263550.000000,1.619873,26.000000,-,6.500000,-,624.000000,135.356156,907.000000
2006, 新竹縣,330228.000000,1.816828,32.000000,1.000000,5.400000,16.800000,570.000000,118.089560,937.000000
2006, 苗栗縣,361322.000000,2.020559,18.000000,-,3.400000,-,504.000000,90.005625,1088.000000
2006, 彰化縣,435922.000000,1.501889,45.000000,3.000000,3.500000,23.100000,1531.000000,116.387797,2754.000000
2006, 南投縣,399111.000000,2.156465,30.000000,-,6.300000,-,679.000000,126.635042,1188.000000
2006, 雲林縣,345442.000000,1.620367,34.000000,1.000000,4.900000,14.500000,1034.000000,141.467486,1484.000000
2006, 嘉義縣,380789.000000,1.845307,35.000000,-,6.700000,-,658.000000,118.458029,985.000000
2006, 屏東縣,660111.000000,2.445462,37.000000,2.000000,4.800000,25.800000,1511.000000,168.653075,1797.000000
2006, 臺東縣,399510.000000,3.530168,14.000000,-,5.900000,-,439.000000,184.881028,415.000000
2006, 花蓮縣,305078.000000,2.031233,25.000000,-,8.100000,-,718.000000,207.334382,690.000000
2006, 澎湖縣,237053.000000,3.793737,2.000000,-,2.300000,-,100.000000,108.534031,81.000000
2006, 基隆市,269763.000000,1.672051,18.000000,-,5.900000,-,706.000000,180.479575,725.000000
2006, 新竹市,126154.000000,0.862675,23.000000,-,4.700000,-,478.000000,121.713822,985.000000
2006, 嘉義市,99393.000000,1.002008,11.000000,-,5.000000,-,228.000000,83.813515,880.000000
2006, 金門縣,230407.000000,2.979490,8.000000,-,9.800000,-,115.000000,156.723791,71.000000
2006, 連江縣,154845.000000,6.602925,-,-,-,-,10.000000,99.349262,4.000000
2007, 總計,14466411.000000,1.943535,959.000000,14.000000,4.700000,6.900000,29012.000000,126.593527,59061.000000
2007, 臺灣地區,14061926.000000,1.916669,954.000000,14.000000,4.700000,6.900000,28882.000000,126.516968,58985.000000
2007, 新北市,918267.000000,1.220297,154.000000,1.000000,4.800000,3.100000,4840.000000,127.955839,8778.000000
2007, 臺北市,4489639.000000,3.239935,89.000000,1.000000,4.100000,4.700000,3125.000000,118.787170,10907.000000
2007, 桃園市,451960.000000,1.053254,95.000000,2.000000,4.900000,10.200000,2226.000000,115.752748,4204.000000
2007, 臺中市,783805.000000,1.147492,104.000000,1.000000,4.200000,4.100000,2677.000000,103.068135,7345.000000
2007, 臺南市,843253.000000,1.594066,60.000000,1.000000,3.900000,6.600000,3566.000000,190.859101,4848.000000
2007, 高雄市,1877544.000000,1.837829,115.000000,3.000000,5.000000,13.100000,3736.000000,135.238644,7667.000000
2007, 宜蘭縣,262904.000000,1.636829,25.000000,1.000000,6.600000,26.500000,592.000000,128.580489,920.000000
2007, 新竹縣,295088.000000,1.476707,32.000000,-,5.200000,-,413.000000,83.984655,996.000000
2007, 苗栗縣,385543.000000,2.102484,24.000000,-,4.600000,-,420.000000,74.990024,1071.000000
2007, 彰化縣,487356.000000,1.592473,66.000000,-,5.300000,-,1360.000000,103.446125,2853.000000
2007, 南投縣,375501.000000,1.619445,18.000000,-,3.900000,-,721.000000,134.902266,1185.000000
2007, 雲林縣,351903.000000,1.591609,29.000000,-,4.500000,-,921.000000,126.670894,1500.000000
2007, 嘉義縣,406152.000000,1.839039,18.000000,-,3.700000,-,545.000000,98.625933,1012.000000
2007, 屏東縣,686385.000000,2.551721,31.000000,1.000000,4.300000,13.900000,1314.000000,147.383191,1811.000000
2007, 臺東縣,407311.000000,3.587072,20.000000,-,9.200000,-,351.000000,149.483515,410.000000
2007, 花蓮縣,293807.000000,1.878481,32.000000,2.000000,10.900000,67.900000,666.000000,193.434552,720.000000
2007, 澎湖縣,247048.000000,3.531329,-,-,-,-,136.000000,147.685625,78.000000
2007, 基隆市,260057.000000,1.725393,13.000000,-,4.400000,-,611.000000,156.460059,762.000000
2007, 新竹市,129371.000000,0.838741,19.000000,1.000000,3.800000,19.900000,401.000000,101.034024,1020.000000
2007, 嘉義市,109032.000000,1.111288,10.000000,-,4.600000,-,261.000000,95.702728,898.000000
2007, 金門縣,212034.000000,2.677841,5.000000,-,5.400000,-,123.000000,155.658766,72.000000
2007, 連江縣,192451.000000,6.992835,-,-,-,-,7.000000,70.950740,4.000000
2008, 總計,14879014.000000,1.842704,897.000000,13.000000,4.600000,6.600000,29151.000000,126.756179,58834.000000
2008, 臺灣地區,14384214.000000,1.808093,895.000000,13.000000,4.600000,6.700000,29026.000000,126.724604,58753.000000
2008, 新北市,1041672.000000,1.078574,135.000000,1.000000,4.200000,3.100000,5078.000000,133.075725,8924.000000
2008, 臺北市,4586053.000000,3.094507,95.000000,1.000000,4.700000,4.900000,3173.000000,120.825743,10527.000000
2008, 桃園市,466408.000000,1.022974,73.000000,1.000000,3.800000,5.200000,2363.000000,121.376989,4265.000000
2008, 臺中市,812831.000000,1.072498,99.000000,6.000000,4.300000,26.000000,2953.000000,112.906735,7617.000000
2008, 臺南市,835355.000000,1.422837,75.000000,-,5.100000,-,2031.000000,108.520662,4862.000000
2008, 高雄市,1919857.000000,1.881093,87.000000,1.000000,4.000000,4.600000,4293.000000,155.152169,7726.000000
2008, 宜蘭縣,289672.000000,1.587047,22.000000,-,6.000000,-,633.000000,137.414523,892.000000
2008, 新竹縣,304701.000000,1.475930,31.000000,2.000000,5.000000,32.500000,485.000000,97.087962,979.000000
2008, 苗栗縣,403824.000000,1.710199,23.000000,-,4.700000,-,474.000000,84.600557,993.000000
2008, 彰化縣,492743.000000,1.641358,49.000000,-,4.100000,-,1500.000000,114.186144,2887.000000
2008, 南投縣,392645.000000,1.807851,15.000000,-,3.600000,-,614.000000,115.254301,1180.000000
2008, 雲林縣,347441.000000,1.481759,39.000000,-,6.200000,-,938.000000,129.437691,1456.000000
2008, 嘉義縣,406561.000000,1.773448,15.000000,-,3.300000,-,601.000000,109.265178,1014.000000
2008, 屏東縣,674417.000000,2.209083,33.000000,-,4.800000,-,1441.000000,162.421009,1659.000000
2008, 臺東縣,351795.000000,3.038340,19.000000,-,9.300000,-,394.000000,169.277071,383.000000
