"年度","縣市","身心障礙人數","身心障礙人口占全縣(市)總人口比率","身心障礙福利機構核定安置服務人數","身心障礙福利機構實際安置服務人數","身心障礙福利機構核定安置住宿及日托人數占身心障礙人數比率","身心障礙福利機構實際安置住宿及日托人數占身心障礙人數比率","公立機構定額已進用身心障礙者人數","公立機構定額應進用身心障礙者人數","私立機構定額已進用身心障礙者人數","私立機構定額應進用身心障礙者人數","機關定額已進用身心障礙者人數占定額應進用人數比率","公立機構定額已進用身心障礙者人數占定額應進用人數比率","私立機構定額已進用身心障礙者人數占定額應進用人數比率"
2000, 嘉義市,8242.000000,3.100000,49.000000,29.000000,59.451589,35.185635,301.000000,299.000000,98.000000,77.000000,106.117021,100.668896,127.272727
2000, 金門縣,2187.000000,4.060000,-,-,-,-,43.000000,41.000000,-,-,104.878049,104.878049,-
2000, 連江縣,157.000000,2.330000,-,-,-,-,5.000000,3.000000,-,-,166.666667,166.666667,-
2001, 總計,754084.000000,3.370000,14739.000000,11623.000000,195.455679,154.134022,16547.000000,13474.000000,25071.000000,17932.000000,132.516080,122.806887,139.811510
2001, 臺灣地區,751248.000000,3.360000,11077.000000,8789.000000,147.447980,116.991992,16503.000000,13430.000000,25071.000000,17932.000000,132.561699,122.881608,139.811510
2001, 新北市,89452.000000,2.480000,1527.000000,1188.000000,170.706077,132.808657,1477.000000,1228.000000,2577.000000,1686.000000,139.121482,120.276873,152.846975
2001, 臺北市,93081.000000,3.530000,1841.000000,1565.000000,197.784725,168.133131,5244.000000,3957.000000,9529.000000,7444.000000,129.576353,132.524640,128.009135
2001, 桃園市,43142.000000,2.450000,754.000000,581.000000,174.771684,134.671550,709.000000,839.000000,2154.000000,1783.000000,109.191457,84.505364,120.807628
2001, 臺中市,72908.000000,2.930000,885.000000,830.000000,121.385856,113.842102,1633.000000,1466.000000,1924.000000,1204.000000,133.220974,111.391542,159.800664
2001, 臺南市,62618.000000,3.390000,1285.000000,882.000000,205.212559,140.854068,1069.000000,827.000000,1759.000000,1012.000000,153.779228,129.262394,173.814229
2001, 高雄市,88310.000000,3.230000,1024.000000,777.000000,115.955158,87.985506,2324.000000,1944.000000,2788.000000,1662.000000,141.763727,119.547325,167.749699
2001, 宜蘭縣,21475.000000,4.610000,384.000000,335.000000,178.812573,155.995343,332.000000,239.000000,159.000000,83.000000,152.484472,138.912134,191.566265
2001, 新竹縣,14649.000000,3.280000,330.000000,318.000000,225.271350,217.079664,131.000000,126.000000,744.000000,800.000000,94.492441,103.968254,93.000000
2001, 苗栗縣,20572.000000,3.670000,655.000000,358.000000,318.393934,174.022944,157.000000,186.000000,494.000000,207.000000,165.648855,84.408602,238.647343
2001, 彰化縣,44476.000000,3.380000,662.000000,446.000000,148.844321,100.278802,462.000000,366.000000,852.000000,473.000000,156.615018,126.229508,180.126850
2001, 南投縣,24276.000000,4.480000,184.000000,111.000000,75.795024,45.724172,365.000000,294.000000,213.000000,123.000000,138.609113,124.149660,173.170732
2001, 雲林縣,41716.000000,5.610000,-,-,-,-,291.000000,215.000000,346.000000,261.000000,133.823529,135.348837,132.567050
2001, 嘉義縣,26938.000000,4.780000,102.000000,95.000000,37.864726,35.266167,179.000000,141.000000,256.000000,166.000000,141.693811,126.950355,154.216867
