"年度","縣市","公教人員人數","公教人員大專畢業以上程度人數","女性公教人員人數","行政機關公務人員數","公教人員占總人口比率","公教人員人力素質－大專以上","女性公教人員占公教人員比率","公教人員之平均年齡","行政機關公務人員占公教人員比率"
1998, 連江縣,439.000000,283.000000,124.000000,235.000000,6.596544,64.464692,28.246014,37.390000,53.530752
1999, 總計,295488.000000,234058.000000,147860.000000,125477.000000,1.337511,79.210662,50.039257,40.133844,42.464330
1999, 臺灣地區,293745.000000,232878.000000,147402.000000,124580.000000,1.333138,79.278966,50.180258,40.140700,42.410935
1999, 新北市,35296.000000,29290.000000,19497.000000,12023.000000,1.005321,82.983908,55.238554,37.000297,34.063350
1999, 臺北市,54471.000000,47493.000000,29712.000000,26160.000000,2.062271,87.189514,54.546456,38.580000,48.025555
1999, 桃園市,17936.000000,14676.000000,9684.000000,6166.000000,1.060491,81.824264,53.991971,38.395545,34.377788
1999, 臺中市,27322.000000,22385.000000,13657.000000,9626.000000,1.128078,81.930313,49.985360,39.429937,35.231681
1999, 臺南市,21994.000000,16441.000000,10289.000000,9160.000000,1.200688,74.752205,46.780940,41.507356,41.647722
1999, 高雄市,38860.000000,31139.000000,20013.000000,16160.000000,1.436144,80.131240,51.500257,40.356095,41.585178
1999, 宜蘭縣,6663.000000,4844.000000,3146.000000,3095.000000,1.432891,72.699985,47.215969,40.157962,46.450548
1999, 新竹縣,5952.000000,4738.000000,3116.000000,2541.000000,1.372165,79.603495,52.352151,39.490507,42.691532
1999, 苗栗縣,6944.000000,5128.000000,3032.000000,3261.000000,1.240434,73.847926,43.663594,41.048747,46.961406
1999, 彰化縣,15252.000000,11748.000000,7292.000000,6300.000000,1.168163,77.025964,47.810123,40.265375,41.306058
1999, 南投縣,8338.000000,6529.000000,3557.000000,3564.000000,1.532614,78.304150,42.660110,40.826337,42.744063
1999, 雲林縣,9017.000000,6209.000000,3859.000000,4241.000000,1.208323,68.858822,42.796939,41.928857,47.033381
1999, 嘉義縣,7510.000000,5520.000000,3158.000000,3473.000000,1.334727,73.501997,42.050599,41.606525,46.245007
1999, 屏東縣,12013.000000,8266.000000,5251.000000,5457.000000,1.321540,68.808790,43.710980,41.602014,45.425789
1999, 臺東縣,5192.000000,3053.000000,1924.000000,2899.000000,2.095230,58.802003,37.057011,39.717354,55.835901
1999, 花蓮縣,5571.000000,3902.000000,2514.000000,3000.000000,1.566269,70.041285,45.126548,40.541195,53.850296
1999, 澎湖縣,2727.000000,1614.000000,817.000000,1842.000000,3.063597,59.185919,29.959663,38.506601,67.546755
1999, 基隆市,5004.000000,3767.000000,2434.000000,2458.000000,1.299062,75.279776,48.641087,39.427458,49.120703
1999, 新竹市,4376.000000,3555.000000,2730.000000,1668.000000,1.208980,81.238574,62.385740,39.634369,38.117002
1999, 嘉義市,3307.000000,2581.000000,1720.000000,1486.000000,1.247411,78.046568,52.010886,41.920169,44.934986
1999, 金門縣,1465.000000,1038.000000,378.000000,710.000000,2.831958,70.853242,25.802048,43.510000,48.464164
1999, 連江縣,278.000000,142.000000,80.000000,187.000000,4.237805,51.079137,28.776978,36.600000,67.266187
2000, 總計,301905.000000,250678.000000,151796.000000,126846.000000,1.355252,83.032080,50.279393,40.036717,42.015203
2000, 臺灣地區,299924.000000,249271.000000,151237.000000,125829.000000,1.350030,83.111388,50.425108,40.026432,41.953628
2000, 新北市,36632.000000,34335.000000,20497.000000,12228.000000,1.026712,93.729526,55.953811,37.285979,33.380651
2000, 臺北市,54776.000000,47785.000000,29097.000000,25924.000000,2.069773,87.237111,53.119980,38.850000,47.327297
2000, 桃園市,19300.000000,16204.000000,10377.000000,6712.000000,1.113922,83.958549,53.766839,38.079145,34.777202
2000, 臺中市,27752.000000,23326.000000,13963.000000,9787.000000,1.128085,84.051600,50.313491,39.311186,35.265927
2000, 臺南市,22237.000000,17029.000000,10651.000000,9351.000000,1.207000,76.579575,47.897648,41.118922,42.051536
2000, 高雄市,39359.000000,34573.000000,20295.000000,16231.000000,1.444225,87.840138,51.563810,40.286008,41.238344
2000, 宜蘭縣,6783.000000,5216.000000,3257.000000,3084.000000,1.458126,76.898128,48.017102,40.133422,45.466608
2000, 新竹縣,6211.000000,5053.000000,3346.000000,2566.000000,1.412512,81.355659,53.872162,39.483175,41.313798
2000, 苗栗縣,7296.000000,5554.000000,3332.000000,3355.000000,1.303548,76.123904,45.668860,40.924822,45.984101
2000, 彰化縣,15583.000000,12475.000000,7482.000000,6302.000000,1.189060,80.055188,48.013861,40.060964,40.441507
2000, 南投縣,7932.000000,6280.000000,3563.000000,3458.000000,1.464720,79.172970,44.919314,40.378215,43.595562
2000, 雲林縣,9350.000000,6904.000000,4050.000000,4356.000000,1.257789,73.839572,43.315508,41.480481,46.588235
2000, 嘉義縣,7637.000000,5728.000000,3239.000000,3548.000000,1.358160,75.003274,42.411942,41.502881,46.458033
2000, 屏東縣,12111.000000,8810.000000,5319.000000,5500.000000,1.334413,72.743787,43.918752,41.875155,45.413261
2000, 臺東縣,5193.000000,3534.000000,2007.000000,2844.000000,2.116896,68.053148,38.648180,38.922588,54.766031
2000, 花蓮縣,5930.000000,4306.000000,2747.000000,3003.000000,1.676894,72.613828,46.323777,41.046374,50.640809
2000, 澎湖縣,2772.000000,1780.000000,844.000000,1850.000000,3.097345,64.213564,30.447330,38.945707,66.738817
2000, 基隆市,5200.000000,3856.000000,2532.000000,2480.000000,1.338740,74.153846,48.692308,39.084615,47.692308
2000, 新竹市,4476.000000,3786.000000,2858.000000,1689.000000,1.214855,84.584450,63.851653,39.423592,37.734584
2000, 嘉義市,3394.000000,2737.000000,1781.000000,1561.000000,1.275063,80.642310,52.474956,41.698586,45.992929
2000, 金門縣,1499.000000,1091.000000,391.000000,767.000000,2.784589,72.781855,26.084056,43.750000,51.167445
2000, 連江縣,482.000000,316.000000,168.000000,250.000000,7.158770,65.560166,34.854772,36.560000,51.867220
2001, 總計,313188.000000,257412.000000,161945.000000,132790.000000,1.397813,82.190889,51.708558,39.859277,42.399453
2001, 臺灣地區,311136.000000,255845.000000,161337.000000,131688.000000,1.392746,82.229315,51.854173,39.790953,42.324900
2001, 新北市,38999.000000,33276.000000,21925.000000,13463.000000,1.080229,85.325265,56.219390,37.419677,34.521398
2001, 臺北市,55067.000000,46891.000000,30872.000000,25911.000000,2.090780,85.152632,56.062615,39.110000,47.053589
2001, 桃園市,20533.000000,17536.000000,11376.000000,6866.000000,1.164687,85.403984,55.403497,37.495739,33.438855
2001, 臺中市,30217.000000,25513.000000,16814.000000,10882.000000,1.215502,84.432604,55.644174,39.248582,36.012840
2001, 臺南市,22860.000000,18026.000000,11054.000000,9955.000000,1.236850,78.853893,48.355206,40.964659,43.547682
2001, 高雄市,39799.000000,35064.000000,20765.000000,16695.000000,1.457084,88.102716,52.174678,40.084425,41.948290
2001, 宜蘭縣,7029.000000,5385.000000,3404.000000,3158.000000,1.509020,76.611182,48.427941,39.353037,44.928155
2001, 新竹縣,6472.000000,5313.000000,3557.000000,2680.000000,1.450146,82.092089,54.959827,39.138597,41.409147
2001, 苗栗縣,7629.000000,5853.000000,3629.000000,3395.000000,1.360766,76.720409,47.568489,39.914471,44.501245
2001, 彰化縣,16082.000000,12888.000000,7727.000000,6784.000000,1.223902,80.139286,48.047507,39.949944,42.183808
2001, 南投縣,8425.000000,6682.000000,3767.000000,3811.000000,1.554950,79.311573,44.712166,39.975371,45.234421
2001, 雲林縣,9528.000000,7182.000000,4253.000000,4519.000000,1.281400,75.377834,44.636860,41.919081,47.428631
2001, 嘉義縣,7906.000000,6015.000000,3436.000000,3820.000000,1.403353,76.081457,43.460663,40.695358,48.317733
2001, 屏東縣,12438.000000,9347.000000,5463.000000,5685.000000,1.367769,75.148738,43.921852,41.102870,45.706705
2001, 臺東縣,5261.000000,3540.000000,2091.000000,2902.000000,2.150753,67.287588,39.745296,39.930622,55.160616
2001, 花蓮縣,6214.000000,4597.000000,2896.000000,3143.000000,1.759647,73.978114,46.604442,40.370132,50.579337
2001, 澎湖縣,2810.000000,1829.000000,875.000000,1865.000000,3.045476,65.088968,31.138790,39.053381,66.370107
2001, 基隆市,5403.000000,4215.000000,2631.000000,2494.000000,1.381962,78.012215,48.695169,39.292985,46.159541
2001, 新竹市,4853.000000,3813.000000,2933.000000,1924.000000,1.300041,78.569957,60.436843,38.985679,39.645580
2001, 嘉義市,3611.000000,2880.000000,1869.000000,1736.000000,1.347423,79.756300,51.758516,40.889643,48.075325
2001, 金門縣,1520.000000,1225.000000,420.000000,818.000000,2.668633,80.592105,27.631579,43.700000,53.815789
2001, 連江縣,532.000000,342.000000,188.000000,284.000000,6.010620,64.285714,35.338346,37.590000,53.383459
2002, 總計,318258.000000,260902.000000,165520.000000,136104.000000,1.413175,81.978144,52.008119,39.545331,42.765304
2002, 臺灣地區,316296.000000,259533.000000,164925.000000,135040.000000,1.408698,82.053836,52.142613,39.474490,42.694185
2002, 新北市,39896.000000,34119.000000,22434.000000,13804.000000,1.095609,85.519852,56.231201,37.697012,34.599960
2002, 臺北市,53758.000000,46330.000000,30744.000000,25741.000000,2.034857,86.182522,57.189628,39.040000,47.883106
2002, 桃園市,21426.000000,18395.000000,11931.000000,7082.000000,1.195245,85.853636,55.684682,37.580393,33.053300
2002, 臺中市,31013.000000,26310.000000,17199.000000,11398.000000,1.236319,84.835392,55.457389,39.234876,36.752330
2002, 臺南市,23123.000000,18340.000000,11212.000000,10190.000000,1.248095,79.314968,48.488518,40.646082,44.068676
2002, 高雄市,40157.000000,32838.000000,20733.000000,17357.000000,1.464032,81.774037,51.629853,39.735149,43.222850
2002, 宜蘭縣,7247.000000,5648.000000,3441.000000,3328.000000,1.561493,77.935698,47.481717,38.464882,45.922451
2002, 新竹縣,6768.000000,5665.000000,3822.000000,2785.000000,1.495099,83.702719,56.471631,38.690529,41.149527
2002, 苗栗縣,8010.000000,6359.000000,3822.000000,3532.000000,1.428403,79.388265,47.715356,39.370162,44.094881
2002, 彰化縣,16361.000000,13224.000000,7965.000000,6991.000000,1.243068,80.826355,48.682843,39.793870,42.729662
2002, 南投縣,8560.000000,6805.000000,3888.000000,3855.000000,1.581402,79.497664,45.420561,39.658294,45.035047
2002, 雲林縣,9846.000000,7411.000000,4406.000000,4678.000000,1.325530,75.269145,44.749137,41.638737,47.511680
2002, 嘉義縣,8165.000000,6215.000000,3604.000000,4011.000000,1.451829,76.117575,44.139620,39.981323,49.124311
2002, 屏東縣,12724.000000,9555.000000,5697.000000,5796.000000,1.404139,75.094310,44.773656,41.086529,45.551713
2002, 臺東縣,5302.000000,3682.000000,2190.000000,2909.000000,2.173263,69.445492,41.305168,39.506318,54.866088
2002, 花蓮縣,6552.000000,4865.000000,3070.000000,3252.000000,1.860550,74.252137,46.855922,39.912622,49.633700
2002, 澎湖縣,2824.000000,1835.000000,888.000000,1878.000000,3.054756,64.978754,31.444759,39.080205,66.501416
2002, 基隆市,5771.000000,4663.000000,2887.000000,2605.000000,1.474262,80.800554,50.025992,38.450875,45.139491
2002, 新竹市,5045.000000,4259.000000,3072.000000,2061.000000,1.331848,84.420218,60.891972,38.130327,40.852329
2002, 嘉義市,3748.000000,3015.000000,1920.000000,1787.000000,1.398993,80.442903,51.227321,40.598986,47.678762
2002, 金門縣,1542.000000,1150.000000,454.000000,815.000000,2.616531,74.578470,29.442283,42.590000,52.853437
2002, 連江縣,420.000000,219.000000,141.000000,249.000000,4.792879,52.142857,33.571429,38.130000,59.285714
2003, 總計,318951.000000,267367.000000,166787.000000,144757.000000,1.411004,83.826983,52.292358,39.456879,45.385341
2003, 臺灣地區,316997.000000,265948.000000,166177.000000,143669.000000,1.406702,83.896062,52.422263,39.326568,45.321880
2003, 新北市,39611.000000,34554.000000,22199.000000,15000.000000,1.077401,87.233344,56.042513,37.859938,37.868269
2003, 臺北市,54625.000000,47912.000000,30836.000000,25436.000000,2.079259,87.710755,56.450343,38.953757,46.564760
2003, 桃園市,21333.000000,18708.000000,11970.000000,7907.000000,1.170808,87.695120,56.110252,37.837037,37.064642
2003, 臺中市,31410.000000,27105.000000,17447.000000,12761.000000,1.241618,86.294174,55.546004,38.959230,40.627189
2003, 臺南市,22923.000000,18637.000000,11244.000000,10962.000000,1.234769,81.302622,49.051171,40.568576,47.820966
2003, 高雄市,39927.000000,33071.000000,20784.000000,17936.000000,1.453572,82.828662,52.055000,39.500007,44.921983
2003, 宜蘭縣,7240.000000,5871.000000,3507.000000,3668.000000,1.562753,81.091160,48.439227,38.196823,50.662983
2003, 新竹縣,6859.000000,5843.000000,3910.000000,3164.000000,1.493402,85.187345,57.005394,38.455679,46.129173
2003, 苗栗縣,8015.000000,6574.000000,3926.000000,3777.000000,1.428946,82.021210,48.983157,38.990954,47.124142
2003, 彰化縣,16399.000000,13580.000000,8114.000000,7590.000000,1.245705,82.809927,49.478627,39.483505,46.283310
2003, 南投縣,8664.000000,7053.000000,3982.000000,4216.000000,1.603266,81.405817,45.960295,39.777528,48.661127
2003, 雲林縣,9893.000000,7707.000000,4518.000000,5071.000000,1.335987,77.903568,45.668655,41.352724,51.258466
2003, 嘉義縣,8190.000000,6467.000000,3689.000000,4332.000000,1.461430,78.962149,45.042735,39.702076,52.893773
2003, 屏東縣,12653.000000,9867.000000,5789.000000,6151.000000,1.400021,77.981506,45.751996,41.083538,48.612977
2003, 臺東縣,5273.000000,3780.000000,2221.000000,3192.000000,2.171371,71.685947,42.120235,39.221032,60.534800
2003, 花蓮縣,6449.000000,5026.000000,3071.000000,3470.000000,1.836558,77.934563,47.619786,39.666227,53.806792
2003, 澎湖縣,2814.000000,1901.000000,932.000000,1886.000000,3.050307,67.555082,33.120114,39.561123,67.022033
2003, 基隆市,5797.000000,4772.000000,2932.000000,2872.000000,1.477914,82.318441,50.577885,38.788166,49.542867
2003, 新竹市,5155.000000,4438.000000,3146.000000,2357.000000,1.346315,86.091174,61.028128,37.804074,45.722599
2003, 嘉義市,3767.000000,3082.000000,1960.000000,1921.000000,1.397286,81.815769,52.030794,39.721264,50.995487
2003, 金門縣,1537.000000,1203.000000,478.000000,823.000000,2.520375,78.269356,31.099545,42.529603,53.545869
2003, 連江縣,417.000000,216.000000,132.000000,265.000000,4.735408,51.798561,31.654676,39.381295,63.549161
2004, 總計,316946.000000,268634.000000,166728.000000,133523.000000,1.396907,84.757025,52.604545,39.390532,42.127997
2004, 臺灣地區,314949.000000,267155.000000,166097.000000,132401.000000,1.392636,84.824845,52.737745,39.250769,42.038870
2004, 新北市,39040.000000,34386.000000,22066.000000,13364.000000,1.052831,88.078893,56.521516,37.720000,34.231557
2004, 臺北市,53249.000000,47173.000000,29876.000000,24227.000000,2.030489,88.589457,56.106218,39.155139,45.497568
2004, 桃園市,21487.000000,18989.000000,12129.000000,7022.000000,1.159561,88.374366,56.448085,37.770000,32.680225
2004, 臺中市,31486.000000,27511.000000,17628.000000,11449.000000,1.235553,87.375341,55.986788,38.860000,36.362193
2004, 臺南市,22749.000000,18765.000000,11319.000000,9963.000000,1.222676,82.487142,49.756033,40.110000,43.795332
2004, 高雄市,39991.000000,33502.000000,20920.000000,17343.000000,1.453372,83.773849,52.311770,39.601274,43.367258
2004, 宜蘭縣,7241.000000,5959.000000,3536.000000,3261.000000,1.566346,82.295263,48.833034,38.390000,45.035216
2004, 新竹縣,6990.000000,5977.000000,3973.000000,2825.000000,1.496000,85.507868,56.838340,38.660000,40.414878
2004, 苗栗縣,8004.000000,6622.000000,3937.000000,3533.000000,1.427646,82.733633,49.187906,39.150000,44.140430
2004, 彰化縣,16248.000000,13608.000000,8158.000000,6979.000000,1.233936,83.751846,50.209257,39.100000,42.952979
2004, 南投縣,8600.000000,7042.000000,3977.000000,3871.000000,1.597287,81.883721,46.244186,39.840000,45.011628
2004, 雲林縣,9757.000000,7738.000000,4553.000000,4660.000000,1.324290,79.307164,46.663934,40.720000,47.760582
2004, 嘉義縣,8170.000000,6555.000000,3738.000000,4005.000000,1.464412,80.232558,45.752754,39.490000,49.020808
2004, 屏東縣,12574.000000,9867.000000,5804.000000,5624.000000,1.396802,78.471449,46.158740,40.650000,44.727215
2004, 臺東縣,5318.000000,3932.000000,2263.000000,2882.000000,2.212395,73.937571,42.553592,39.230000,54.193306
2004, 花蓮縣,6388.000000,5045.000000,3064.000000,3128.000000,1.829591,78.976205,47.964934,40.020000,48.966813
2004, 澎湖縣,2828.000000,1961.000000,1000.000000,1817.000000,3.080342,69.342291,35.360679,39.300000,64.250354
2004, 基隆市,5828.000000,4838.000000,2969.000000,2583.000000,1.485458,83.013040,50.943720,38.820000,44.320522
2004, 新竹市,5217.000000,4541.000000,3226.000000,2064.000000,1.348236,87.042362,61.836304,38.200000,39.562967
2004, 嘉義市,3784.000000,3144.000000,1961.000000,1801.000000,1.399714,83.086681,51.823467,39.410000,47.595137
2004, 金門縣,1512.000000,1196.000000,470.000000,837.000000,2.345786,79.100529,31.084656,42.989418,55.357143
2004, 連江縣,485.000000,283.000000,161.000000,285.000000,5.182178,58.350515,33.195876,39.006186,58.762887
2005, 總計,313636.000000,269122.000000,166135.000000,132621.000000,1.377386,85.807114,52.970641,39.696734,42.285006
2005, 臺灣地區,311613.000000,267590.000000,165492.000000,131495.000000,1.373363,85.872541,53.108182,39.563961,42.198175
2005, 新北市,38377.000000,34064.000000,21667.000000,13417.000000,1.027036,88.761498,56.458295,38.260000,34.961044
2005, 臺北市,52768.000000,47206.000000,29889.000000,23989.000000,2.016836,89.459521,56.642283,39.724265,45.461264
2005, 桃園市,21557.000000,19246.000000,12246.000000,7083.000000,1.146456,89.279584,56.807534,38.030000,32.857077
2005, 臺中市,31331.000000,27709.000000,17575.000000,11380.000000,1.220901,88.439565,56.094603,39.180000,36.321854
2005, 臺南市,22624.000000,18917.000000,11393.000000,9941.000000,1.214439,83.614745,50.358027,40.305000,43.940064
2005, 高雄市,39744.000000,33659.000000,20950.000000,17185.000000,1.443407,84.689513,52.712359,40.083417,43.239231
2005, 宜蘭縣,7114.000000,5934.000000,3453.000000,3227.000000,1.541208,83.412988,48.538094,38.910000,45.361259
2005, 新竹縣,6951.000000,6062.000000,4029.000000,2832.000000,1.455167,87.210473,57.962883,39.090000,40.742339
2005, 苗栗縣,7881.000000,6606.000000,3925.000000,3494.000000,1.407462,83.821850,49.803324,39.710000,44.334475
2005, 彰化縣,15975.000000,13590.000000,8029.000000,6884.000000,1.214066,85.070423,50.259781,39.180000,43.092332
2005, 南投縣,8426.000000,6985.000000,3958.000000,3834.000000,1.568597,82.898172,46.973653,39.860000,45.502018
2005, 雲林縣,9526.000000,7704.000000,4514.000000,4602.000000,1.299006,80.873399,47.386101,40.540000,48.309889
2005, 嘉義縣,8034.000000,6531.000000,3718.000000,3931.000000,1.442108,81.292009,46.278317,39.820000,48.929549
2005, 屏東縣,12226.000000,9791.000000,5769.000000,5455.000000,1.361015,80.083429,47.186324,40.630000,44.618027
2005, 臺東縣,5295.000000,4015.000000,2270.000000,2853.000000,2.216010,75.826251,42.870633,39.790000,53.881020
2005, 花蓮縣,6364.000000,5084.000000,3035.000000,3139.000000,1.832432,79.886864,47.690132,40.430000,49.324324
2005, 澎湖縣,2785.000000,1962.000000,987.000000,1805.000000,3.011169,70.448833,35.439856,39.420000,64.811490
2005, 基隆市,5714.000000,4829.000000,2940.000000,2559.000000,1.458669,84.511726,51.452573,39.130000,44.784739
2005, 新竹市,5170.000000,4540.000000,3205.000000,2087.000000,1.323293,87.814313,61.992263,38.740000,40.367505
2005, 嘉義市,3751.000000,3156.000000,1940.000000,1798.000000,1.380562,84.137563,51.719541,39.570000,47.933884
2005, 金門縣,1484.000000,1207.000000,465.000000,816.000000,2.112035,81.334232,31.334232,43.039084,54.986523
2005, 連江縣,539.000000,325.000000,178.000000,310.000000,5.210246,60.296846,33.024119,39.408163,57.513915
2006, 總計,314042.000000,272092.000000,165928.000000,133817.000000,1.372770,86.641914,52.836245,39.990082,42.611179
2006, 臺灣地區,311986.000000,270492.000000,165249.000000,132647.000000,1.368945,86.700044,52.966800,39.868715,42.516972
2006, 新北市,38912.000000,34888.000000,21554.000000,14163.000000,1.032944,89.658717,55.391653,38.400000,36.397512
2006, 臺北市,52089.000000,46890.000000,29477.000000,23560.000000,1.978883,90.019006,56.589683,40.085968,45.230279
2006, 桃園市,22277.000000,20022.000000,12462.000000,7685.000000,1.165627,89.877452,55.941105,38.120000,34.497464
2006, 臺中市,32072.000000,28525.000000,17767.000000,11996.000000,1.239340,88.940509,55.397231,39.280000,37.403342
2006, 臺南市,22465.000000,19002.000000,11358.000000,9906.000000,1.203443,84.584910,50.558647,40.590000,44.095259
2006, 高雄市,39655.000000,33862.000000,20979.000000,17192.000000,1.436682,85.391502,52.903795,40.367243,43.353928
2006, 宜蘭縣,7046.000000,5939.000000,3409.000000,3212.000000,1.530322,84.288958,48.382061,39.400000,45.586148
2006, 新竹縣,6895.000000,6051.000000,4013.000000,2838.000000,1.413802,87.759246,58.201595,39.630000,41.160261
2006, 苗栗縣,7864.000000,6665.000000,3914.000000,3465.000000,1.404321,84.753306,49.771109,40.080000,44.061546
2006, 彰化縣,15941.000000,13710.000000,8030.000000,6839.000000,1.212212,86.004642,50.373251,39.490000,42.901951
2006, 南投縣,8410.000000,7045.000000,3952.000000,3836.000000,1.571361,83.769322,46.991677,40.210000,45.612366
2006, 雲林縣,9442.000000,7768.000000,4536.000000,4547.000000,1.296106,82.270705,48.040669,40.630000,48.157170
2006, 嘉義縣,7890.000000,6497.000000,3674.000000,3884.000000,1.424597,82.344740,46.565272,40.100000,49.226869
2006, 屏東縣,12121.000000,9827.000000,5762.000000,5390.000000,1.356508,81.074169,47.537332,40.840000,44.468278
2006, 臺東縣,5247.000000,4056.000000,2273.000000,2799.000000,2.223710,77.301315,43.319992,40.320000,53.344768
2006, 花蓮縣,6306.000000,5104.000000,3021.000000,3127.000000,1.826222,80.938788,47.906755,40.870000,49.587694
2006, 澎湖縣,2744.000000,1988.000000,970.000000,1772.000000,2.989595,72.448980,35.349854,39.900000,64.577259
2006, 基隆市,5644.000000,4832.000000,2917.000000,2529.000000,1.444834,85.613040,51.683203,39.490000,44.808646
2006, 新竹市,5221.000000,4632.000000,3246.000000,2108.000000,1.322586,88.718636,62.171998,39.100000,40.375407
2006, 嘉義市,3745.000000,3189.000000,1935.000000,1799.000000,1.374998,85.153538,51.668892,39.840000,48.037383
2006, 金門縣,1513.000000,1252.000000,495.000000,846.000000,1.978010,82.749504,32.716457,43.016523,55.915400
2006, 連江縣,543.000000,348.000000,184.000000,324.000000,5.548743,64.088398,33.885820,39.755064,59.668508
2007, 總計,313945.000000,274186.000000,166110.000000,134342.000000,1.367454,87.335680,52.910542,40.313435,42.791572
2007, 臺灣地區,311878.000000,272550.000000,165404.000000,133168.000000,1.363886,87.389941,53.034841,40.215999,42.698748
2007, 新北市,38905.000000,35200.000000,21517.000000,14276.000000,1.024351,90.476802,55.306516,38.720000,36.694512
2007, 臺北市,51613.000000,46691.000000,29112.000000,23559.000000,1.963017,90.463643,56.404394,40.436770,45.645477
2007, 桃園市,22456.000000,20424.000000,12628.000000,7761.000000,1.160536,90.951193,56.234414,38.370000,34.560919
2007, 臺中市,32416.000000,28903.000000,17804.000000,12346.000000,1.243520,89.162759,54.923495,39.615000,38.086130
2007, 臺南市,22450.000000,19210.000000,11440.000000,9894.000000,1.200496,85.567929,50.957684,40.840000,44.071269
2007, 高雄市,39694.000000,34155.000000,21072.000000,17277.000000,1.435656,86.045750,53.086109,40.675598,43.525470
2007, 宜蘭縣,6992.000000,5973.000000,3399.000000,3198.000000,1.518686,85.426201,48.612700,39.760000,45.737986
2007, 新竹縣,6991.000000,6167.000000,4076.000000,2898.000000,1.409985,88.213417,58.303533,39.870000,41.453297
2007, 苗栗縣,7858.000000,6711.000000,3956.000000,3491.000000,1.402806,85.403411,50.343599,40.400000,44.426063
2007, 彰化縣,15847.000000,13736.000000,8004.000000,6772.000000,1.205687,86.678867,50.507983,39.910000,42.733640
2007, 南投縣,8365.000000,7043.000000,3939.000000,3838.000000,1.567310,84.196055,47.089062,40.740000,45.881650
2007, 雲林縣,9461.000000,7895.000000,4613.000000,4496.000000,1.303757,83.447838,48.758059,40.810000,47.521404
2007, 嘉義縣,7806.000000,6486.000000,3655.000000,3860.000000,1.415810,83.089931,46.822957,40.460000,49.449142
2007, 屏東縣,12144.000000,9924.000000,5789.000000,5419.000000,1.365165,81.719368,47.669631,41.190000,44.622859
2007, 臺東縣,5206.000000,4074.000000,2269.000000,2771.000000,2.228024,78.255859,43.584326,40.850000,53.227046
2007, 花蓮縣,6280.000000,5131.000000,2996.000000,3120.000000,1.829293,81.703822,47.707006,41.190000,49.681529
2007, 澎湖縣,2755.000000,2061.000000,996.000000,1762.000000,2.981924,74.809437,36.152450,40.490000,63.956443
