"年度","縣市","稅捐實徵淨額","平均每人稅賦","欠稅件數","欠稅金額"
2014, 新竹縣,46224132.000000,86552.644095,4082.000000,29326100.000000
2014, 苗栗縣,34745090.000000,61349.906329,4315.000000,34615474.000000
2014, 彰化縣,36393767.000000,28130.589255,12417.000000,71782653.000000
2014, 南投縣,9085091.000000,17614.668209,7945.000000,41148347.000000
2014, 雲林縣,61088138.000000,86456.815564,8193.000000,46260080.000000
2014, 嘉義縣,8248219.000000,15651.091259,5425.000000,36466302.000000
2014, 屏東縣,22830981.000000,26856.770633,11169.000000,58400779.000000
2014, 臺東縣,3292674.000000,14657.199899,5220.000000,25243241.000000
2014, 花蓮縣,11846907.000000,35507.574679,4865.000000,25701000.000000
2014, 澎湖縣,1085455.000000,10738.679647,326.000000,1463544.000000
2014, 基隆市,44683900.000000,119477.106008,3970.000000,19367406.000000
2014, 新竹市,74886852.000000,174060.141481,3087.000000,17659972.000000
2014, 嘉義市,7457571.000000,27531.157073,3342.000000,16258504.000000
2014, 金門縣,4739354.000000,38153.520424,621.000000,4431334.000000
2014, 連江縣,238685.000000,19349.438612,343.000000,883387.000000
