"年度","縣市","老人長期照顧、安養機構數","老人長期照顧、安養機構工作人員數","老人長期照顧、安養機構可供進住人數","老人長期照顧、安養機構實際進住人數","每萬老人長期照顧、安養機構數","老人長期照顧、安養機構每位工作人員服務老人數","老人長期照顧、安養機構可供進住人數占老年人口比率","老人長期照顧、安養機構實際進住人數占老年人口比率","參與長青學苑人次","55歲以上每百人參與長青學苑人次","中低收入老人生活津貼核定人數","中低收入老人生活津貼核發金額","老年農民福利津貼核付人數","老年農民福利津貼核付金額","老年基本保證年金核付人數","老年基本保證年金核付金額","中低收入老人生活津貼與老年農民福利津貼核付人數占老年人口比率","中低收入老人生活津貼與老年農民福利津貼核付金額占總決算歲出比率","中低收入老人生活津貼、老年基本保證年金與老年農民福利津貼核付人數占老年人口比率","中低收入老人生活津貼、老年基本保證年金與老年農民福利津貼核付金額占總決算歲出比率"
2000, 彰化縣,16.000000,128.000000,678.000000,305.000000,1.295945,2.380000,54.920000,24.703957,2310.000000,1.033703,11680.000000,456026680.000000,76048.000000,2723592000.000000,-,-,71.056681,9.649519,71.056681,9.649519
2000, 南投縣,8.000000,143.000000,847.000000,403.000000,1.394068,2.820000,147.600000,70.226188,3335.000000,3.244889,8463.000000,489295312.000000,33685.000000,1279398000.000000,-,-,73.446485,6.244233,73.446485,6.244233
2000, 雲林縣,3.000000,67.000000,240.000000,175.000000,0.347673,2.610000,27.810000,20.280920,3038.000000,1.944824,7616.000000,427467056.000000,61436.000000,2208918000.000000,-,-,80.025032,10.619832,80.025032,10.619832
2000, 嘉義縣,4.000000,39.000000,163.000000,123.000000,0.573345,3.150000,23.360000,17.630364,3552.000000,2.918257,9084.000000,549130128.000000,47475.000000,1699185000.000000,-,-,81.069575,10.418773,81.069575,10.418773
2000, 屏東縣,8.000000,53.000000,386.000000,161.000000,0.881630,3.040000,42.540000,17.742806,3058.000000,1.850087,10689.000000,474248736.000000,51350.000000,1865031000.000000,-,-,68.369315,8.584601,68.369315,8.584601
2000, 臺東縣,5.000000,97.000000,410.000000,272.000000,1.808122,2.800000,148.270000,98.361841,410.000000,0.863558,3352.000000,134412256.000000,12952.000000,486870000.000000,-,-,58.959245,4.959698,58.959245,4.959698
2000, 花蓮縣,7.000000,93.000000,429.000000,230.000000,1.843949,2.470000,113.010000,60.586903,1362.000000,2.076441,8905.000000,336103112.000000,11891.000000,426393000.000000,-,-,54.781097,5.163192,54.781097,5.163192
2000, 澎湖縣,-,-,-,-,-,-,-,-,-,-,1712.000000,106594224.000000,6208.000000,209886000.000000,-,-,61.471593,3.856265,61.471593,3.856265
2000, 基隆市,13.000000,130.000000,1048.000000,742.000000,3.800392,5.710000,306.370000,216.914667,2298.000000,3.734369,6940.000000,302833064.000000,889.000000,36300000.000000,-,-,22.887128,1.856509,22.887128,1.856509
2000, 新竹市,6.000000,39.000000,131.000000,86.000000,1.924496,2.210000,42.020000,27.584437,4409.000000,8.041952,3020.000000,136648656.000000,3854.000000,159507000.000000,-,-,22.048305,1.962525,22.048305,1.962525
