"年度","縣市","違反戶籍法令件數","平均每百萬人違反戶籍法令件數","調解委員會調解成立案件數","調解委員會調解結案件數","調解委員會受理調解案件調解成立比率","平均每一公教人員服務人口數"
1999, 桃園市,1249.000000,747.394889,4346.000000,5783.000000,75.150000,94.295941
1999, 臺中市,2438.000000,1014.277474,5791.000000,7970.000000,72.660000,88.646366
1999, 臺南市,1886.000000,1032.325867,6356.000000,8378.000000,75.870000,83.285578
1999, 高雄市,2196.000000,814.052262,5529.000000,8937.000000,61.870000,69.630906
1999, 宜蘭縣,420.000000,902.613388,1767.000000,2539.000000,69.590000,69.788984
1999, 新竹縣,241.000000,559.328898,812.000000,1394.000000,58.250000,72.877520
1999, 苗栗縣,102.000000,182.197842,1692.000000,2396.000000,70.620000,80.616935
1999, 彰化縣,1124.000000,862.258434,10149.000000,11567.000000,87.740000,85.604511
1999, 南投縣,367.000000,673.448866,1623.000000,2220.000000,73.110000,65.248021
1999, 雲林縣,824.000000,1102.167150,7443.000000,8746.000000,85.100000,82.759343
1999, 嘉義縣,369.000000,654.026294,3846.000000,4443.000000,86.560000,74.921704
1999, 屏東縣,708.000000,778.212255,3237.000000,5028.000000,64.380000,75.669275
1999, 臺東縣,278.000000,1117.053550,634.000000,1138.000000,55.710000,47.727465
1999, 花蓮縣,43.000000,120.737849,1138.000000,1721.000000,66.120000,63.845988
1999, 澎湖縣,43.000000,481.857505,116.000000,252.000000,46.030000,32.641364
1999, 基隆市,462.000000,1204.192780,894.000000,1097.000000,81.490000,76.978617
1999, 新竹市,174.000000,484.544020,948.000000,1121.000000,84.570000,82.714351
1999, 嘉義市,317.000000,1200.396093,4079.000000,4291.000000,95.060000,80.166011
1999, 金門縣,52.000000,1011.761730,59.000000,89.000000,66.290000,35.311263
1999, 連江縣,-,-,2.000000,3.000000,66.670000,23.597122
2000, 總計,22175.000000,999.570444,72544.000000,98301.000000,73.800000,73.787026
2000, 臺灣地區,22129.000000,1000.176203,72492.000000,98202.000000,73.820000,74.072455
2000, 新北市,2933.000000,828.670004,10998.000000,15031.000000,73.170000,97.398340
2000, 臺北市,3749.000000,1417.984767,2128.000000,5525.000000,38.520000,48.314481
2000, 桃園市,1760.000000,1028.064706,4384.000000,6334.000000,69.210000,89.772902
2000, 臺中市,3224.000000,1320.744746,5884.000000,7943.000000,74.080000,88.645791
2000, 臺南市,1809.000000,984.725594,5311.000000,7084.000000,74.970000,82.850070
2000, 高雄市,2452.000000,902.943847,5162.000000,8378.000000,61.610000,69.241266
2000, 宜蘭縣,483.000000,1038.497511,1321.000000,2001.000000,66.020000,68.581159
2000, 新竹縣,347.000000,794.523057,702.000000,1207.000000,58.160000,70.795846
2000, 苗栗縣,131.000000,234.031587,1478.000000,2259.000000,65.430000,76.713679
2000, 彰化縣,1254.000000,958.652932,10202.000000,11588.000000,88.040000,84.100045
2000, 南投縣,428.000000,788.522212,1856.000000,2592.000000,71.600000,68.272441
2000, 雲林縣,862.000000,1157.350687,7859.000000,9058.000000,86.760000,79.504599
2000, 嘉義縣,528.000000,938.694202,4013.000000,4647.000000,86.360000,73.629043
2000, 屏東縣,793.000000,873.057159,3204.000000,4832.000000,66.310000,74.939311
2000, 臺東縣,320.000000,1297.876957,525.000000,914.000000,57.440000,47.238976
2000, 花蓮縣,49.000000,138.161271,985.000000,1540.000000,63.960000,59.634064
2000, 澎湖縣,56.000000,627.419346,108.000000,275.000000,39.270000,32.285714
2000, 基隆市,493.000000,1274.517661,652.000000,858.000000,75.990000,74.697115
2000, 新竹市,141.000000,386.091400,846.000000,1033.000000,81.900000,82.314343
2000, 嘉義市,317.000000,1193.317422,4874.000000,5103.000000,95.510000,78.427519
2000, 金門縣,46.000000,871.517482,50.000000,97.000000,51.550000,35.911941
2000, 連江縣,-,-,2.000000,2.000000,100.000000,13.968880
2001, 總計,24580.000000,1100.213418,67308.000000,92396.000000,72.850000,71.540314
2001, 臺灣地區,24524.000000,1100.820260,67257.000000,92308.000000,72.860000,71.800624
2001, 新北市,3715.000000,1035.085930,10153.000000,14246.000000,71.270000,92.572938
2001, 臺北市,4469.000000,1692.714547,2003.000000,4826.000000,41.500000,47.829045
2001, 桃園市,1744.000000,997.831547,4087.000000,5963.000000,68.540000,85.859981
2001, 臺中市,3285.000000,1328.328413,5417.000000,7531.000000,71.930000,82.270510
2001, 臺南市,2057.000000,1114.729934,5570.000000,7423.000000,75.040000,80.850525
2001, 高雄市,3590.000000,1315.817927,5332.000000,9071.000000,58.780000,68.630242
2001, 宜蘭縣,428.000000,919.456275,1191.000000,1738.000000,68.530000,66.268175
2001, 新竹縣,299.000000,674.933664,800.000000,1331.000000,60.110000,68.958591
2001, 苗栗縣,82.000000,146.383741,1075.000000,1973.000000,54.490000,73.488006
2001, 彰化縣,1098.000000,836.722836,8577.000000,9797.000000,87.550000,81.705882
2001, 南投縣,385.000000,710.755016,1960.000000,2467.000000,79.450000,64.310742
2001, 雲林縣,737.000000,991.304231,7302.000000,8459.000000,86.320000,78.039673
2001, 嘉義縣,495.000000,879.476223,3754.000000,4363.000000,86.040000,71.257905
2001, 屏東縣,729.000000,802.441889,2691.000000,4267.000000,63.070000,73.111754
2001, 臺東縣,337.000000,1375.723582,527.000000,895.000000,58.880000,46.495343
2001, 花蓮縣,35.000000,99.042261,887.000000,1365.000000,64.980000,56.829578
2001, 澎湖縣,138.000000,1518.452499,91.000000,232.000000,39.220000,32.835587
2001, 基隆市,464.000000,1190.673231,643.000000,840.000000,76.550000,72.360911
2001, 新竹市,133.000000,358.618644,721.000000,827.000000,87.180000,76.920668
2001, 嘉義市,304.000000,1138.201641,4476.000000,4694.000000,95.360000,74.215730
2001, 金門縣,31.000000,559.617294,50.000000,84.000000,59.520000,37.472368
2001, 連江縣,25.000000,3208.418891,1.000000,4.000000,25.000000,16.637218
2002, 總計,41492.000000,1847.112242,64212.000000,90811.000000,70.710000,70.762639
2002, 臺灣地區,41331.000000,1845.428909,64167.000000,90702.000000,70.740000,70.987556
2002, 新北市,5486.000000,1513.024949,9756.000000,14040.000000,69.490000,91.273461
2002, 臺北市,6664.000000,2526.319940,2173.000000,5357.000000,40.560000,49.143495
2002, 桃園市,2930.000000,1648.120159,3530.000000,5170.000000,68.280000,83.664846
2002, 臺中市,6397.000000,2561.636757,5592.000000,7727.000000,72.370000,80.885274
2002, 臺南市,3325.000000,1796.856825,5421.000000,7493.000000,72.350000,80.122129
2002, 高雄市,5021.000000,1834.383083,5496.000000,9670.000000,56.840000,68.304530
2002, 宜蘭縣,633.000000,1361.427929,1011.000000,1527.000000,66.210000,64.041258
2002, 新竹縣,541.000000,1203.587626,747.000000,1326.000000,56.330000,66.885195
2002, 苗栗縣,176.000000,313.891668,1341.000000,2131.000000,62.930000,70.008240
2002, 彰化縣,2354.000000,1789.996323,8038.000000,9300.000000,86.430000,80.446122
2002, 南投縣,813.000000,1501.232562,1852.000000,2655.000000,69.760000,63.235047
2002, 雲林縣,1460.000000,1964.532122,6339.000000,7509.000000,84.420000,75.441499
2002, 嘉義縣,1228.000000,2181.639232,3849.000000,4553.000000,84.540000,68.878628
2002, 屏東縣,1238.000000,1363.780072,2614.000000,4164.000000,62.780000,71.218013
2002, 臺東縣,1128.000000,4617.491204,430.000000,803.000000,53.550000,46.013768
2002, 花蓮縣,208.000000,589.825789,770.000000,1406.000000,54.770000,53.747558
2002, 澎湖縣,227.000000,2457.853763,82.000000,216.000000,37.960000,32.735836
2002, 基隆市,572.000000,1462.137789,492.000000,668.000000,73.650000,67.830532
2002, 新竹市,301.000000,800.432925,789.000000,915.000000,86.230000,75.083647
2002, 嘉義市,629.000000,2347.452883,3845.000000,4072.000000,94.430000,71.479989
2002, 金門縣,124.000000,2139.941842,41.000000,98.000000,41.840000,38.218547
2002, 連江縣,37.000000,4201.203588,4.000000,11.000000,36.360000,20.864286
2003, 總計,40274.000000,1784.984335,75512.000000,101729.000000,74.230000,70.871545
2003, 臺灣地區,40128.000000,1783.948690,75464.000000,101627.000000,74.260000,71.088247
2003, 新北市,6182.000000,1689.537508,16824.000000,21099.000000,79.740000,92.815960
2003, 臺北市,6525.000000,2476.753627,2379.000000,5581.000000,42.630000,48.094059
2003, 桃園市,3136.000000,1735.147640,3589.000000,5398.000000,66.490000,85.411100
2003, 臺中市,6401.000000,2540.957609,6083.000000,8524.000000,71.360000,80.540051
2003, 臺南市,2612.000000,1408.418428,6878.000000,8576.000000,80.200000,80.986825
2003, 高雄市,4895.000000,1783.331912,6030.000000,9935.000000,60.690000,68.796028
2003, 宜蘭縣,728.000000,1569.994134,997.000000,1553.000000,64.200000,63.989641
2003, 新竹縣,578.000000,1267.591116,753.000000,1432.000000,52.580000,66.961219
2003, 苗栗縣,188.000000,335.214756,1498.000000,2389.000000,62.700000,69.981659
2003, 彰化縣,2219.000000,1685.771827,9068.000000,10394.000000,87.240000,80.275810
2003, 南投縣,670.000000,1238.803390,1806.000000,2399.000000,75.280000,62.372692
2003, 雲林縣,1301.000000,1754.199089,6013.000000,7130.000000,84.330000,74.851006
2003, 嘉義縣,908.000000,1617.379347,4358.000000,5099.000000,85.470000,68.426129
2003, 屏東縣,1121.000000,1238.708252,2755.000000,3979.000000,69.240000,71.427488
2003, 臺東縣,779.000000,3200.446994,525.000000,888.000000,59.120000,46.053859
2003, 花蓮縣,202.000000,574.434807,729.000000,1279.000000,57.000000,54.449682
2003, 澎湖縣,130.000000,1407.695764,110.000000,262.000000,41.980000,32.783582
2003, 基隆市,572.000000,1459.757149,415.000000,586.000000,70.820000,67.662929
2003, 新竹市,418.000000,1097.553611,777.000000,910.000000,85.380000,74.276819
2003, 嘉義市,563.000000,2094.879823,3877.000000,4214.000000,92.000000,71.567295
2003, 金門縣,120.000000,2001.400981,47.000000,96.000000,48.960000,39.676643
2003, 連江縣,26.000000,2959.758666,1.000000,6.000000,16.670000,21.117506
2004, 總計,47488.000000,2096.893359,80604.000000,102541.000000,78.610000,71.586712
2004, 臺灣地區,47292.000000,2094.880566,80556.000000,102462.000000,78.620000,71.806251
2004, 新北市,7995.000000,2165.307628,19251.000000,23297.000000,82.630000,94.982044
2004, 臺北市,7971.000000,3036.797019,2354.000000,3909.000000,60.220000,49.249225
2004, 桃園市,3824.000000,2081.029544,3651.000000,5206.000000,70.130000,86.239540
2004, 臺中市,7547.000000,2972.374483,7371.000000,9342.000000,78.900000,80.935400
2004, 臺南市,2827.000000,1521.097902,7823.000000,9562.000000,81.810000,81.787815
2004, 高雄市,5583.000000,2030.764832,5967.000000,8897.000000,67.070000,68.805531
2004, 宜蘭縣,839.000000,1812.934934,1004.000000,1435.000000,69.970000,63.842839
2004, 新竹縣,710.000000,1532.595169,700.000000,1303.000000,53.720000,66.844921
2004, 苗栗縣,177.000000,315.635739,1457.000000,2168.000000,67.200000,70.045352
2004, 彰化縣,2554.000000,1939.841372,10138.000000,11533.000000,87.900000,81.041482
2004, 南投縣,826.000000,1531.316914,1858.000000,2466.000000,75.340000,62.606163
2004, 雲林縣,1341.000000,1815.507357,5993.000000,7066.000000,84.810000,75.512145
2004, 嘉義縣,871.000000,1557.703434,4305.000000,4877.000000,88.270000,68.286781
2004, 屏東縣,1267.000000,1404.678900,2735.000000,3869.000000,70.690000,71.592095
2004, 臺東縣,775.000000,3207.681881,532.000000,875.000000,60.800000,45.199887
2004, 花蓮縣,233.000000,665.433853,618.000000,1116.000000,55.380000,54.657013
2004, 澎湖縣,132.000000,1434.307105,70.000000,188.000000,37.230000,32.463932
2004, 基隆市,700.000000,1784.396473,542.000000,685.000000,79.120000,67.319321
2004, 新竹市,501.000000,1301.557322,843.000000,976.000000,86.370000,74.170979
2004, 嘉義市,619.000000,2292.868586,3344.000000,3692.000000,90.570000,71.443182
2004, 金門縣,170.000000,2710.480791,47.000000,76.000000,61.840000,42.629630
2004, 連江縣,26.000000,2862.647949,1.000000,3.000000,33.330000,19.296907
2005, 總計,58616.000000,2578.822625,84108.000000,108451.000000,77.550000,72.601305
2005, 臺灣地區,58385.000000,2577.415103,84038.000000,108353.000000,77.560000,72.813952
2005, 新北市,11519.000000,3094.518895,18534.000000,23511.000000,78.830000,97.367616
2005, 臺北市,10360.000000,3955.068739,2612.000000,4536.000000,57.580000,49.582607
2005, 桃園市,4604.000000,2466.420864,3353.000000,5315.000000,63.090000,87.225310
2005, 臺中市,8514.000000,3329.323859,8742.000000,10716.000000,81.580000,81.906738
2005, 臺南市,3406.000000,1829.457106,8275.000000,10325.000000,80.150000,82.342557
2005, 高雄市,6468.000000,2349.826197,6082.000000,9212.000000,66.020000,69.280545
2005, 宜蘭縣,904.000000,1956.981054,1072.000000,1421.000000,75.440000,64.884172
2005, 新竹縣,1035.000000,2190.654688,838.000000,1383.000000,60.590000,68.720616
2005, 苗栗縣,184.000000,328.399312,1524.000000,2279.000000,66.870000,71.049867
2005, 彰化縣,2750.000000,2089.198918,11866.000000,13304.000000,89.190000,82.367825
2005, 南投縣,901.000000,1675.373589,1801.000000,2507.000000,71.840000,63.751246
2005, 雲林縣,1473.000000,2003.942584,5908.000000,7064.000000,83.640000,76.981944
2005, 嘉義縣,1070.000000,1919.275626,4350.000000,5015.000000,86.740000,69.342918
2005, 屏東縣,1379.000000,1533.500992,2741.000000,3884.000000,70.570000,73.474562
2005, 臺東縣,1189.000000,4961.236429,501.000000,795.000000,63.020000,45.126157
2005, 花蓮縣,211.000000,605.932684,668.000000,1151.000000,58.040000,54.572282
2005, 澎湖縣,141.000000,1530.138852,103.000000,235.000000,43.830000,33.209695
2005, 基隆市,901.000000,2298.281773,540.000000,665.000000,81.200000,68.555653
2005, 新竹市,633.000000,1627.998488,978.000000,1140.000000,85.790000,75.569052
2005, 嘉義市,743.000000,2741.484977,3550.000000,3895.000000,91.140000,72.434284
2005, 金門縣,197.000000,2924.584323,68.000000,90.000000,75.560000,47.347709
2005, 連江縣,34.000000,3451.075924,2.000000,8.000000,25.000000,19.192950
2006, 總計,85772.000000,3758.063799,85799.000000,111840.000000,76.720000,72.845438
2006, 臺灣地區,85442.000000,3757.341905,85736.000000,111724.000000,76.740000,73.048951
2006, 新北市,19456.000000,5185.658626,17903.000000,23383.000000,76.560000,96.810624
2006, 臺北市,15087.000000,5748.943007,2850.000000,5091.000000,55.980000,50.533548
2006, 桃園市,6334.000000,3341.178121,3921.000000,5910.000000,66.350000,85.790771
2006, 臺中市,11612.000000,4505.972781,9622.000000,11802.000000,81.530000,80.688077
2006, 臺南市,5076.000000,2721.974880,8250.000000,10410.000000,79.250000,83.094903
2006, 高雄市,9204.000000,3338.613547,6209.000000,9298.000000,66.780000,69.604842
2006, 宜蘭縣,1174.000000,2546.604600,1172.000000,1609.000000,72.840000,65.345728
2006, 新竹縣,1588.000000,3289.933694,724.000000,1182.000000,61.250000,70.731255
2006, 苗栗縣,329.000000,587.536721,1542.000000,2243.000000,68.750000,71.208800
2006, 彰化縣,3510.000000,2668.328987,12250.000000,13834.000000,88.550000,82.493821
2006, 南投縣,1223.000000,2280.922776,1688.000000,2407.000000,70.130000,63.639120
2006, 雲林縣,1914.000000,2618.653459,6183.000000,7387.000000,83.700000,77.154205
2006, 嘉義縣,1364.000000,2455.573738,4238.000000,4982.000000,85.070000,70.195311
2006, 屏東縣,2155.000000,2405.343322,2934.000000,4297.000000,68.280000,73.718670
2006, 臺東縣,1425.000000,6001.263424,510.000000,778.000000,65.550000,44.969888
2006, 花蓮縣,622.000000,1796.127929,756.000000,1220.000000,61.970000,54.757850
2006, 澎湖縣,217.000000,2355.188469,103.000000,249.000000,41.370000,33.449344
2006, 基隆市,1253.000000,3203.128994,523.000000,673.000000,77.710000,69.212084
2006, 新竹市,949.000000,2416.452246,937.000000,1109.000000,84.490000,75.609462
2006, 嘉義市,950.000000,3492.229789,3421.000000,3860.000000,88.630000,72.727370
2006, 金門縣,289.000000,3938.537017,59.000000,106.000000,55.660000,50.555849
2006, 連江縣,41.000000,4073.319756,4.000000,10.000000,40.000000,18.022099
2007, 總計,76962.000000,3358.227980,86148.000000,112017.000000,76.910000,73.128605
2007, 臺灣地區,76655.000000,3357.855469,86083.000000,111895.000000,76.930000,73.319910
2007, 新北市,17196.000000,4546.133500,18644.000000,24067.000000,77.470000,97.622799
2007, 臺北市,13468.000000,5119.441925,3175.000000,4998.000000,63.530000,50.941991
2007, 桃園市,5094.000000,2648.897112,4298.000000,6328.000000,67.920000,86.167082
2007, 臺中市,10062.000000,3874.006617,11127.000000,13384.000000,83.140000,80.416893
2007, 臺南市,4589.000000,2456.120069,7609.000000,9653.000000,78.830000,83.298931
2007, 高雄市,8070.000000,2921.241589,6131.000000,9134.000000,67.120000,69.654557
2007, 宜蘭縣,1194.000000,2593.329453,1060.000000,1473.000000,71.960000,65.846396
2007, 新竹縣,2296.000000,4668.977431,728.000000,1227.000000,59.330000,70.922758
2007, 苗栗縣,432.000000,771.325958,1025.000000,1668.000000,61.450000,71.285696
2007, 彰化縣,3073.000000,2337.426047,12088.000000,13518.000000,89.420000,82.940241
2007, 南投縣,1168.000000,2185.379289,1663.000000,2395.000000,69.440000,63.803586
2007, 雲林縣,1678.000000,2307.858409,5482.000000,6851.000000,80.020000,76.701406
2007, 嘉義縣,1195.000000,2162.531918,4051.000000,4895.000000,82.760000,70.630925
2007, 屏東縣,1882.000000,2110.922115,3029.000000,4488.000000,67.490000,73.251235
2007, 臺東縣,1092.000000,4650.598253,504.000000,790.000000,63.800000,44.882828
2007, 花蓮縣,750.000000,2178.317032,667.000000,1277.000000,52.230000,54.665924
2007, 澎湖縣,136.000000,1476.856251,62.000000,218.000000,28.440000,33.535390
2007, 基隆市,1502.000000,3846.203091,574.000000,694.000000,82.710000,69.342274
2007, 新竹市,842.000000,2121.462549,822.000000,997.000000,82.450000,75.948801
2007, 嘉義市,936.000000,3432.097815,3344.000000,3840.000000,87.080000,72.723036
2007, 金門縣,279.000000,3530.796391,60.000000,112.000000,53.570000,53.543664
2007, 連江縣,28.000000,2838.029597,5.000000,10.000000,50.000000,18.283088
2008, 總計,52858.000000,2298.404203,91895.000000,117972.000000,77.900000,72.949091
2008, 臺灣地區,52650.000000,2298.646180,91832.000000,117856.000000,77.920000,73.142813
2008, 新北市,12493.000000,3273.956349,21199.000000,27466.000000,77.180000,96.882313
2008, 臺北市,8801.000000,3351.362631,3318.000000,5113.000000,64.890000,50.682544
2008, 桃園市,3798.000000,1950.866718,4978.000000,6876.000000,72.400000,86.323755
2008, 臺中市,6839.000000,2614.863390,13014.000000,15160.000000,85.840000,80.510294
2008, 臺南市,3491.000000,1865.315760,8101.000000,10105.000000,80.170000,83.508181
2008, 高雄市,5585.000000,2018.459964,6719.000000,9686.000000,69.370000,69.809257
2008, 宜蘭縣,753.000000,1634.646695,1096.000000,1566.000000,69.990000,65.154368
2008, 新竹縣,1123.000000,2248.036721,722.000000,1282.000000,56.320000,71.568970
2008, 苗栗縣,339.000000,605.054616,967.000000,1588.000000,60.890000,71.017235
2008, 彰化縣,1987.000000,1512.585787,12291.000000,13715.000000,89.620000,82.475972
2008, 南投縣,741.000000,1390.935456,1688.000000,2451.000000,68.870000,63.364276
2008, 雲林縣,1106.000000,1526.205613,5602.000000,6876.000000,81.470000,75.085495
2008, 嘉義縣,799.000000,1452.626909,3769.000000,4575.000000,82.380000,69.565289
2008, 屏東縣,1301.000000,1466.410355,3343.000000,4648.000000,71.920000,71.786305
2008, 臺東縣,427.000000,1834.550997,536.000000,828.000000,64.730000,44.339071
2008, 花蓮縣,582.000000,1699.927709,706.000000,1253.000000,56.340000,54.446340
2008, 澎湖縣,72.000000,775.452617,67.000000,186.000000,36.020000,34.203812
2008, 基隆市,1118.000000,2868.961836,540.000000,655.000000,82.440000,70.111572
2008, 新竹市,668.000000,1660.852853,815.000000,1012.000000,80.530000,76.326680
2008, 嘉義市,627.000000,2293.057923,2361.000000,2815.000000,83.870000,73.560720
2008, 金門縣,193.000000,2323.663442,60.000000,109.000000,55.050000,54.107486
2008, 連江縣,15.000000,1522.765342,3.000000,7.000000,42.860000,17.326821
2009, 總計,25068.000000,1086.210412,95605.000000,124806.000000,76.600000,72.871887
2009, 臺灣地區,24906.000000,1083.841347,95558.000000,124701.000000,76.630000,73.037379
2009, 新北市,5645.000000,1464.829242,23360.000000,31318.000000,74.590000,95.586749
2009, 臺北市,3677.000000,1406.024185,3722.000000,5887.000000,63.220000,50.492409
2009, 桃園市,1988.000000,1009.785984,5101.000000,6962.000000,73.270000,86.383289
2009, 臺中市,3299.000000,1254.412450,15433.000000,17725.000000,87.070000,80.587061
2009, 臺南市,1817.000000,969.477467,7487.000000,9422.000000,79.460000,83.499822
2009, 高雄市,2995.000000,1081.238952,7225.000000,10294.000000,70.190000,70.156142
2009, 宜蘭縣,301.000000,652.555427,982.000000,1411.000000,69.600000,65.376717
2009, 新竹縣,560.000000,1104.367676,764.000000,1351.000000,56.550000,71.682615
2009, 苗栗縣,194.000000,345.767600,944.000000,1656.000000,57.000000,71.178915
2009, 彰化縣,807.000000,614.762996,12474.000000,14138.000000,88.230000,82.306974
2009, 南投縣,289.000000,543.960579,1729.000000,2445.000000,70.720000,63.253575
2009, 雲林縣,481.000000,665.067831,4887.000000,6320.000000,77.330000,74.125218
2009, 嘉義縣,384.000000,700.444253,3763.000000,4639.000000,81.120000,68.157790
2009, 屏東縣,670.000000,758.142393,3260.000000,4863.000000,67.040000,71.186386
2009, 臺東縣,199.000000,857.119476,538.000000,873.000000,61.630000,44.251427
2009, 花蓮縣,328.000000,961.317239,692.000000,1236.000000,55.990000,54.790937
2009, 澎湖縣,36.000000,379.911143,91.000000,213.000000,42.720000,35.371324
2009, 基隆市,576.000000,1482.053261,463.000000,582.000000,79.550000,69.666487
2009, 新竹市,278.000000,680.573542,852.000000,1018.000000,83.690000,77.922567
2009, 嘉義市,382.000000,1395.041395,1791.000000,2348.000000,76.280000,73.322892
2009, 金門縣,141.000000,1580.956759,44.000000,96.000000,45.830000,59.406586
2009, 連江縣,21.000000,2134.797194,3.000000,9.000000,33.330000,17.712500
2010, 總計,17185.000000,742.623006,103222.000000,132687.000000,77.790000,72.935029
2010, 臺灣地區,17062.000000,740.685029,103142.000000,132536.000000,77.820000,73.089420
2010, 新北市,3402.000000,875.560737,25506.000000,32559.000000,78.340000,93.987195
2010, 臺北市,2629.000000,1006.084727,4260.000000,6331.000000,67.290000,50.943916
2010, 桃園市,1409.000000,707.890441,6068.000000,8321.000000,72.920000,86.827132
2010, 臺中市,2242.000000,848.570639,16958.000000,19271.000000,88.000000,80.934480
2010, 臺南市,1132.000000,603.862157,8013.000000,10140.000000,79.020000,83.778682
2010, 高雄市,1810.000000,652.914578,7683.000000,11229.000000,68.420000,70.525428
2010, 宜蘭縣,241.000000,522.713643,1139.000000,1566.000000,72.730000,65.475046
2010, 新竹縣,396.000000,773.515305,859.000000,1498.000000,57.340000,71.450557
2010, 苗栗縣,241.000000,429.317581,1003.000000,1702.000000,58.930000,70.766747
2010, 彰化縣,851.000000,649.679569,12923.000000,14352.000000,90.040000,82.343537
2010, 南投縣,194.000000,366.967271,1799.000000,2568.000000,70.050000,63.295384
2010, 雲林縣,436.000000,605.367219,5340.000000,6636.000000,80.470000,73.931493
2010, 嘉義縣,310.000000,568.304729,3414.000000,4240.000000,80.520000,67.694455
2010, 屏東縣,456.000000,519.318122,3605.000000,5615.000000,64.200000,71.016992
2010, 臺東縣,178.000000,768.616275,503.000000,788.000000,63.830000,43.696344
2010, 花蓮縣,216.000000,635.510004,781.000000,1420.000000,55.000000,54.619539
2010, 澎湖縣,27.000000,279.607307,131.000000,291.000000,45.020000,35.475110
2010, 基隆市,411.000000,1064.139659,529.000000,653.000000,81.010000,69.728444
2010, 新竹市,167.000000,403.903107,1141.000000,1367.000000,83.470000,78.455610
2010, 嘉義市,314.000000,1149.654646,1487.000000,1989.000000,74.760000,73.519568
2010, 金門縣,117.000000,1224.060638,79.000000,146.000000,54.110000,61.506001
2010, 連江縣,6.000000,604.138348,1.000000,5.000000,20.000000,17.884892
2011, 總計,12658.000000,545.755942,107414.000000,137984.000000,77.850000,74.024804
2011, 臺灣地區,12548.000000,543.606603,107329.000000,137853.000000,77.860000,74.167845
2011, 新北市,2987.000000,764.543019,24054.000000,31844.000000,75.540000,94.618549
2011, 臺北市,2106.000000,799.280420,4591.000000,6502.000000,70.610000,54.293076
2011, 桃園市,962.000000,479.159429,6765.000000,8901.000000,76.000000,86.746736
2011, 臺中市,1598.000000,601.564557,18758.000000,21233.000000,88.340000,80.604871
2011, 臺南市,655.000000,349.263108,8281.000000,10413.000000,79.530000,84.312281
2011, 高雄市,859.000000,309.663762,7587.000000,11384.000000,66.650000,71.556753
2011, 宜蘭縣,210.000000,456.746637,1088.000000,1586.000000,68.600000,65.881315
2011, 新竹縣,300.000000,582.153502,961.000000,1587.000000,60.550000,72.569886
2011, 苗栗縣,187.000000,333.043034,1081.000000,1869.000000,57.840000,70.630891
2011, 彰化縣,681.000000,521.774109,14062.000000,15513.000000,90.650000,83.192173
2011, 南投縣,100.000000,190.603623,1964.000000,2722.000000,72.150000,63.834799
2011, 雲林縣,371.000000,518.442799,6058.000000,7429.000000,81.550000,73.943627
2011, 嘉義縣,279.000000,516.098003,3336.000000,4181.000000,79.790000,67.793573
