"年度","縣市","低收入戶人口數","低收入戶人口數占該縣(市)人口比率","急難救助人次","急難救助金額","接受急難救助平均每一人次金額","急難救助金額占總決算比率","醫療補助人次","醫療補助金額","接受醫療補助平均每一人次金額","醫療補助金額占該縣(市)總決算比率","災害救助受災人數","災害救助金額","災害救助金額占總決算比率"
2001, 嘉義縣,4530.000000,0.800000,369.000000,3165342.000000,8578.162602,0.018890,90.000000,2129932.000000,23665.911111,0.012711,8.000000,7530000.000000,0.044937
2001, 屏東縣,15882.000000,1.750000,2511.000000,8338251.000000,3320.689367,0.034612,53.000000,752955.000000,14206.698113,0.003126,4.000000,1943750.000000,0.008068
2001, 臺東縣,7826.000000,3.200000,480.000000,3276576.000000,6826.200000,0.033625,67.000000,1443366.000000,21542.776119,0.014812,1.000000,1045000.000000,0.010724
2001, 花蓮縣,7206.000000,2.040000,197.000000,880800.000000,4471.065990,0.006747,147.000000,1251186.000000,8511.469388,0.009584,386.000000,49875880.000000,0.382036
2001, 澎湖縣,2768.000000,3.000000,481.000000,1746104.000000,3630.153846,0.029683,17.000000,373435.000000,21966.764706,0.006348,1.000000,7030000.000000,0.119506
2001, 基隆市,1673.000000,0.430000,3669.000000,14917597.000000,4065.848188,0.101076,19.000000,453414.000000,23863.894737,0.003072,21.000000,152715000.000000,1.034738
2001, 新竹市,1117.000000,0.300000,467.000000,2320946.000000,4969.905782,0.018731,5.000000,440437.000000,88087.400000,0.003554,9.000000,1625000.000000,0.013114
2001, 嘉義市,2160.000000,0.810000,203.000000,1091793.000000,5378.290640,0.012791,16.000000,212801.000000,13300.062500,0.002493,3.000000,7335000.000000,0.085931
2001, 金門縣,853.000000,1.500000,39.000000,490000.000000,12564.102564,0.006927,-,-,-,-,-,-,-
2001, 連江縣,32.000000,0.360000,5.000000,211762.000000,42352.400000,0.009456,-,-,-,-,2.000000,310000.000000,0.013843
2002, 總計,171200.000000,0.760000,39335.000000,205359625.000000,5220.786196,0.030065,10049.000000,104851072.000000,10433.980695,0.015350,214.000000,178999352.000000,0.026206
2002, 臺灣地區,170388.000000,0.760000,39249.000000,203101277.000000,5174.686667,0.030104,10043.000000,104703656.000000,10425.535796,0.015519,213.000000,178664352.000000,0.026482
2002, 新北市,20741.000000,0.570000,6216.000000,45219639.000000,7274.716699,0.071699,237.000000,3921198.000000,16545.139241,0.006217,12.000000,6130000.000000,0.009720
2002, 臺北市,27184.000000,1.030000,3349.000000,16307530.000000,4869.372947,0.011005,6575.000000,57866819.000000,8801.037110,0.039050,26.000000,23805000.000000,0.016064
2002, 桃園市,8483.000000,0.470000,3805.000000,18021773.000000,4736.339816,0.046175,25.000000,789341.000000,31573.640000,0.002022,17.000000,79405000.000000,0.203448
2002, 臺中市,8108.000000,0.320000,1619.000000,17919219.000000,11068.078443,0.032202,203.000000,3132640.000000,15431.724138,0.005630,14.000000,4912352.000000,0.008828
2002, 臺南市,8727.000000,0.470000,2359.000000,10953404.000000,4643.240356,0.024042,217.000000,3429606.000000,15804.635945,0.007528,17.000000,6380000.000000,0.014004
2002, 高雄市,20432.000000,0.740000,8206.000000,23966472.000000,2920.603461,0.024967,519.000000,2214434.000000,4266.732177,0.002307,12.000000,11175000.000000,0.011642
2002, 宜蘭縣,5094.000000,1.100000,890.000000,2979387.000000,3347.625843,0.020952,15.000000,106504.000000,7100.266667,0.000749,3.000000,1092000.000000,0.007679
2002, 新竹縣,1944.000000,0.430000,469.000000,3245486.000000,6920.012793,0.020702,11.000000,115500.000000,10500.000000,0.000737,8.000000,2885000.000000,0.018402
2002, 苗栗縣,3223.000000,0.570000,590.000000,2238951.000000,3794.832203,0.012192,1.000000,79118.000000,79118.000000,0.000431,3.000000,1800000.000000,0.009802
2002, 彰化縣,7452.000000,0.570000,2065.000000,8069500.000000,3907.748184,0.031621,690.000000,11587504.000000,16793.484058,0.045407,11.000000,3190000.000000,0.012500
2002, 南投縣,8116.000000,1.500000,725.000000,9469507.000000,13061.388966,0.041610,374.000000,2961526.000000,7918.518717,0.013013,7.000000,3920000.000000,0.017225
2002, 雲林縣,8061.000000,1.090000,566.000000,5740000.000000,10141.342756,0.030119,597.000000,10980992.000000,18393.621441,0.057620,2.000000,1110000.000000,0.005824
2002, 嘉義縣,4739.000000,0.840000,313.000000,2718689.000000,8685.907348,0.014994,140.000000,1867304.000000,13337.885714,0.010298,14.000000,3890000.000000,0.021454
2002, 屏東縣,12355.000000,1.360000,2140.000000,8468420.000000,3957.205607,0.033622,47.000000,298167.000000,6343.978723,0.001184,4.000000,1965000.000000,0.007802
2002, 臺東縣,8332.000000,3.420000,476.000000,8123082.000000,17065.298319,0.072501,119.000000,1601232.000000,13455.731092,0.014291,1.000000,855000.000000,0.007631
2002, 花蓮縣,8990.000000,2.550000,258.000000,1161350.000000,4501.356589,0.009525,194.000000,2117359.000000,10914.221649,0.017365,9.000000,2820000.000000,0.023128
2002, 澎湖縣,3065.000000,3.320000,417.000000,1417873.000000,3400.175060,0.020310,34.000000,562422.000000,16541.823529,0.008056,1.000000,240000.000000,0.003438
2002, 基隆市,1818.000000,0.460000,3924.000000,14097249.000000,3592.571101,0.094481,13.000000,349831.000000,26910.076923,0.002345,48.000000,20215000.000000,0.135483
2002, 新竹市,1319.000000,0.350000,616.000000,1764548.000000,2864.525974,0.012329,-,-,-,-,4.000000,745000.000000,0.005205
2002, 嘉義市,2205.000000,0.820000,246.000000,1219198.000000,4956.089431,0.014078,32.000000,722159.000000,22567.468750,0.008339,-,2130000.000000,0.024595
2002, 金門縣,781.000000,1.330000,81.000000,2168348.000000,26769.728395,0.034824,6.000000,147416.000000,24569.333333,0.002368,1.000000,200000.000000,0.003212
2002, 連江縣,31.000000,0.350000,5.000000,90000.000000,18000.000000,0.004181,-,-,-,-,-,135000.000000,0.006272
2003, 總計,187875.000000,0.830000,35257.000000,199139830.000000,5648.235244,0.028516,11242.000000,89630957.000000,7972.865771,0.012835,435.000000,81288200.000000,0.011640
2003, 臺灣地區,187049.000000,0.830000,35168.000000,190413033.000000,5414.383331,0.027669,11234.000000,89501997.000000,7967.064002,0.013006,431.000000,80578200.000000,0.011709
2003, 新北市,20579.000000,0.560000,6308.000000,37639639.000000,5966.968770,0.045873,175.000000,4906959.000000,28039.765714,0.005980,18.000000,5960000.000000,0.007264
2003, 臺北市,33071.000000,1.260000,2314.000000,10147775.000000,4385.382455,0.007193,8084.000000,53684088.000000,6640.782781,0.038054,12.000000,6560000.000000,0.004650
2003, 桃園市,9191.000000,0.500000,3605.000000,17617164.000000,4886.869348,0.047444,13.000000,564676.000000,43436.615385,0.001521,7.000000,2505000.000000,0.006746
2003, 臺中市,8731.000000,0.350000,1913.000000,14563236.000000,7612.773654,0.024157,18.000000,785622.000000,43645.666667,0.001303,32.000000,9240000.000000,0.015327
2003, 臺南市,9555.000000,0.510000,2636.000000,13890855.000000,5269.671851,0.028276,204.000000,2300734.000000,11278.107843,0.004683,27.000000,4053500.000000,0.008251
2003, 高雄市,21498.000000,0.780000,5288.000000,25488501.000000,4820.064486,0.026482,693.000000,2245863.000000,3240.783550,0.002333,18.000000,7697500.000000,0.007997
2003, 宜蘭縣,5794.000000,1.250000,850.000000,3037696.000000,3573.760000,0.022799,25.000000,327311.000000,13092.440000,0.002457,7.000000,2300000.000000,0.017262
2003, 新竹縣,2287.000000,0.500000,385.000000,3109562.000000,8076.784416,0.020978,16.000000,349519.000000,21844.937500,0.002358,4.000000,1500000.000000,0.010119
2003, 苗栗縣,3376.000000,0.600000,539.000000,2302398.000000,4271.610390,0.012472,-,-,-,-,9.000000,2480000.000000,0.013434
2003, 彰化縣,8413.000000,0.640000,1818.000000,8093368.000000,4451.797580,0.029034,835.000000,13076948.000000,15661.015569,0.046913,2.000000,1265000.000000,0.004538
2003, 南投縣,8054.000000,1.490000,1045.000000,12331965.000000,11800.923445,0.068259,376.000000,2317342.000000,6163.143617,0.012827,3.000000,6527200.000000,0.036129
2003, 雲林縣,9358.000000,1.260000,634.000000,6497000.000000,10247.634069,0.031943,87.000000,2278769.000000,26192.747126,0.011204,3.000000,1665000.000000,0.008186
2003, 嘉義縣,5335.000000,0.950000,315.000000,2474566.000000,7855.765079,0.014364,261.000000,1449251.000000,5552.685824,0.008413,4.000000,1620000.000000,0.009404
