"年度","縣市","婦女福利服務中心","接受緊急生活扶助之人次","每萬名接受緊急生活扶助人次","婦女中途之家、庇護中心收容人次","婦女中途之家、庇護中心收容人次占全縣(市)女性人口比率","平均每一鄉鎮市區媽媽教室班數"
1999, 雲林縣,-,34.000000,0.965173,7.000000,0.198712,10.250000
1999, 嘉義縣,-,123.000000,4.618261,-,-,15.111111
1999, 屏東縣,-,212.000000,4.883887,-,-,9.878788
1999, 臺東縣,1.000000,28.000000,2.437018,3.000000,0.261109,6.562500
1999, 花蓮縣,4.000000,148.000000,8.857953,84.000000,5.027487,10.692308
1999, 澎湖縣,1.000000,22.000000,5.186661,-,-,13.333333
1999, 基隆市,1.000000,68.000000,3.645077,-,-,8.142857
1999, 新竹市,1.000000,19.000000,1.083309,11.000000,0.627179,31.333333
1999, 嘉義市,1.000000,10.000000,0.762838,-,-,9.000000
1999, 金門縣,-,16.000000,6.428672,-,-,-
1999, 連江縣,1.000000,-,-,-,-,-
2000, 總計,39.000000,2167.000000,2.000528,532.000000,0.491131,11.723577
2000, 臺灣地區,37.000000,2151.000000,1.990981,532.000000,0.492423,12.050139
2000, 新北市,4.000000,114.000000,0.651044,7.000000,0.039976,15.793103
2000, 臺北市,11.000000,202.000000,1.513651,254.000000,1.903303,18.083333
2000, 桃園市,2.000000,178.000000,2.141779,19.000000,0.228617,19.076923
2000, 臺中市,2.000000,291.000000,2.413461,29.000000,0.240517,11.000000
2000, 臺南市,2.000000,200.000000,2.230586,20.000000,0.223059,12.552632
2000, 高雄市,7.000000,236.000000,1.780892,53.000000,0.399946,7.473684
2000, 宜蘭縣,1.000000,66.000000,2.941360,-,-,11.916667
2000, 新竹縣,-,21.000000,1.010213,8.000000,0.384843,9.153846
2000, 苗栗縣,1.000000,57.000000,2.145588,21.000000,0.790480,9.333333
2000, 彰化縣,1.000000,135.000000,2.143732,10.000000,0.158795,11.000000
2000, 南投縣,-,60.000000,2.314592,40.000000,1.543061,16.923077
2000, 雲林縣,-,62.000000,1.766485,-,-,10.350000
2000, 嘉義縣,1.000000,217.000000,8.173135,-,-,15.444444
2000, 屏東縣,-,132.000000,3.043168,-,-,11.242424
2000, 臺東縣,1.000000,10.000000,0.877235,-,-,5.562500
2000, 花蓮縣,1.000000,60.000000,3.597608,42.000000,2.518325,10.692308
2000, 澎湖縣,1.000000,23.000000,5.417501,-,-,13.166667
2000, 基隆市,-,49.000000,2.600656,-,-,17.428571
2000, 新竹市,1.000000,19.000000,1.063032,29.000000,1.622523,29.000000
2000, 嘉義市,1.000000,19.000000,1.439083,-,-,7.500000
2000, 金門縣,1.000000,10.000000,3.920492,-,-,-
2000, 連江縣,1.000000,6.000000,20.597322,-,-,-
2001, 總計,44.000000,1847.000000,1.690731,616.000000,0.563882,11.807588
2001, 臺灣地區,42.000000,1843.000000,1.691710,616.000000,0.565433,12.136490
2001, 新北市,5.000000,193.000000,1.085634,23.000000,0.129376,16.379310
2001, 臺北市,11.000000,340.000000,2.546064,231.000000,1.729826,17.833333
2001, 桃園市,2.000000,152.000000,1.788331,11.000000,0.129419,19.538462
2001, 臺中市,2.000000,210.000000,1.716868,13.000000,0.106282,10.275862
2001, 臺南市,3.000000,146.000000,1.618833,28.000000,0.310461,12.552632
2001, 高雄市,9.000000,187.000000,1.402772,28.000000,0.210041,7.263158
2001, 宜蘭縣,1.000000,49.000000,2.178916,7.000000,0.311274,11.833333
2001, 新竹縣,-,9.000000,0.425926,19.000000,0.899176,9.769231
2001, 苗栗縣,1.000000,58.000000,2.179177,64.000000,2.404609,8.722222
2001, 彰化縣,1.000000,123.000000,1.945322,28.000000,0.442838,13.038462
2001, 南投縣,-,56.000000,2.162943,79.000000,3.051295,17.846154
2001, 雲林縣,-,70.000000,1.995900,6.000000,0.171077,10.150000
2001, 嘉義縣,1.000000,59.000000,2.219443,-,-,15.833333
2001, 屏東縣,1.000000,90.000000,2.070965,-,-,11.121212
2001, 臺東縣,-,12.000000,1.056929,-,-,5.562500
2001, 花蓮縣,1.000000,14.000000,0.840288,72.000000,4.321482,10.538462
2001, 澎湖縣,1.000000,21.000000,4.840271,-,-,13.166667
2001, 基隆市,1.000000,38.000000,1.998207,-,-,15.285714
2001, 新竹市,1.000000,11.000000,0.604982,7.000000,0.384989,27.666667
2001, 嘉義市,1.000000,5.000000,0.376277,-,-,8.000000
2001, 金門縣,1.000000,4.000000,1.503872,-,-,-
2001, 連江縣,1.000000,-,-,-,-,-
2002, 總計,39.000000,2535.000000,2.304620,853.000000,0.775480,11.498645
2002, 臺灣地區,37.000000,2528.000000,2.304858,853.000000,0.777707,11.813370
2002, 新北市,5.000000,248.000000,1.379293,38.000000,0.211343,15.758621
2002, 臺北市,8.000000,255.000000,1.907240,214.000000,1.600586,9.916667
2002, 桃園市,2.000000,124.000000,1.431459,59.000000,0.681097,21.000000
2002, 臺中市,2.000000,767.000000,6.202531,107.000000,0.865281,13.758621
2002, 臺南市,2.000000,120.000000,1.325132,21.000000,0.231898,12.921053
2002, 高雄市,7.000000,226.000000,1.687753,137.000000,1.023107,6.921053
2002, 宜蘭縣,2.000000,35.000000,1.555670,24.000000,1.066745,13.083333
2002, 新竹縣,-,31.000000,1.443811,18.000000,0.838342,9.923077
2002, 苗栗縣,1.000000,60.000000,2.250769,41.000000,1.538026,11.722222
2002, 彰化縣,-,90.000000,1.419360,29.000000,0.457349,8.923077
2002, 南投縣,-,79.000000,3.048616,47.000000,1.813733,17.230769
2002, 雲林縣,1.000000,60.000000,1.708706,13.000000,0.370220,7.550000
2002, 嘉義縣,1.000000,94.000000,3.531777,-,-,15.944444
2002, 屏東縣,1.000000,163.000000,3.748005,-,-,10.939394
2002, 臺東縣,-,45.000000,3.961355,-,-,6.375000
2002, 花蓮縣,1.000000,61.000000,3.659674,53.000000,3.179717,9.076923
2002, 澎湖縣,1.000000,18.000000,4.069314,-,-,13.000000
2002, 基隆市,1.000000,37.000000,1.935313,-,-,11.857143
2002, 新竹市,1.000000,13.000000,0.703629,52.000000,2.814515,30.000000
2002, 嘉義市,1.000000,2.000000,0.149818,-,-,8.000000
2002, 金門縣,1.000000,7.000000,2.526209,-,-,0.333333
2002, 連江縣,1.000000,-,-,-,-,-
2003, 總計,41.000000,2689.000000,2.430750,1129.000000,1.020572,11.067751
2003, 臺灣地區,39.000000,2675.000000,2.425182,1129.000000,1.023563,11.362117
2003, 新北市,6.000000,182.000000,1.002019,240.000000,1.321344,11.137931
2003, 臺北市,8.000000,424.000000,3.169153,168.000000,1.255702,7.166667
2003, 桃園市,2.000000,110.000000,1.246826,61.000000,0.691422,17.692308
2003, 臺中市,3.000000,651.000000,5.213130,107.000000,0.856843,14.310345
2003, 臺南市,2.000000,154.000000,1.694857,15.000000,0.165084,12.342105
2003, 高雄市,6.000000,201.000000,1.494686,145.000000,1.078256,7.710526
2003, 宜蘭縣,2.000000,38.000000,1.692111,25.000000,1.113231,10.833333
2003, 新竹縣,-,9.000000,0.412553,20.000000,0.916784,10.000000
2003, 苗栗縣,1.000000,93.000000,3.487921,48.000000,1.800217,12.111111
2003, 彰化縣,1.000000,387.000000,6.094287,31.000000,0.488173,12.307692
2003, 南投縣,-,70.000000,2.702765,56.000000,2.162212,15.692308
2003, 雲林縣,1.000000,52.000000,1.482284,19.000000,0.541604,6.150000
2003, 嘉義縣,1.000000,72.000000,2.711451,14.000000,0.527227,15.944444
2003, 屏東縣,1.000000,72.000000,1.659135,-,-,11.090909
2003, 臺東縣,-,12.000000,1.056761,4.000000,0.352254,6.625000
2003, 花蓮縣,1.000000,35.000000,2.101698,63.000000,3.783057,8.846154
2003, 澎湖縣,1.000000,19.000000,4.287632,14.000000,3.159308,13.333333
2003, 基隆市,1.000000,57.000000,2.973404,-,-,14.000000
2003, 新竹市,1.000000,22.000000,1.173171,75.000000,3.999445,23.000000
2003, 嘉義市,1.000000,15.000000,1.118139,24.000000,1.789022,8.500000
2003, 金門縣,1.000000,14.000000,4.905826,-,-,0.833333
2003, 連江縣,1.000000,-,-,-,-,-
2004, 總計,55.000000,3696.000000,3.324186,1371.000000,1.233079,10.592391
2004, 臺灣地區,54.000000,3682.000000,3.321623,1358.000000,1.225085,10.874302
2004, 新北市,8.000000,276.000000,1.504130,217.000000,1.182595,13.068966
2004, 臺北市,11.000000,615.000000,4.604043,228.000000,1.706865,6.583333
2004, 桃園市,9.000000,134.000000,1.491292,91.000000,1.012743,20.846154
2004, 臺中市,3.000000,778.000000,6.173846,109.000000,0.864973,11.241379
2004, 臺南市,2.000000,115.000000,1.261427,17.000000,0.186472,11.540541
2004, 高雄市,6.000000,309.000000,2.290547,231.000000,1.712351,6.131579
2004, 宜蘭縣,2.000000,63.000000,2.808870,12.000000,0.535023,8.750000
2004, 新竹縣,-,14.000000,0.630839,57.000000,2.568418,10.384615
2004, 苗栗縣,1.000000,172.000000,6.449847,43.000000,1.612462,10.388889
2004, 彰化縣,4.000000,354.000000,5.569208,31.000000,0.487699,11.038462
2004, 南投縣,-,95.000000,3.674373,54.000000,2.088591,16.230769
2004, 雲林縣,1.000000,56.000000,1.602500,42.000000,1.201875,7.150000
2004, 嘉義縣,1.000000,323.000000,12.209966,26.000000,0.982846,14.777778
2004, 屏東縣,1.000000,179.000000,4.133911,40.000000,0.923779,11.393939
2004, 臺東縣,-,12.000000,1.061787,12.000000,1.061787,4.062500
2004, 花蓮縣,1.000000,50.000000,3.007844,65.000000,3.910198,11.230769
2004, 澎湖縣,1.000000,42.000000,9.491633,10.000000,2.259913,13.000000
2004, 基隆市,1.000000,67.000000,3.486188,-,-,12.571429
2004, 新竹市,1.000000,10.000000,0.526140,60.000000,3.156840,24.666667
2004, 嘉義市,1.000000,18.000000,1.333338,13.000000,0.962967,8.500000
2004, 金門縣,1.000000,14.000000,4.712615,13.000000,4.375999,0.833333
2004, 連江縣,-,-,-,-,-,-
2005, 總計,60.000000,7185.000000,6.427954,1753.000000,1.568296,11.067935
2005, 臺灣地區,59.000000,7154.000000,6.420876,1753.000000,1.573357,11.363128
2005, 新北市,8.000000,1062.000000,5.733077,173.000000,0.933919,12.034483
2005, 臺北市,11.000000,1845.000000,13.804554,270.000000,2.020179,8.250000
2005, 桃園市,10.000000,218.000000,2.383590,163.000000,1.782225,19.384615
2005, 臺中市,3.000000,667.000000,5.247692,142.000000,1.117200,11.586207
2005, 臺南市,2.000000,492.000000,5.380236,36.000000,0.393676,13.459459
2005, 高雄市,9.000000,553.000000,4.086452,256.000000,1.891739,7.105263
2005, 宜蘭縣,2.000000,150.000000,6.690559,23.000000,1.025886,12.750000
2005, 新竹縣,-,81.000000,3.573138,42.000000,1.852738,9.923077
2005, 苗栗縣,1.000000,252.000000,9.452576,83.000000,3.113348,10.555556
2005, 彰化縣,5.000000,375.000000,5.896046,62.000000,0.974813,12.884615
2005, 南投縣,1.000000,345.000000,13.367430,40.000000,1.549847,16.384615
2005, 雲林縣,1.000000,195.000000,5.603368,52.000000,1.494231,7.100000
2005, 嘉義縣,1.000000,276.000000,10.450765,22.000000,0.833032,14.777778
2005, 屏東縣,1.000000,255.000000,5.898388,50.000000,1.156547,11.484848
2005, 臺東縣,-,23.000000,2.046546,47.000000,4.182071,3.875000
2005, 花蓮縣,1.000000,129.000000,7.777151,134.000000,8.078591,10.000000
2005, 澎湖縣,1.000000,48.000000,10.816292,5.000000,1.126697,13.833333
2005, 基隆市,1.000000,77.000000,4.003088,-,-,13.857143
2005, 新竹市,-,42.000000,2.180153,136.000000,7.059544,22.000000
2005, 嘉義市,1.000000,69.000000,5.077954,17.000000,1.251090,9.500000
2005, 金門縣,1.000000,31.000000,9.735875,-,-,0.833333
2005, 連江縣,-,-,-,-,-,-
2006, 總計,62.000000,8419.000000,7.485963,1924.000000,1.710772,10.864130
2006, 臺灣地區,60.000000,8374.000000,7.471685,1924.000000,1.716685,11.139665
2006, 新北市,8.000000,1383.000000,7.393721,252.000000,1.347229,16.482759
2006, 臺北市,9.000000,2166.000000,16.125592,236.000000,1.756990,11.333333
2006, 桃園市,10.000000,276.000000,2.965676,77.000000,0.827380,11.538462
2006, 臺中市,4.000000,868.000000,6.765802,112.000000,0.873007,12.137931
2006, 臺南市,2.000000,531.000000,5.787822,57.000000,0.621292,11.378378
2006, 高雄市,9.000000,662.000000,4.873409,290.000000,2.134877,7.315789
2006, 宜蘭縣,2.000000,165.000000,7.362144,41.000000,1.829381,12.833333
2006, 新竹縣,-,86.000000,3.704118,19.000000,0.818352,10.230769
2006, 苗栗縣,1.000000,228.000000,8.545391,52.000000,1.948949,9.000000
2006, 彰化縣,5.000000,369.000000,5.799830,87.000000,1.367440,12.923077
2006, 南投縣,1.000000,267.000000,10.358553,51.000000,1.978600,13.923077
2006, 雲林縣,1.000000,207.000000,5.974414,138.000000,3.982943,6.950000
2006, 嘉義縣,1.000000,348.000000,13.202622,32.000000,1.214034,14.277778
2006, 屏東縣,3.000000,243.000000,5.632686,102.000000,2.364337,11.575758
2006, 臺東縣,-,98.000000,8.777076,32.000000,2.865984,3.875000
2006, 花蓮縣,1.000000,123.000000,7.431979,99.000000,5.981837,8.384615
2006, 澎湖縣,1.000000,66.000000,14.855497,8.000000,1.800666,13.166667
2006, 基隆市,1.000000,151.000000,7.852559,-,-,11.142857
2006, 新竹市,-,51.000000,2.612370,227.000000,11.627609,27.333333
2006, 嘉義市,1.000000,86.000000,6.283564,12.000000,0.876776,9.500000
2006, 金門縣,1.000000,45.000000,13.018008,-,-,1.666667
2006, 連江縣,1.000000,-,-,-,-,-
2007, 總計,75.000000,11062.000000,9.774497,1902.000000,1.680627,10.855978
2007, 臺灣地區,72.000000,11023.000000,9.775566,1902.000000,1.686757,11.131285
2007, 新北市,12.000000,1609.000000,8.515575,144.000000,0.762115,17.344828
2007, 臺北市,10.000000,2157.000000,15.970301,257.000000,1.902813,4.083333
2007, 桃園市,11.000000,389.000000,4.110586,146.000000,1.542791,15.923077
2007, 臺中市,6.000000,875.000000,6.754696,228.000000,1.760081,11.827586
2007, 臺南市,2.000000,624.000000,6.775524,71.000000,0.770933,11.972973
2007, 高雄市,10.000000,1309.000000,9.593110,289.000000,2.117959,6.710526
2007, 宜蘭縣,2.000000,311.000000,13.870770,50.000000,2.230027,12.416667
2007, 新竹縣,-,159.000000,6.707573,59.000000,2.488974,10.538462
2007, 苗栗縣,1.000000,285.000000,10.659346,51.000000,1.907462,9.611111
2007, 彰化縣,5.000000,557.000000,8.749930,71.000000,1.115341,13.538462
2007, 南投縣,1.000000,174.000000,6.758450,50.000000,1.942083,13.846154
2007, 雲林縣,1.000000,756.000000,21.908852,62.000000,1.796758,7.400000
2007, 嘉義縣,1.000000,327.000000,12.454083,52.000000,1.980466,14.555556
2007, 屏東縣,4.000000,498.000000,11.578999,94.000000,2.185594,11.030303
2007, 臺東縣,1.000000,92.000000,8.304898,27.000000,2.437307,3.750000
2007, 花蓮縣,1.000000,264.000000,15.990938,43.000000,2.604585,8.384615
2007, 澎湖縣,1.000000,129.000000,28.997887,11.000000,2.472688,13.666667
2007, 基隆市,1.000000,196.000000,10.185548,-,-,8.857143
2007, 新竹市,1.000000,132.000000,6.668081,161.000000,8.133038,29.333333
2007, 嘉義市,1.000000,180.000000,13.079304,36.000000,2.615861,9.500000
2007, 金門縣,1.000000,39.000000,10.527026,-,-,1.500000
2007, 連江縣,2.000000,-,-,-,-,0.250000
2008, 總計,58.000000,12300.000000,10.808306,2987.000000,2.624749,10.361413
2008, 臺灣地區,56.000000,12292.000000,10.842401,2987.000000,2.634742,10.606145
2008, 新北市,9.000000,2211.000000,11.577720,328.000000,1.717545,11.275862
2008, 臺北市,10.000000,2465.000000,18.234352,200.000000,1.479461,2.833333
2008, 桃園市,1.000000,439.000000,4.571307,181.000000,1.884753,16.461538
2008, 臺中市,5.000000,1054.000000,8.065917,211.000000,1.614714,13.000000
2008, 臺南市,2.000000,892.000000,9.652275,78.000000,0.844033,12.405405
2008, 高雄市,7.000000,1021.000000,7.452555,441.000000,3.218978,5.868421
2008, 宜蘭縣,3.000000,204.000000,9.076893,741.000000,32.970480,12.333333
2008, 新竹縣,-,156.000000,6.466040,24.000000,0.994775,10.307692
2008, 苗栗縣,1.000000,304.000000,11.349933,125.000000,4.666913,10.000000
2008, 彰化縣,5.000000,724.000000,11.369909,68.000000,1.067892,14.269231
2008, 南投縣,1.000000,234.000000,9.101747,40.000000,1.555854,13.923077
2008, 雲林縣,1.000000,402.000000,11.671898,62.000000,1.800143,6.000000
2008, 嘉義縣,1.000000,528.000000,20.171380,24.000000,0.916881,14.611111
2008, 屏東縣,4.000000,633.000000,14.761232,183.000000,4.267465,10.727273
2008, 臺東縣,1.000000,97.000000,8.807333,26.000000,2.360728,3.750000
2008, 花蓮縣,1.000000,333.000000,20.223061,89.000000,5.404962,7.846154
2008, 澎湖縣,1.000000,84.000000,18.687223,6.000000,1.334802,13.833333
2008, 基隆市,1.000000,174.000000,9.045751,-,-,8.857143
2008, 新竹市,1.000000,136.000000,6.760552,119.000000,5.915483,28.666667
2008, 嘉義市,1.000000,201.000000,14.540299,41.000000,2.965932,9.500000
2008, 金門縣,1.000000,8.000000,2.048839,-,-,2.500000
2008, 連江縣,1.000000,-,-,-,-,0.250000
2009, 總計,61.000000,14913.000000,6.461886,3340.000000,2.917831,10.815217
2009, 臺灣地區,59.000000,14874.000000,6.472760,3340.000000,2.929803,11.069832
2009, 新北市,10.000000,2667.000000,6.920637,183.000000,0.946570,18.413793
2009, 臺北市,10.000000,3183.000000,12.171267,232.000000,1.719185,6.916667
2009, 桃園市,1.000000,708.000000,3.596220,287.000000,2.948260,16.615385
2009, 臺中市,5.000000,1660.000000,6.311987,191.000000,1.451025,13.482759
2009, 臺南市,1.000000,1019.000000,5.436970,60.000000,0.646937,11.135135
2009, 高雄市,9.000000,829.000000,2.992812,447.000000,3.250518,6.500000
2009, 宜蘭縣,3.000000,148.000000,3.208578,669.000000,29.670169,10.000000
2009, 新竹縣,1.000000,285.000000,5.620443,32.000000,1.303887,9.923077
2009, 苗栗縣,1.000000,344.000000,6.131137,160.000000,5.952691,9.444444
2009, 彰化縣,4.000000,560.000000,4.266013,100.000000,1.569063,11.346154
2009, 南投縣,1.000000,453.000000,8.526441,62.000000,2.412142,14.615385
2009, 雲林縣,1.000000,516.000000,7.134615,69.000000,2.002551,5.450000
2009, 嘉義縣,1.000000,522.000000,9.521664,80.000000,3.058905,14.444444
2009, 屏東縣,4.000000,759.000000,8.588509,246.000000,5.745979,10.939394
2009, 臺東縣,1.000000,140.000000,6.029986,270.000000,24.500907,3.750000
2009, 花蓮縣,1.000000,377.000000,11.049287,43.000000,2.612283,9.461538
2009, 澎湖縣,1.000000,99.000000,10.447556,5.000000,1.087820,14.166667
2009, 基隆市,1.000000,242.000000,6.226682,43.000000,2.236723,9.142857
2009, 新竹市,2.000000,87.000000,2.129852,116.000000,5.659517,31.666667
2009, 嘉義市,1.000000,276.000000,10.079357,45.000000,3.244518,9.500000
2009, 金門縣,1.000000,39.000000,4.372859,-,-,2.833333
2009, 連江縣,1.000000,-,-,-,-,-
2010, 總計,63.000000,16687.000000,7.211027,3292.000000,2.861373,10.508152
2010, 臺灣地區,61.000000,16622.000000,7.215840,3292.000000,2.874012,10.759777
2010, 新北市,12.000000,3134.000000,8.065865,443.000000,2.267273,15.862069
2010, 臺北市,9.000000,2747.000000,10.512418,230.000000,1.701689,5.166667
2010, 桃園市,1.000000,820.000000,4.119731,322.000000,3.264887,16.000000
2010, 臺中市,5.000000,1977.000000,7.482713,242.000000,1.826552,13.172414
2010, 臺南市,1.000000,1271.000000,6.780113,123.000000,1.323264,11.864865
2010, 高雄市,10.000000,1171.000000,4.224105,683.000000,4.948757,6.078947
2010, 宜蘭縣,3.000000,189.000000,4.099290,60.000000,2.656542,10.500000
2010, 新竹縣,1.000000,168.000000,3.281580,59.000000,2.376421,10.307692
2010, 苗栗縣,1.000000,464.000000,8.265699,126.000000,4.672568,9.500000
2010, 彰化縣,4.000000,897.000000,6.847974,107.000000,1.679291,12.307692
2010, 南投縣,1.000000,727.000000,13.751815,66.000000,2.574776,13.461538
2010, 雲林縣,1.000000,370.000000,5.137291,92.000000,2.675243,6.550000
2010, 嘉義縣,1.000000,370.000000,6.782992,35.000000,1.341880,14.055556
2010, 屏東縣,4.000000,839.000000,9.554998,304.000000,7.132325,10.363636
2010, 臺東縣,1.000000,225.000000,9.715655,80.000000,7.255644,3.750000
2010, 花蓮縣,1.000000,522.000000,15.358158,37.000000,2.249008,6.923077
2010, 澎湖縣,1.000000,96.000000,9.941593,22.000000,4.687833,14.500000
2010, 基隆市,1.000000,156.000000,4.039070,87.000000,4.543674,9.142857
2010, 新竹市,2.000000,170.000000,4.111589,112.000000,5.383994,28.666667
2010, 嘉義市,1.000000,309.000000,11.313480,62.000000,4.472740,15.500000
2010, 金門縣,1.000000,53.000000,5.544890,-,-,2.166667
2010, 連江縣,1.000000,12.000000,12.082767,-,-,0.500000
2011, 總計,52.000000,15658.000000,6.751024,2917.000000,2.524870,10.152174
2011, 臺灣地區,50.000000,15626.000000,6.769522,2917.000000,2.536641,10.379888
2011, 新北市,11.000000,2906.000000,7.438105,594.000000,3.016525,11.344828
2011, 臺北市,8.000000,2801.000000,10.630505,267.000000,1.955440,5.083333
2011, 桃園市,1.000000,769.000000,3.830287,212.000000,2.128009,17.076923
2011, 臺中市,5.000000,1650.000000,6.211399,119.000000,0.891799,13.172414
2011, 臺南市,1.000000,1204.000000,6.420042,67.000000,0.719343,10.324324
2011, 高雄市,3.000000,658.000000,2.372046,476.000000,3.438690,6.500000
2011, 宜蘭縣,1.000000,231.000000,5.024213,48.000000,2.127641,11.583333
2011, 新竹縣,1.000000,186.000000,3.609352,53.000000,2.116880,10.461538
2011, 苗栗縣,1.000000,414.000000,7.373252,97.000000,3.588718,12.944444
2011, 彰化縣,4.000000,1143.000000,8.757530,147.000000,2.312061,12.307692
2011, 南投縣,1.000000,522.000000,9.949509,49.000000,1.924338,14.076923
2011, 雲林縣,1.000000,501.000000,7.001074,166.000000,4.853106,5.300000
2011, 嘉義縣,1.000000,333.000000,6.159879,10.000000,0.386481,13.777778
2011, 屏東縣,4.000000,849.000000,9.769637,179.000000,4.238502,10.696970
2011, 臺東縣,1.000000,252.000000,10.981277,107.000000,9.771199,3.750000
2011, 花蓮縣,1.000000,582.000000,17.228033,43.000000,2.623119,6.923077
2011, 澎湖縣,1.000000,102.000000,10.511400,13.000000,2.753042,12.833333
2011, 基隆市,1.000000,111.000000,2.905527,90.000000,4.747825,7.142857
2011, 新竹市,2.000000,159.000000,3.806578,139.000000,6.607045,21.000000
2011, 嘉義市,1.000000,253.000000,9.302907,41.000000,2.966425,17.500000
2011, 金門縣,1.000000,29.000000,2.882031,-,-,3.000000
2011, 連江縣,1.000000,3.000000,2.992519,-,-,0.500000
2012, 總計,51.000000,15830.000000,6.802643,2927.000000,2.520913,10.679348
2012, 臺灣地區,49.000000,15812.000000,6.829895,2927.000000,2.533617,10.930168
2012, 新北市,11.000000,3159.000000,8.042510,405.000000,2.040660,14.724138
2012, 臺北市,8.000000,2813.000000,10.566858,199.000000,1.440729,4.583333
2012, 桃園市,1.000000,652.000000,3.224956,392.000000,3.902383,16.538462
2012, 臺中市,5.000000,1788.000000,6.685003,190.000000,1.412010,11.758621
2012, 臺南市,1.000000,1006.000000,5.353050,70.000000,0.748782,12.162162
2012, 高雄市,3.000000,835.000000,3.007314,479.000000,3.450178,6.815789
2012, 宜蘭縣,1.000000,339.000000,7.388390,88.000000,3.904872,11.166667
2012, 新竹縣,1.000000,129.000000,2.476878,82.000000,3.235352,15.923077
2012, 苗栗縣,1.000000,382.000000,6.785164,80.000000,2.945671,12.722222
2012, 彰化縣,4.000000,1515.000000,11.640831,128.000000,2.017190,12.615385
2012, 南投縣,1.000000,576.000000,11.045031,52.000000,2.052399,15.692308
2012, 雲林縣,1.000000,396.000000,5.559662,234.000000,6.865452,5.800000
2012, 嘉義縣,1.000000,267.000000,4.982900,10.000000,0.389841,13.611111
2012, 屏東縣,4.000000,644.000000,7.475464,91.000000,2.171641,10.000000
2012, 臺東縣,1.000000,195.000000,8.580065,76.000000,6.987574,2.812500
2012, 花蓮縣,1.000000,453.000000,13.481581,107.000000,6.549169,6.384615
2012, 澎湖縣,1.000000,75.000000,7.653061,1.000000,0.209824,11.666667
2012, 基隆市,1.000000,210.000000,5.547630,94.000000,5.003167,9.000000
2012, 新竹市,1.000000,210.000000,4.969691,132.000000,6.197823,24.666667
2012, 嘉義市,1.000000,168.000000,6.190741,17.000000,1.230979,19.000000
2012, 金門縣,1.000000,18.000000,1.659032,-,-,2.500000
2012, 連江縣,1.000000,-,-,-,-,0.500000
