"年度","縣市","15歲以上不識字人口","15歲以上人口識字率","15歲以上民間人口之教育程度結構-國中及以下","15歲以上民間人口之教育程度結構-高中(職)","15歲以上民間人口之教育程度結構-大專及以上","幼兒園園數","幼兒園班級數","幼兒園教保服務人員數","幼兒園幼生數","平均每校幼生數-幼兒園","平均每班幼生數-幼兒園","平均每一教保服務人員負擔幼生數-幼兒園","國小校數","國小班級數","國小學生數","國小教師數","平均每校學生數-國小","平均每班學生數-國小","平均每一教師教導學生數-國小","國小學生輟學率","國中校數","國中班級數","國中學生數","附設國中部學生數","國中教師數","平均每校學生數-國中","平均每班學生數-國中","平均每一教師教導學生數-國中","國中學生輟學率","高中校數","高中班級數","高中學生數","高中教師數","高職校數","高職班級數","高職學生數","高職教師數","平均每校學生數-高中職","平均每班學生數-高中職","平均每一教師教導學生數-高中職","國小裸視檢查人數","國小學生視力不良數","國中裸視檢查人數","國中學生視力不良數","視力不良率-國小","視力不良率-國中","公立公共圖書館個數","古蹟總數","平均每校學生數-高級中等學校","平均每一教師教導學生數-高級中等學校","高級中等學校校數","高級中等學校班級數","高級中等學校教師數","高級中等學校學生數"
1998, 嘉義縣,39825.000000,91.220000,63.190000,25.530000,11.280000,100.000000,251.000000,433.000000,5844.000000,58.440000,23.282869,13.496536,135.000000,1598.000000,38998.000000,2538.000000,288.874074,24.404255,15.365642,-,25.000000,525.000000,18458.000000,1578.000000,1080.000000,675.200000,35.158095,15.629630,-,4.000000,54.000000,1994.000000,239.000000,5.000000,227.000000,9540.000000,449.000000,1456.888889,41.046263,19.058140,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 屏東縣,50375.000000,93.010000,52.800000,32.630000,14.580000,126.000000,299.000000,571.000000,7227.000000,57.357143,24.170569,12.656743,170.000000,2484.000000,72822.000000,3985.000000,428.364706,29.316425,18.274028,-,39.000000,1033.000000,38322.000000,1860.000000,2146.000000,934.923077,37.097773,16.990680,-,7.000000,206.000000,8715.000000,546.000000,11.000000,358.000000,14965.000000,902.000000,1418.888889,41.985816,17.638122,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 臺東縣,9663.000000,95.150000,64.480000,27.560000,7.960000,39.000000,90.000000,185.000000,2217.000000,56.846154,24.633333,11.983784,94.000000,897.000000,18650.000000,1458.000000,198.404255,20.791527,12.791495,-,21.000000,324.000000,10269.000000,362.000000,675.000000,471.761905,31.694444,14.677037,-,5.000000,103.000000,3687.000000,227.000000,5.000000,114.000000,4159.000000,382.000000,820.800000,36.156682,13.477833,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 花蓮縣,9125.000000,96.770000,53.650000,31.810000,14.540000,59.000000,170.000000,277.000000,3565.000000,60.423729,20.970588,12.870036,108.000000,1147.000000,28184.000000,1909.000000,260.962963,24.571927,14.763751,-,22.000000,449.000000,15196.000000,284.000000,979.000000,677.818182,33.844098,15.231869,-,5.000000,96.000000,3866.000000,440.000000,6.000000,264.000000,10199.000000,442.000000,1304.454545,39.069444,16.268707,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 澎湖縣,2995.000000,95.850000,51.780000,31.500000,16.720000,12.000000,26.000000,52.000000,611.000000,50.916667,23.500000,11.750000,41.000000,339.000000,6576.000000,559.000000,160.390244,19.398230,11.763864,-,13.000000,126.000000,3791.000000,-,288.000000,291.615385,30.087302,13.163194,-,1.000000,29.000000,1094.000000,102.000000,1.000000,58.000000,2235.000000,115.000000,1664.500000,38.264368,15.341014,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 基隆市,15856.000000,94.740000,44.710000,36.570000,18.710000,53.000000,158.000000,320.000000,4201.000000,79.264151,26.588608,13.128125,41.000000,1001.000000,32555.000000,1585.000000,794.024390,32.522478,20.539432,-,16.000000,443.000000,16167.000000,1710.000000,901.000000,903.562500,36.494357,16.045505,-,4.000000,155.000000,6007.000000,515.000000,4.000000,227.000000,9085.000000,344.000000,2100.250000,39.507853,19.559953,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 新竹市,11968.000000,95.620000,41.960000,32.540000,25.500000,75.000000,254.000000,535.000000,6067.000000,80.893333,23.885827,11.340187,26.000000,974.000000,34006.000000,1556.000000,1307.923077,34.913758,21.854756,-,11.000000,464.000000,16871.000000,3951.000000,784.000000,1174.545455,36.359914,16.479592,-,8.000000,177.000000,7377.000000,926.000000,3.000000,230.000000,10382.000000,265.000000,1973.636364,43.633907,18.228380,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 嘉義市,10177.000000,95.020000,36.490000,35.170000,28.340000,43.000000,176.000000,321.000000,4370.000000,101.627907,24.829545,13.613707,18.000000,685.000000,24933.000000,1090.000000,1385.166667,36.398540,22.874312,-,8.000000,378.000000,15582.000000,5536.000000,595.000000,1255.750000,41.222222,16.884034,-,7.000000,219.000000,9497.000000,709.000000,8.000000,305.000000,14637.000000,675.000000,1978.000000,46.057252,21.437861,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 金門縣,6018.000000,84.850000,-,-,-,19.000000,59.000000,67.000000,1351.000000,71.105263,22.898305,20.164179,19.000000,180.000000,4525.000000,303.000000,238.157895,25.138889,14.933993,-,5.000000,85.000000,2917.000000,-,192.000000,583.400000,34.317647,15.192708,-,1.000000,29.000000,1143.000000,72.000000,1.000000,42.000000,1515.000000,108.000000,1329.000000,37.436620,14.766667,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 連江縣,675.000000,87.400000,-,-,-,6.000000,11.000000,23.000000,211.000000,35.166667,19.181818,9.173913,8.000000,49.000000,544.000000,87.000000,68.000000,11.102041,6.252874,-,5.000000,17.000000,299.000000,-,46.000000,59.800000,17.588235,6.500000,-,1.000000,6.000000,154.000000,26.000000,-,3.000000,90.000000,-,244.000000,27.111111,9.384615,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 總計,819087.000000,95.280000,-,-,-,3005.000000,9514.000000,18168.000000,232610.000000,77.407654,24.449233,12.803280,2583.000000,61265.000000,1927179.000000,98745.000000,746.101045,31.456443,19.516725,-,719.000000,26653.000000,957209.000000,151980.000000,50190.000000,1119.929068,35.913743,16.043614,-,253.000000,7653.000000,331618.000000,28316.000000,199.000000,10517.000000,467207.000000,20203.000000,2103.550885,43.963952,19.596550,-,-,955454.000000,630260.000000,-,65.964453,-,-,-,-,-,-,-,-
1999, 臺灣地區,812619.000000,95.310000,44.190000,33.470000,22.330000,2980.000000,9446.000000,18079.000000,231058.000000,77.536242,24.460936,12.780464,2556.000000,61035.000000,1922288.000000,98350.000000,752.068858,31.494847,19.545379,-,709.000000,26551.000000,954260.000000,151980.000000,49956.000000,1131.565585,35.940643,16.059733,-,251.000000,7617.000000,330300.000000,28220.000000,198.000000,10472.000000,465612.000000,20095.000000,2111.118040,43.999779,19.619000,-,-,952505.000000,628608.000000,-,65.995244,-,-,-,-,-,-,-,-
1999, 新北市,93316.000000,96.610000,42.830000,34.650000,22.530000,367.000000,1134.000000,2271.000000,28248.000000,76.970027,24.910053,12.438573,203.000000,9412.000000,326700.000000,15241.000000,1609.359606,34.711007,21.435601,-,61.000000,4196.000000,158558.000000,40093.000000,6804.000000,1942.049180,37.787893,17.411082,-,36.000000,906.000000,38042.000000,4487.000000,17.000000,1118.000000,49761.000000,1828.000000,2413.132075,43.380929,20.252732,-,-,157652.000000,108597.000000,-,68.883998,-,-,-,-,-,-,-,-
1999, 臺北市,51476.000000,97.570000,26.980000,32.540000,40.480000,414.000000,1383.000000,2189.000000,35173.000000,84.958937,25.432393,16.068068,150.000000,6748.000000,202378.000000,11462.000000,1349.186667,29.990812,17.656430,-,61.000000,3273.000000,105863.000000,19748.000000,6430.000000,1411.721311,32.344332,13.392691,-,44.000000,1605.000000,73354.000000,5714.000000,20.000000,1707.000000,74868.000000,2727.000000,2624.531250,44.753019,19.899301,-,-,126183.000000,99867.000000,-,79.144576,-,-,-,-,-,-,-,-
1999, 桃園市,55949.000000,95.640000,43.040000,37.130000,19.830000,257.000000,583.000000,1671.000000,16479.000000,64.120623,28.265866,9.861759,167.000000,4963.000000,168387.000000,7810.000000,1008.305389,33.928471,21.560435,-,47.000000,2092.000000,77391.000000,7501.000000,4218.000000,1487.021277,36.993786,16.569464,-,14.000000,477.000000,21413.000000,1646.000000,15.000000,871.000000,40644.000000,1610.000000,2398.551724,46.036350,21.363022,-,-,75505.000000,47399.000000,-,62.775975,-,-,-,-,-,-,-,-
1999, 臺中市,73660.000000,96.010000,40.030000,36.220000,23.750000,221.000000,854.000000,1690.000000,20934.000000,94.723982,24.512881,12.386982,209.000000,6960.000000,239655.000000,10874.000000,1146.674641,34.433190,22.039268,-,67.000000,3115.000000,117328.000000,15300.000000,5933.000000,1522.805970,37.665490,17.196696,-,22.000000,733.000000,34975.000000,2773.000000,16.000000,1130.000000,55126.000000,2129.000000,2773.710526,48.363392,21.501632,-,-,116914.000000,78488.000000,-,67.133106,-,-,-,-,-,-,-,-
1999, 臺南市,75323.000000,94.830000,48.070000,30.910000,21.010000,310.000000,1034.000000,1945.000000,24506.000000,79.051613,23.700193,12.599486,215.000000,4926.000000,155563.000000,7920.000000,723.548837,31.579984,19.641793,-,60.000000,2157.000000,82961.000000,17700.000000,3875.000000,1087.683333,38.461289,16.841548,-,27.000000,725.000000,30942.000000,2793.000000,20.000000,955.000000,42278.000000,1729.000000,1934.468085,43.583333,20.106148,-,-,82185.000000,58102.000000,-,70.696599,-,-,-,-,-,-,-,-
1999, 高雄市,104073.000000,95.170000,41.630000,36.420000,21.960000,367.000000,1413.000000,2645.000000,34120.000000,92.970027,24.147205,12.899811,235.000000,7022.000000,225759.000000,11351.000000,960.676596,32.150242,19.888908,-,79.000000,3193.000000,111136.000000,17840.000000,5871.000000,1180.962025,34.806138,15.890990,-,28.000000,1055.000000,44521.000000,3272.000000,23.000000,1252.000000,55961.000000,2661.000000,2320.039216,43.555267,19.943031,-,-,109451.000000,71139.000000,-,64.996208,-,-,-,-,-,-,-,-
1999, 宜蘭縣,23166.000000,93.660000,56.960000,28.800000,14.240000,62.000000,165.000000,346.000000,3911.000000,63.080645,23.703030,11.303468,74.000000,1367.000000,40379.000000,2176.000000,545.662162,29.538405,18.556526,-,24.000000,554.000000,19669.000000,560.000000,1213.000000,796.208333,35.503610,15.753504,-,4.000000,152.000000,6430.000000,377.000000,6.000000,184.000000,8362.000000,537.000000,1535.200000,44.023810,16.796499,-,-,18985.000000,10370.000000,-,54.622070,-,-,-,-,-,-,-,-
1999, 新竹縣,12147.000000,96.320000,43.590000,36.060000,20.350000,80.000000,254.000000,425.000000,5964.000000,74.550000,23.480315,14.032941,79.000000,1373.000000,40847.000000,2173.000000,517.050633,29.750182,18.797515,-,26.000000,521.000000,17554.000000,1815.000000,1047.000000,605.346154,33.692898,15.032474,-,4.000000,140.000000,5857.000000,418.000000,5.000000,181.000000,7474.000000,371.000000,1682.888889,41.529595,19.196451,-,-,17420.000000,9051.000000,-,51.957520,-,-,-,-,-,-,-,-
1999, 苗栗縣,16443.000000,96.260000,51.670000,33.970000,14.350000,74.000000,209.000000,417.000000,5405.000000,73.040541,25.861244,12.961631,115.000000,1691.000000,48422.000000,2663.000000,421.060870,28.635127,18.196918,-,29.000000,650.000000,24017.000000,6903.000000,1081.000000,590.137931,36.949231,15.831637,-,8.000000,163.000000,6797.000000,879.000000,7.000000,298.000000,12308.000000,493.000000,1733.866667,41.442516,18.956268,-,-,24497.000000,12167.000000,-,49.667306,-,-,-,-,-,-,-,-
1999, 彰化縣,88018.000000,91.350000,54.780000,30.320000,14.910000,137.000000,449.000000,860.000000,11114.000000,81.124088,24.752784,12.923256,171.000000,3510.000000,115265.000000,5494.000000,674.064327,32.839031,20.980160,-,38.000000,1597.000000,58533.000000,1973.000000,3247.000000,1488.421053,36.651847,17.419156,-,8.000000,275.000000,12314.000000,782.000000,12.000000,552.000000,24896.000000,1309.000000,1959.150000,44.993954,18.738881,-,-,52894.000000,35906.000000,-,67.882936,-,-,-,-,-,-,-,-
1999, 南投縣,21732.000000,94.950000,55.430000,29.100000,15.470000,63.000000,171.000000,261.000000,3811.000000,60.492063,22.286550,14.601533,151.000000,1747.000000,45792.000000,2958.000000,303.258278,26.211792,15.480730,-,31.000000,632.000000,21177.000000,-,1377.000000,683.129032,33.507911,15.379085,-,4.000000,87.000000,3349.000000,367.000000,6.000000,229.000000,9961.000000,474.000000,1331.000000,42.120253,15.826397,-,-,20440.000000,10504.000000,-,51.389432,-,-,-,-,-,-,-,-
1999, 雲林縣,55445.000000,90.760000,59.640000,27.030000,13.320000,96.000000,332.000000,557.000000,6922.000000,72.104167,20.849398,12.427289,154.000000,1949.000000,53682.000000,3102.000000,348.584416,27.543356,17.305609,-,30.000000,883.000000,32312.000000,7597.000000,1531.000000,823.833333,36.593431,16.143044,-,10.000000,217.000000,9184.000000,853.000000,8.000000,274.000000,12503.000000,669.000000,1626.888889,44.169043,19.240473,-,-,27041.000000,15727.000000,-,58.159831,-,-,-,-,-,-,-,-
1999, 嘉義縣,37967.000000,91.660000,62.380000,25.590000,12.030000,101.000000,261.000000,433.000000,5761.000000,57.039604,22.072797,13.304850,135.000000,1639.000000,39178.000000,2627.000000,290.207407,23.903600,14.913590,-,25.000000,515.000000,17475.000000,1556.000000,1066.000000,636.760000,33.932039,14.933396,-,4.000000,62.000000,2258.000000,238.000000,5.000000,219.000000,8911.000000,452.000000,1413.888889,39.747331,18.442029,-,-,17286.000000,9849.000000,-,56.976744,-,-,-,-,-,-,-,-
1999, 屏東縣,47680.000000,93.420000,51.700000,33.330000,14.970000,132.000000,309.000000,580.000000,7177.000000,54.371212,23.226537,12.374138,171.000000,2571.000000,73201.000000,4087.000000,428.076023,28.471801,17.910692,-,39.000000,1001.000000,36193.000000,1651.000000,2053.000000,885.692308,36.156843,16.825134,-,7.000000,202.000000,8492.000000,519.000000,11.000000,344.000000,14300.000000,887.000000,1357.944444,41.743590,17.384780,-,-,35802.000000,21119.000000,-,58.988325,-,-,-,-,-,-,-,-
1999, 臺東縣,9113.000000,95.410000,64.020000,27.660000,8.320000,41.000000,102.000000,217.000000,2509.000000,61.195122,24.598039,11.562212,92.000000,878.000000,18759.000000,1488.000000,203.902174,21.365604,12.589933,-,21.000000,307.000000,9558.000000,506.000000,653.000000,431.047619,31.133550,13.862175,-,5.000000,114.000000,3831.000000,227.000000,5.000000,107.000000,3793.000000,368.000000,813.000000,34.497738,13.663866,-,-,8659.000000,3753.000000,-,43.342187,-,-,-,-,-,-,-,-
1999, 花蓮縣,8507.000000,96.990000,52.810000,32.350000,14.830000,60.000000,152.000000,292.000000,3504.000000,58.400000,23.052632,12.000000,108.000000,1166.000000,28677.000000,1931.000000,265.527778,24.594340,14.850854,-,23.000000,442.000000,14156.000000,330.000000,969.000000,601.130435,32.027149,14.268318,-,5.000000,99.000000,3985.000000,442.000000,6.000000,261.000000,9910.000000,439.000000,1293.181818,38.597222,16.146425,-,-,13755.000000,6814.000000,-,49.538350,-,-,-,-,-,-,-,-
1999, 澎湖縣,2811.000000,96.110000,49.260000,32.560000,18.170000,14.000000,29.000000,52.000000,621.000000,44.357143,21.413793,11.942308,41.000000,345.000000,6497.000000,579.000000,158.463415,18.831884,11.221071,-,13.000000,125.000000,3522.000000,-,284.000000,270.923077,28.176000,12.401408,-,1.000000,30.000000,1082.000000,108.000000,1.000000,58.000000,2209.000000,115.000000,1645.500000,37.397727,14.757848,-,-,3005.000000,1567.000000,-,52.146423,-,-,-,-,-,-,-,-
1999, 基隆市,15021.000000,95.080000,43.550000,36.970000,19.480000,55.000000,165.000000,306.000000,4215.000000,76.636364,25.545455,13.774510,41.000000,1028.000000,33314.000000,1631.000000,812.536585,32.406615,20.425506,-,16.000000,445.000000,15655.000000,1812.000000,910.000000,865.187500,35.179775,15.212088,-,5.000000,163.000000,6172.000000,581.000000,4.000000,214.000000,8508.000000,355.000000,1832.444444,38.938992,17.619658,-,-,14728.000000,9327.000000,-,63.328354,-,-,-,-,-,-,-,-
1999, 新竹市,11203.000000,95.990000,40.640000,32.580000,26.780000,81.000000,270.000000,591.000000,6348.000000,78.370370,23.511111,10.741117,27.000000,1019.000000,34766.000000,1624.000000,1287.629630,34.117763,21.407635,-,11.000000,480.000000,16378.000000,3867.000000,820.000000,1137.363636,34.120833,15.257317,-,8.000000,187.000000,7686.000000,1028.000000,3.000000,220.000000,9631.000000,257.000000,1925.818182,42.547912,16.485603,-,-,15354.000000,9026.000000,-,58.785984,-,-,-,-,-,-,-,-
1999, 嘉義市,9569.000000,95.360000,33.180000,35.760000,31.060000,48.000000,177.000000,331.000000,4336.000000,90.333333,24.497175,13.099698,18.000000,721.000000,25067.000000,1159.000000,1392.611111,34.766990,21.628128,-,8.000000,373.000000,14824.000000,5228.000000,574.000000,1199.500000,39.742627,16.717770,-,7.000000,225.000000,9616.000000,716.000000,8.000000,298.000000,14208.000000,685.000000,1936.800000,45.552581,20.736617,-,-,14749.000000,9836.000000,-,66.689267,-,-,-,-,-,-,-,-
1999, 金門縣,5811.000000,85.750000,-,-,-,19.000000,57.000000,66.000000,1329.000000,69.947368,23.315789,20.136364,19.000000,179.000000,4312.000000,301.000000,226.947368,24.089385,14.325581,-,5.000000,84.000000,2668.000000,-,189.000000,533.600000,31.761905,14.116402,-,1.000000,30.000000,1160.000000,72.000000,1.000000,42.000000,1505.000000,108.000000,1332.500000,37.013889,14.805556,-,-,2668.000000,1484.000000,-,55.622189,-,-,-,-,-,-,-,-
1999, 連江縣,657.000000,87.470000,-,-,-,6.000000,11.000000,23.000000,223.000000,37.166667,20.272727,9.695652,8.000000,51.000000,579.000000,94.000000,72.375000,11.352941,6.159574,-,5.000000,18.000000,281.000000,-,45.000000,56.200000,15.611111,6.244444,-,1.000000,6.000000,158.000000,24.000000,-,3.000000,90.000000,-,248.000000,27.555556,10.333333,-,-,281.000000,168.000000,-,59.786477,-,-,-,-,-,-,-,-
2000, 總計,781468.000000,95.550000,-,-,-,3150.000000,10034.000000,20099.000000,243090.000000,77.171429,24.226629,12.094632,2600.000000,62443.000000,1925981.000000,101581.000000,740.761923,30.843826,18.960052,-,709.000000,26553.000000,929534.000000,158881.000000,49394.000000,1086.957687,35.006741,15.600000,-,277.000000,8252.000000,356589.000000,30471.000000,188.000000,9956.000000,427366.000000,18812.000000,2027.604301,43.055525,19.131059,-,-,923770.000000,608645.000000,-,65.887071,-,-,-,-,-,-,-,-
2000, 臺灣地區,775428.000000,95.580000,43.200000,33.530000,23.270000,3125.000000,9965.000000,20009.000000,241543.000000,77.293760,24.239137,12.071718,2573.000000,62213.000000,1921317.000000,101170.000000,746.722503,30.882886,18.990976,-,699.000000,26451.000000,926656.000000,158881.000000,49155.000000,1098.390558,35.032929,15.620000,-,275.000000,8213.000000,355216.000000,30374.000000,187.000000,9907.000000,425828.000000,18705.000000,2034.469697,43.103974,19.151266,-,-,920892.000000,607335.000000,-,65.950730,-,-,-,-,-,-,-,-
2000, 新北市,89886.000000,96.800000,41.880000,34.700000,23.420000,396.000000,1224.000000,2507.000000,31507.000000,79.563131,25.741013,12.567611,204.000000,9700.000000,326766.000000,15593.000000,1601.794118,33.687216,20.955942,-,61.000000,4222.000000,154577.000000,38751.000000,6892.000000,1898.786885,36.612269,16.810000,-,37.000000,964.000000,40926.000000,4651.000000,17.000000,1047.000000,46103.000000,1751.000000,2329.259259,43.276479,19.646985,-,-,151287.000000,103257.000000,-,68.252394,-,-,-,-,-,-,-,-
