"年度","縣市","垃圾清運量","垃圾焚化量","垃圾衛生掩埋量","廚餘回收量","執行機關資源回收量","巨大垃圾回收再利用量","垃圾清理車數","清運人員數","平均每日垃圾清運量","平均每人每日垃圾清運量","垃圾清運率","垃圾妥善處理率","執行機關資源回收率","自來水水質檢驗件數","自來水水質檢驗不合格數","自來水水質抽驗檢驗不合格率","空氣中總懸浮微粒濃度","平均每月落塵量","空氣中臭氧濃度","二氧化硫含量","PSI>100之日數比率","一般地區環境音量監測不合格時段數","一般地區環境音量監測總時段數","一般地區環境音量監測不合格率","豬隻數量","機車密度","汽車密度","豬隻密度","工廠密度","事業廢水列管家數","事業廢水稽查次數","事業廢水罰鍰次數","事業廢水罰鍰金額","平均每次事業廢水稽查罰款金額","交通工具排放空氣污染物告發件數","交通工具排放空氣污染物檢查件數","交通工具空氣污染檢查告發率","查核列管毒性化學物質運作之家次","取締違反列管毒性化學物質運作之家次","列管毒性化學物質業者之查核取締率","地方環保單位歲出決算數(扣除其他機關補助及配合款)","平均每人環保經費"
1999, 臺灣地區,8565699.000000,-,-,-,149876.000000,-,-,27806.000000,23467.700000,1.082000,98.790000,-,-,13187.000000,48.000000,0.360000,101.520000,5.680000,0.023000,0.005000,5.110000,242.000000,508.000000,47.637795,7243194.000000,303.618717,148.502676,201.165303,2.302771,14330.000000,27807.000000,4571.000000,286364.000000,62.647998,22379.000000,846444.000000,2.643884,30070.000000,204.000000,0.678417,-,-
1999, 新北市,1379137.000000,-,-,-,17809.000000,-,-,5179.000000,3778.457534,1.084050,100.000000,-,-,373.000000,-,-,89.030000,4.930000,0.023000,0.004000,3.510000,9.000000,20.000000,45.000000,167131.000000,792.050753,361.140517,81.425369,9.541712,1458.000000,3113.000000,687.000000,42470.000000,61.819505,4193.000000,74204.000000,5.650639,9299.000000,13.000000,0.139800,-,-
1999, 臺北市,1238239.000000,-,-,-,24910.000000,-,-,7545.000000,3392.435616,1.284867,100.000000,-,-,309.000000,-,-,113.580000,11.360000,0.020000,0.005000,3.390000,23.000000,36.000000,63.888889,6978.000000,3426.784503,2397.688445,25.673318,7.281097,173.000000,681.000000,473.000000,29610.000000,62.600423,4515.000000,73332.000000,6.156930,771.000000,2.000000,0.259403,-,-
1999, 桃園市,628602.000000,-,-,-,13058.000000,-,-,1460.000000,1722.197260,1.062953,96.980000,-,-,747.000000,-,-,90.430000,6.140000,0.025000,0.005000,1.660000,27.000000,48.000000,56.250000,209893.000000,608.765768,375.600555,171.909015,7.229593,1596.000000,2032.000000,921.000000,56505.000000,61.351792,675.000000,35587.000000,1.896760,976.000000,56.000000,5.737705,-,-
1999, 臺中市,816107.000000,-,-,-,27291.000000,-,-,2160.000000,2235.909589,0.940000,99.240000,-,-,1154.000000,2.000000,0.170000,99.560000,4.230000,0.019000,0.004000,2.160000,15.000000,40.000000,37.500000,221467.000000,536.943301,305.303164,99.989760,7.422468,1018.000000,2956.000000,194.000000,11370.000000,58.608247,3354.000000,78747.000000,4.259210,1616.000000,11.000000,0.680693,-,-
1999, 臺南市,714544.000000,-,-,-,2812.000000,-,-,1801.000000,1957.654795,1.112000,96.360000,-,-,1220.000000,1.000000,0.080000,105.800000,3.600000,0.019000,0.005000,3.850000,31.000000,64.000000,48.437500,966980.000000,465.503870,206.800063,441.210336,4.053561,1688.000000,3306.000000,819.000000,52860.000000,64.542125,1096.000000,58133.000000,1.885332,2908.000000,26.000000,0.894085,-,-
1999, 高雄市,1073406.000000,-,-,-,26926.000000,-,-,3858.000000,2940.838356,1.090000,100.000000,-,-,1666.000000,15.000000,0.900000,121.000000,4.290000,0.021000,0.012000,10.140000,31.000000,56.000000,55.357143,762274.000000,554.504037,213.831937,258.725355,2.015092,1354.000000,3229.000000,469.000000,33700.000000,71.855011,4142.000000,122141.000000,3.391163,6239.000000,44.000000,0.705241,-,-
1999, 宜蘭縣,193124.000000,-,-,-,1884.000000,-,-,372.000000,529.106849,1.138109,100.000000,-,-,367.000000,2.000000,0.540000,74.240000,4.080000,0.023000,0.002000,0.280000,1.000000,12.000000,8.333333,85768.000000,112.877947,49.773162,40.010728,0.467899,315.000000,820.000000,45.000000,3097.000000,68.822222,106.000000,3266.000000,3.245560,251.000000,-,-,-,-
1999, 新竹縣,144644.000000,-,-,-,2299.000000,-,-,202.000000,396.284932,0.999962,92.020000,-,-,422.000000,-,-,99.320000,4.670000,0.026000,0.003000,3.450000,2.000000,12.000000,16.666667,102437.000000,135.016063,86.397868,71.755040,1.032507,668.000000,1168.000000,54.000000,4400.000000,81.481481,367.000000,22589.000000,1.624685,779.000000,-,-,-,-
1999, 苗栗縣,212849.000000,-,-,-,1983.000000,-,-,411.000000,583.147945,1.157040,90.090000,-,-,713.000000,12.000000,1.680000,82.750000,4.690000,0.018000,0.004000,2.190000,11.000000,12.000000,91.666667,118165.000000,153.591557,82.921367,64.914593,1.092668,362.000000,1136.000000,74.000000,5087.000000,68.743243,129.000000,153725.000000,0.083916,274.000000,-,-,-,-
1999, 彰化縣,462067.000000,-,-,-,5612.000000,-,-,852.000000,1265.936986,0.978162,99.360000,-,-,860.000000,-,-,122.700000,4.020000,0.021000,0.004000,4.030000,2.000000,16.000000,12.500000,829387.000000,658.386666,296.485653,771.956523,7.779255,1527.000000,2954.000000,499.000000,26790.000000,53.687375,886.000000,38705.000000,2.289110,3821.000000,31.000000,0.811306,-,-
1999, 南投縣,167814.000000,-,-,-,3327.000000,-,-,468.000000,459.764384,0.884502,95.310000,-,-,810.000000,-,-,87.980000,3.240000,0.020000,0.002000,8.380000,-,16.000000,-,132701.000000,66.694818,33.995659,32.315370,0.248634,253.000000,222.000000,28.000000,1500.000000,53.571429,629.000000,13984.000000,4.497998,181.000000,-,-,-,-
1999, 雲林縣,257464.000000,-,-,-,2988.000000,-,-,620.000000,705.380822,0.944791,99.920000,-,-,909.000000,-,-,114.780000,3.880000,0.025000,0.003000,4.440000,-,12.000000,-,1376336.000000,304.614431,139.291223,1066.236888,1.180631,1171.000000,1220.000000,76.000000,6100.000000,80.263158,389.000000,31169.000000,1.248035,343.000000,4.000000,1.166181,-,-
1999, 嘉義縣,232061.000000,-,-,-,4725.000000,-,-,444.000000,635.783562,1.127876,100.000000,-,-,554.000000,1.000000,0.180000,110.380000,5.350000,0.026000,0.003000,3.880000,8.000000,16.000000,50.000000,416530.000000,155.147114,70.812929,219.033509,0.890269,453.000000,1393.000000,67.000000,4110.000000,61.343284,266.000000,22787.000000,1.167332,293.000000,1.000000,0.341297,-,-
1999, 屏東縣,366674.000000,-,-,-,5645.000000,-,-,686.000000,1004.586301,1.104426,100.000000,-,-,489.000000,-,-,100.750000,9.720000,0.030000,0.004000,22.340000,24.000000,28.000000,85.714286,1635212.000000,186.544150,70.413597,589.138141,0.321012,1418.000000,1546.000000,86.000000,4128.000000,48.000000,276.000000,32833.000000,0.840618,294.000000,3.000000,1.020408,-,-
1999, 臺東縣,104203.000000,-,-,-,533.000000,-,-,225.000000,285.487671,1.174363,97.780000,-,-,661.000000,7.000000,1.060000,51.610000,-,0.023000,0.000300,-,22.000000,28.000000,78.571429,71288.000000,39.321214,14.379905,20.279624,0.074248,82.000000,250.000000,5.000000,300.000000,60.000000,486.000000,17449.000000,2.785260,425.000000,-,-,-,-
1999, 花蓮縣,147116.000000,-,-,-,1482.000000,-,-,263.000000,403.057534,1.131866,100.000000,-,-,583.000000,2.000000,0.340000,86.610000,4.200000,0.018000,0.001000,0.270000,3.000000,28.000000,10.714286,106937.000000,42.056605,18.636852,23.103673,0.099815,319.000000,476.000000,14.000000,810.000000,57.857143,97.000000,10845.000000,0.894421,306.000000,-,-,-,-
