"年度","縣市","就業者從業身分結構-自營作業者","就業者從業身分結構-雇主","就業者從業身分結構-受僱者","就業者從業身分結構-無酬家屬工作者"
2006, 桃園市,10.850000,4.500000,79.790000,4.860000
2006, 臺中市,13.240000,5.670000,73.070000,8.020000
2006, 臺南市,16.800000,4.230000,71.220000,7.750000
2006, 高雄市,13.480000,4.790000,75.330000,6.400000
2006, 宜蘭縣,16.890000,4.920000,70.590000,7.600000
2006, 新竹縣,11.630000,3.490000,81.340000,3.540000
2006, 苗栗縣,14.790000,3.640000,75.520000,6.050000
2006, 彰化縣,18.170000,4.750000,68.470000,8.610000
2006, 南投縣,21.050000,3.900000,65.340000,9.710000
2006, 雲林縣,24.440000,3.010000,59.970000,12.570000
2006, 嘉義縣,26.150000,2.410000,60.320000,11.120000
2006, 屏東縣,20.710000,3.500000,66.100000,9.700000
2006, 臺東縣,20.960000,3.730000,66.250000,9.060000
2006, 花蓮縣,20.810000,4.140000,68.220000,6.840000
2006, 澎湖縣,14.560000,5.860000,74.060000,5.520000
2006, 基隆市,9.850000,4.280000,81.460000,4.410000
2006, 新竹市,9.720000,5.020000,80.060000,5.200000
2006, 嘉義市,12.870000,5.290000,75.080000,6.760000
2006, 金門縣,21.470000,2.470000,70.790000,5.270000
2006, 連江縣,22.620000,2.720000,70.880000,3.790000
2007, 總計,-,-,-,-
2007, 臺灣地區,13.560000,5.080000,75.140000,6.220000
2007, 新北市,9.500000,6.010000,80.440000,4.040000
2007, 臺北市,9.340000,6.850000,80.830000,2.980000
2007, 桃園市,9.730000,4.530000,81.280000,4.460000
2007, 臺中市,13.420000,6.040000,72.150000,8.390000
2007, 臺南市,15.670000,4.330000,72.410000,7.590000
2007, 高雄市,13.440000,4.890000,75.890000,5.780000
2007, 宜蘭縣,16.900000,3.890000,72.330000,6.890000
2007, 新竹縣,12.070000,3.590000,80.830000,3.510000
2007, 苗栗縣,14.010000,3.910000,76.270000,5.810000
2007, 彰化縣,17.010000,4.830000,70.190000,7.970000
2007, 南投縣,20.130000,4.080000,65.710000,10.080000
2007, 雲林縣,24.220000,3.100000,60.380000,12.300000
2007, 嘉義縣,24.420000,2.840000,61.640000,11.100000
