"年度","縣市","農林漁牧業產值","農產產值","林產產值","漁產產值","畜產產值","農產產值占農林漁牧業產值比率","林產產值占農林漁牧業產值比率","漁產產值占農林漁牧業產值比率","畜產產值占農林漁牧業產值比率"
2000, 連江縣,-,-,-,-,-,-,-,-,-
2001, 總計,-,-,-,52156377.000000,-,-,-,-,-
2001, 臺灣地區,314203879.008076,160758569.891640,342752.994000,51897057.000000,101205499.421360,51.163776,0.109086,16.517001,32.210137
2001, 新北市,6103871.565525,1878468.432460,-,2968461.000000,1256942.133065,30.775032,-,48.632429,20.592539
2001, 臺北市,489338.000000,371858.000000,60123.100000,-,57357.198924,75.992008,12.286612,-,11.721379
2001, 桃園市,7547350.180334,4057633.113340,27858.500000,473551.000000,2988307.566994,53.762354,0.369116,6.274401,39.594129
2001, 臺中市,17541670.708328,13838277.721720,-,323927.000000,3379465.986608,78.888026,-,1.846614,19.265360
2001, 臺南市,36763491.544869,18385888.394960,130007.199000,3790736.000000,14456859.950909,50.011268,0.353631,10.311142,39.323958
2001, 高雄市,26571692.102555,9017926.415100,89244.568000,9490250.000000,7974271.119455,33.938096,0.335863,35.715640,30.010400
2001, 宜蘭縣,8775521.209698,3507624.474700,-,3159553.000000,2108343.734998,39.970554,-,36.004163,24.025282
2001, 新竹縣,5668084.522662,3474010.894000,5718.206000,293224.000000,1895131.422662,61.290739,0.100884,5.173247,33.435130
2001, 苗栗縣,8491917.329966,5912912.104800,17546.001000,166804.000000,2394655.224166,69.629883,0.206620,1.964268,28.199229
2001, 彰化縣,37471855.528871,19037715.013820,-,2166644.000000,16267496.515051,50.805370,-,5.782057,43.412573
2001, 南投縣,21082030.381490,17657549.308040,3005.287000,59406.000000,3362069.786450,83.756398,0.014255,0.281785,15.947562
2001, 雲林縣,42271050.565313,20609714.994880,-,5636059.000000,16025276.570433,48.756098,-,13.333142,37.910760
2001, 嘉義縣,27011109.432557,14695758.550280,1238.013000,5417839.000000,6896273.869277,54.406349,0.004583,20.057817,25.531250
2001, 屏東縣,43001496.221068,16472063.977440,6270.843000,7338021.000000,19185140.400628,38.305793,0.014583,17.064571,44.615053
2001, 臺東縣,7907256.987588,5861536.502940,919.788000,761865.000000,1282935.696648,73.254217,0.011495,10.700873,16.033415
2001, 花蓮縣,6679941.244058,5165022.243000,821.489000,300326.000000,1213771.512058,77.321372,0.012298,4.495938,18.170392
2001, 澎湖縣,3372051.513920,52053.230000,-,3110190.000000,209808.283920,1.543667,-,92.234356,6.221977
2001, 基隆市,3350244.954894,45320.526000,-,3293055.000000,11869.428894,1.352753,-,98.292962,0.354285
2001, 新竹市,3616958.226304,320487.572160,-,3147118.000000,149352.654144,8.860693,-,87.010073,4.129234
2001, 嘉義市,486946.788076,396748.422000,-,28.000000,90170.366076,81.476751,-,0.005750,18.517499
2001, 金門縣,-,-,-,113034.000000,-,-,-,-,-
2001, 連江縣,-,-,-,146286.000000,-,-,-,-,-
2002, 總計,-,-,-,54955325.000000,-,-,-,-,-
2002, 臺灣地區,312259000.965124,151853269.357064,496634.946000,54709611.000000,105199485.662060,48.630550,0.159046,17.520587,33.689817
2002, 新北市,6935743.350126,1659799.927350,-,3942075.000000,1333868.422776,23.931104,-,56.837094,19.231802
2002, 臺北市,604976.585101,367201.835853,176695.000000,-,61079.749248,60.696867,29.206915,-,10.096217
2002, 桃園市,6761471.946092,3033042.833396,119118.020000,428775.000000,3180536.092696,44.857730,1.761717,6.341445,47.039108
2002, 臺中市,17103328.137072,13401909.274196,-,263325.000000,3438093.862876,78.358488,-,1.539613,20.101900
2002, 臺南市,36339113.039963,17082044.227317,159629.921000,4198455.000000,14898983.891646,47.007323,0.439279,11.553543,40.999856
2002, 高雄市,25008475.784209,8286945.337631,2194.480000,9028958.000000,7690377.966578,33.136547,0.008775,36.103592,30.751086
2002, 宜蘭縣,9016883.564575,3365773.579953,-,3331758.000000,2319351.984622,37.327460,-,36.950217,25.722324
2002, 新竹縣,4890513.621773,2604004.846713,2943.129480,238333.000000,2045232.645580,53.246040,0.060180,4.873374,41.820406
2002, 苗栗縣,7880925.764691,5259248.852359,16781.585820,231921.000000,2372974.326512,66.733897,0.212939,2.942814,30.110350
2002, 彰化縣,37052687.418003,17792445.432549,-,2683557.000000,16576684.985454,48.019312,-,7.242543,44.738145
2002, 南投縣,18845935.185662,15267207.529211,3405.381900,48949.000000,3526373.274552,81.010613,0.018070,0.259732,18.711585
2002, 雲林縣,45215141.786034,22116102.883942,-,5912428.000000,17186610.902092,48.913046,-,13.076212,38.010742
2002, 嘉義縣,27310874.971366,13989155.680316,695.424600,6321497.000000,6999526.866450,51.221924,0.002546,23.146446,25.629083
2002, 屏東縣,44848288.835803,16061267.794597,3208.872000,8294318.000000,20489494.169206,35.812443,0.007155,18.494168,45.686234
2002, 臺東縣,7759007.008019,5824177.267085,11121.782400,637131.000000,1286576.958534,75.063436,0.143340,8.211502,16.581722
2002, 花蓮縣,6637620.143173,4985554.371565,841.348800,356214.000000,1295010.422808,75.110571,0.012675,5.366592,19.510162
2002, 澎湖縣,3957807.963348,68222.471900,-,3662654.000000,226931.491448,1.723744,-,92.542489,5.733767
2002, 基隆市,2447689.537212,40579.498528,-,2395064.000000,12046.038684,1.657870,-,97.849991,0.492139
2002, 新竹市,3132588.493240,236130.106814,-,2734187.000000,162271.386426,7.537859,-,87.282035,5.180105
2002, 嘉義市,509927.829663,412455.605791,-,12.000000,97460.223872,80.885094,-,0.002353,19.112552
2002, 金門縣,-,-,-,69593.000000,-,-,-,-,-
2002, 連江縣,-,-,-,176121.000000,-,-,-,-,-
2003, 總計,-,-,-,59715864.000000,-,-,-,-,-
2003, 臺灣地區,319664077.039765,147274669.788051,326967.127620,59470150.000000,112592290.124094,46.071699,0.102285,18.603952,35.222065
2003, 新北市,6723904.746489,1580584.482511,-,3691953.000000,1451367.263978,23.506943,-,54.907872,21.585185
2003, 臺北市,457679.092809,376121.511277,8709.000000,-,72848.581532,82.180182,1.902862,-,15.916956
2003, 桃園市,6140711.588446,2384750.152290,940.220000,441486.000000,3313535.216156,38.835078,0.015311,7.189493,53.960118
2003, 臺中市,17112135.656140,13576078.453628,-,262722.000000,3273335.202512,79.335968,-,1.535296,19.128736
2003, 臺南市,37234910.327046,16546475.889284,237330.120000,4780457.000000,15670647.317761,44.438071,0.637386,12.838642,42.085901
2003, 高雄市,25379990.762890,7997753.742490,34219.812500,9203204.000000,8144813.207900,31.512044,0.134830,36.261652,32.091474
2003, 宜蘭縣,9585375.850858,3244250.395344,-,4104855.000000,2236270.455514,33.845834,-,42.824142,23.330024
2003, 新竹縣,4649147.207230,2180513.365245,2932.564950,380015.000000,2085686.277034,46.402321,1.126429,8.086893,44.384357
2003, 苗栗縣,8036968.976567,5147645.654899,13760.264610,269858.000000,2605705.057058,64.049590,0.171212,3.357709,32.421490
2003, 彰化縣,37819597.625816,16568138.801997,-,3170722.000000,18080736.823818,43.808342,-,8.383807,47.807851
2003, 南投縣,19677121.946656,16068928.826626,1383.050760,43022.000000,3563788.069270,81.663004,0.007029,0.218640,18.111328
2003, 雲林縣,46257558.673371,21988001.781089,3.750000,5683771.000000,18585782.142282,47.533857,0.000008,12.287226,40.178908
2003, 嘉義縣,26813885.530495,13414119.953717,536.490900,5934018.000000,7465211.085878,50.026767,0.002001,22.130392,27.840840
2003, 屏東縣,48752398.525219,15553335.731833,1240.214000,10433628.000000,22764194.579386,31.902709,0.002544,21.401261,46.693486
2003, 臺東縣,7083601.578711,5026407.282351,25529.481000,720354.000000,1311310.815360,70.958357,0.360403,10.169318,18.511922
2003, 花蓮縣,6754212.937325,4852025.912729,382.158900,458961.000000,1442843.865696,71.837029,0.005658,6.795181,21.362132
2003, 澎湖縣,4972227.715208,74092.644640,-,4668264.000000,229871.070568,1.490130,-,93.886770,4.623100
2003, 基隆市,2953956.489955,42396.479397,-,2898978.000000,12582.010558,1.435244,-,98.138819,0.425938
2003, 新竹市,2675114.693722,179086.650666,-,2323867.000000,172161.043056,6.694541,-,86.869808,6.435651
2003, 嘉義市,583577.114812,473962.076036,-,15.000000,109600.038776,81.216700,-,0.002570,18.780729
2003, 金門縣,-,-,-,69593.000000,-,-,-,-,-
2003, 連江縣,-,-,-,176121.000000,-,-,-,-,-
2004, 總計,-,-,-,59696170.000000,-,-,-,-,-
2004, 臺灣地區,346928909.277921,162300580.000000,261287.050264,59447632.000000,124919410.227657,46.782086,0.075314,17.135393,36.007207
2004, 新北市,8198201.525609,1765320.000000,-,4907789.000000,1525092.525609,21.533015,-,59.858423,18.610645
2004, 臺北市,476884.097319,391627.000000,9170.000000,-,76087.097319,82.122051,1.922899,-,15.958901
2004, 桃園市,7065321.150000,2803786.000000,407.150000,398137.000000,3862991.000000,39.683773,0.005763,5.635087,54.675380
2004, 臺中市,19583474.474126,15433524.000000,-,262601.000000,3887349.474126,78.808916,-,1.340932,19.850152
2004, 臺南市,40519292.470214,18240484.000000,195717.800000,5511878.000000,16571212.670214,45.016788,0.483024,13.603095,40.897093
2004, 高雄市,26413687.968715,9096484.000000,-,8418047.000000,8899156.968715,34.438523,-,31.870018,33.691459
2004, 宜蘭縣,10518884.079252,3941512.000000,-,4214601.000000,2362771.079252,37.470819,-,40.065730,22.464636
2004, 新竹縣,5012548.088379,2479674.000000,1217.000120,253958.000000,2277699.088259,49.469331,0.024279,5.066243,45.442120
2004, 苗栗縣,8268773.325232,5359394.000000,16176.467800,160733.000000,2732469.857432,64.814862,0.195633,1.943662,33.052312
2004, 彰化縣,41928360.856423,18567476.000000,-,3316157.000000,20044727.856423,44.283811,-,7.907377,47.818474
2004, 南投縣,21356991.951540,17538232.000000,3754.468460,42369.000000,3772636.483080,82.119392,0.017580,0.198356,17.676512
2004, 雲林縣,49695065.184196,24021765.000000,-,3935218.000000,21738082.184195,48.338331,-,7.918730,43.493259
2004, 嘉義縣,27782409.072427,13229327.000000,1962.058352,5968326.000000,8582794.014075,47.617638,0.007062,21.215616,31.029116
2004, 屏東縣,52816950.166513,16693671.000000,659.425000,11016504.000000,25106115.741513,31.606655,0.001249,20.857278,47.535754
2004, 臺東縣,9207004.908087,6908642.000000,31458.112532,828274.000000,1438630.795555,75.036802,0.341676,8.995382,15.632396
2004, 花蓮縣,6904242.222160,4995397.000000,764.568000,455241.000000,1452839.654160,72.352575,0.011074,6.593072,21.049535
2004, 澎湖縣,4173477.261046,89356.000000,-,3850328.000000,233793.261046,2.141044,-,92.256768,5.602195
2004, 基隆市,2912578.876086,44871.000000,-,2855596.000000,12111.876086,1.540593,-,98.042967,0.416449
2004, 新竹市,3451298.600597,192898.000000,-,3051863.000000,206537.600597,5.589143,-,88.401154,6.011306
2004, 嘉義市,643463.000000,507140.000000,-,12.000000,136311.000000,78.814166,-,0.001865,21.183979
2004, 金門縣,-,-,-,85171.000000,-,-,-,-,-
2004, 連江縣,-,-,-,163367.000000,-,-,-,-,-
2005, 總計,-,-,-,57371290.047980,-,-,-,-,-
2005, 臺灣地區,346305218.644366,162630935.000000,192037.995984,57094179.047980,126388064.600402,46.961734,0.055453,16.486664,36.496148
2005, 新北市,6404535.825050,1972154.000000,-,3016625.288000,1415756.537050,30.793082,-,47.101388,22.105529
2005, 臺北市,500163.731806,422220.000000,7972.550000,-,69971.181806,84.416357,1.593988,-,13.989655
2005, 桃園市,8144823.680711,3521595.000000,4455.000000,375514.389750,4243259.290961,43.237216,0.054697,4.610467,52.097620
2005, 臺中市,18917664.789446,15021772.000000,-,188593.987870,3707298.801576,79.406059,-,0.996920,19.597021
2005, 臺南市,40071454.826088,17356617.000000,131423.227000,5238035.904500,17345378.694588,43.314167,0.327972,13.071739,43.286122
2005, 高雄市,25260293.243366,9306199.000000,-,7207084.908930,8747009.334436,36.841215,-,28.531280,34.627505
2005, 宜蘭縣,10921947.879052,4301929.000000,-,4264449.540970,2355569.338082,39.387928,-,39.044771,21.567301
2005, 新竹縣,5341991.534953,2664796.000000,373.290000,168232.530000,2508589.714953,49.883943,0.006988,3.149247,46.959822
2005, 苗栗縣,8269556.812641,5114277.000000,21956.552412,219823.133070,2913500.127159,61.844632,0.265511,2.658221,35.231636
2005, 彰化縣,40745384.776048,17727666.000000,-,3443399.400000,19574319.376048,43.508402,-,8.451017,48.040581
2005, 南投縣,21359833.057308,17373223.000000,2779.605420,41660.650000,3942169.801888,81.335949,0.013013,0.195042,18.455995
2005, 雲林縣,47946968.267792,23073786.000000,150.000000,4032254.011850,20840778.255942,48.123556,0.000313,8.409821,43.466311
2005, 嘉義縣,29277450.997243,13785859.000000,-,6952749.030160,8538842.967083,47.086951,-,23.747795,29.165254
2005, 屏東縣,56961197.060847,18455131.000000,972.134928,11983019.523880,26522074.402039,32.399479,0.001707,21.037162,46.561652
2005, 臺東縣,9350298.493255,6884894.000000,19386.269424,925139.614000,1520878.609831,73.632879,0.207333,9.894225,16.265562
2005, 花蓮縣,6906745.296542,4784092.000000,2569.366800,517868.482000,1602215.447742,69.266953,0.037201,7.498010,23.197836
2005, 澎湖縣,4214144.716588,104265.000000,-,3919505.400000,190374.316588,2.474168,-,93.008325,4.517508
2005, 基隆市,2301765.773302,55337.000000,-,2232859.400000,13569.373302,2.404111,-,97.006369,0.589520
2005, 新竹市,2798591.770471,225125.000000,-,2367363.853000,206102.917471,8.044224,-,84.591253,7.364522
2005, 嘉義市,610406.111855,480000.000000,-,-,130406.111855,78.636172,-,-,21.363828
2005, 金門縣,-,-,-,87120.000000,-,-,-,-,-
2005, 連江縣,-,-,-,189991.000000,-,-,-,-,-
2006, 總計,-,-,-,54571123.059500,118125309.808281,-,-,-,-
2006, 臺灣地區,345348538.000000,172691533.000000,181910.202066,54349784.744300,118125309.808281,50.004999,0.052674,15.737662,34.204665
2006, 新北市,4738520.283336,1955207.000000,-,1772089.442780,1011223.840556,41.261974,-,37.397528,21.340498
2006, 臺北市,466443.847008,420231.000000,8743.950000,-,37468.897008,90.092517,1.874599,-,8.032885
2006, 桃園市,7090700.406875,3384582.000000,2434.000000,403667.938500,3300016.468375,47.732689,0.034327,5.692921,46.540063
2006, 臺中市,19163752.285628,15908962.000000,-,126273.656590,3128516.629038,83.015903,-,0.658919,16.325178
2006, 臺南市,40862487.748801,19867028.000000,105120.950000,4772536.655780,16117802.143020,48.619233,0.257255,11.679506,39.444006
2006, 高雄市,27790678.918771,10431352.000000,16691.160000,8928373.753700,8414262.005071,37.535434,0.060060,32.127224,30.277281
2006, 宜蘭縣,10688824.428980,4480831.000000,-,4266173.280360,1941820.148620,41.920709,-,39.912465,18.166826
2006, 新竹縣,4971995.752380,2638179.000000,3288.239210,168790.400000,2161738.113170,53.060765,0.066135,3.394822,43.478278
2006, 苗栗縣,7771076.460039,5421731.000000,21707.854350,260897.448000,2066740.157689,69.768082,0.279342,3.357288,26.595288
2006, 彰化縣,41194147.829493,19332958.000000,-,2516342.650000,19344847.179493,46.931322,-,6.108495,46.960183
2006, 南投縣,21248356.016242,17797512.000000,1695.503430,19254.639000,3429893.873812,83.759478,0.007979,0.090617,16.141926
2006, 雲林縣,50133917.997324,25126402.000000,-,4914444.410860,20093071.586464,50.118568,-,9.802634,40.078798
2006, 嘉義縣,29015540.072671,14240183.000000,-,6709288.100350,8066068.972321,49.077780,-,23.123085,27.799134
2006, 屏東縣,55281312.262145,18841193.000000,697.498000,10383085.158380,26056336.605765,34.082391,0.001262,18.782270,47.134078
2006, 臺東縣,9430544.977237,7060758.000000,20308.480068,1194360.619000,1155117.878169,74.871156,0.215348,12.664810,12.248686
2006, 花蓮縣,6839733.242117,4860532.000000,1222.567008,660396.883000,1317581.792109,71.063181,0.017874,9.655302,19.263643
2006, 澎湖縣,3522951.536009,90189.000000,-,3262273.600000,170488.936009,2.560041,-,92.600581,4.839378
2006, 基隆市,2789538.510996,53543.000000,-,2722058.200000,13937.310996,1.919421,-,97.580951,0.499628
2006, 新竹市,1688625.034692,225317.000000,-,1269477.908000,193830.126692,13.343223,-,75.178200,11.478577
2006, 嘉義市,659392.143904,554845.000000,-,-,104547.143905,84.144921,-,-,15.855079
2006, 金門縣,-,-,-,128876.519100,-,-,-,-,-
2006, 連江縣,-,-,-,92461.796100,-,-,-,-,-
2007, 總計,-,-,-,59607597.849210,124961599.199924,-,-,-,-
2007, 臺灣地區,352745435.146449,168368459.000000,296392.282982,59390527.849210,124690057.849647,47.729912,0.084023,16.838318,35.347747
2007, 新北市,4666134.694059,2067780.000000,-,1178243.300000,1420111.394059,44.314623,-,25.250949,30.434428
2007, 臺北市,536451.435324,465585.000000,6493.970000,-,64372.465324,86.789776,1.210542,-,11.999682
2007, 桃園市,7617421.486447,3348343.000000,161.000000,374824.684000,3894092.802447,43.957375,0.002114,4.918480,51.122032
2007, 臺中市,20806739.477388,16919330.000000,-,111599.177830,3775810.299558,81.318837,-,0.536376,18.147054
2007, 臺南市,42166820.094064,19918503.000000,220294.770000,5643624.831800,16384397.492054,47.237385,0.522284,13.384042,38.856137
2007, 高雄市,31377917.736018,10429121.000000,23690.000000,12731346.357000,8163760.361678,33.237135,0.075480,40.574223,26.017534
2007, 宜蘭縣,10876129.599765,4438448.000000,-,4194717.836340,2242963.763425,40.809076,-,38.568112,20.622812
2007, 新竹縣,5649827.917772,2939490.000000,10385.898900,216863.471000,2483088.547872,52.027956,0.183827,3.838408,43.949808
2007, 苗栗縣,8204561.009984,5513759.000000,7705.858392,254399.276000,2428696.875592,67.203583,0.093922,3.100706,29.601789
2007, 彰化縣,41602533.841549,17859630.000000,-,2607820.400000,21135083.441549,42.929188,-,6.268417,50.802395
2007, 南投縣,22067746.508506,18207367.000000,6522.626770,28953.800000,3824903.081736,82.506689,0.029557,0.131204,17.332549
2007, 雲林縣,48009964.142989,22197516.000000,9.480000,5036051.823990,20776386.838999,46.235227,0.000020,10.489597,43.275156
2007, 嘉義縣,28496816.517981,13257451.000000,11597.856972,6637192.156210,8590575.504799,46.522569,0.040699,23.290995,30.145738
2007, 屏東縣,57165296.366115,18882588.000000,1049.563000,12151584.727670,26130074.075445,33.031558,0.001836,21.256926,45.709680
2007, 臺東縣,9141690.304773,6908815.000000,8274.185748,1059270.288000,1165330.831025,75.574809,0.090510,11.587248,12.747433
2007, 花蓮縣,6361162.993773,4069828.000000,207.073200,575767.309800,1715360.610773,63.979307,0.003255,9.051290,26.966148
2007, 澎湖縣,3064693.222179,91246.000000,-,2807105.950000,166341.272179,2.977329,-,91.595006,5.427665
2007, 基隆市,2819335.721611,64992.000000,-,2741757.750000,12585.971611,2.305224,-,97.248360,0.446416
2007, 新竹市,1467400.809273,255307.000000,-,1009404.709000,202689.100273,17.398587,-,68.788616,13.812797
2007, 嘉義市,646791.266878,533358.000000,-,-,113433.266878,82.462152,-,-,17.537848
2007, 金門縣,-,-,-,119569.000000,264653.120619,-,-,-,-
2007, 連江縣,-,-,-,97501.000000,6888.229659,-,-,-,-
2008, 總計,-,-,-,60985488.870000,146403031.514000,-,-,-,-
2008, 臺灣地區,386215269.000000,179108002.000000,232296.462540,60770772.000000,146104199.543000,46.375174,0.060147,15.734925,37.829676
2008, 新北市,4792704.364000,2197835.000000,-,851389.000000,1743480.754000,45.857930,-,17.764263,36.377807
2008, 臺北市,573635.594000,495741.000000,8945.983000,-,68948.614000,86.420892,1.559523,-,12.019584
2008, 桃園市,8413634.216000,3398336.000000,7715.241000,585644.000000,4421938.565000,40.390822,0.091699,6.960659,52.556820
2008, 臺中市,22031753.671000,17499643.000000,-,186805.000000,4345306.077000,79.429188,-,0.848064,19.722924
2008, 臺南市,45786750.343700,20957724.000000,165464.698000,5402387.000000,19261174.524000,45.772464,0.361681,11.799010,42.067136
