"年度","縣市","家庭收支-平均戶內人口數","家庭收支-平均每戶就業人數","家庭收支-平均每戶全年經常性支出","家庭收支-平均每戶全年經常性收入","家庭收支-平均每戶可支配所得","家庭收支-平均每戶消費支出","家庭收支-平均每戶儲蓄額","家庭收支-平均消費傾向","家庭收支-平均儲蓄傾向","家庭現代化設備(每百戶擁有數)-有線電視頻道設備","家庭現代化設備(每百戶擁有數)-行動電話","家庭現代化設備(每百戶擁有數)-冷暖氣機","家庭現代化設備(每百戶擁有數)-汽車","家庭現代化設備(每百戶擁有數)-家用電腦","家庭現代化設備(每百戶擁有數)-彩色電視機","家庭現代化設備(每百戶擁有數)-報紙","家庭現代化設備(每百戶擁有數)-電話機","家庭現代化設備(每百戶擁有數)-機車","家庭收支-自有住宅比率","每戶可支配所得中位數","平均每人每年可支配所得","平均每人居住面積","平均每戶書報雜誌文具支出占消費支出比率","飲食費(含家外食物)占消費支出比率","飲食費(不含家外食物)占消費支出比率"
1998, 苗栗縣,4.190000,1.820000,760090.000000,973722.000000,761381.000000,578424.000000,182957.000000,75.970000,24.030000,65.890000,-,106.070000,70.390000,23.990000,135.210000,44.220000,109.550000,131.750000,92.790000,705689.000000,181714.000000,11.290000,0.810000,25.820000,19.310000
1998, 彰化縣,4.240000,1.910000,703790.000000,973219.000000,804131.000000,556873.000000,247258.000000,69.250000,30.750000,56.520000,-,116.880000,75.120000,26.330000,131.490000,49.530000,110.430000,164.810000,91.310000,704863.000000,189654.000000,11.470000,0.760000,31.750000,24.210000
1998, 南投縣,3.860000,1.710000,656622.000000,906808.000000,725605.000000,506247.000000,219358.000000,69.770000,30.230000,61.380000,-,65.390000,71.920000,21.130000,136.080000,46.320000,110.600000,138.060000,88.560000,628906.000000,187981.000000,12.100000,0.830000,26.780000,20.430000
1998, 雲林縣,3.380000,1.730000,579815.000000,808764.000000,661698.000000,459407.000000,202291.000000,69.430000,30.570000,48.720000,-,92.090000,54.400000,18.310000,126.260000,43.080000,106.210000,126.930000,93.180000,598170.000000,195769.000000,12.090000,0.880000,27.130000,20.440000
1998, 嘉義縣,3.300000,1.610000,573409.000000,725663.000000,580982.000000,447043.000000,133940.000000,76.950000,23.050000,37.010000,-,79.560000,53.090000,12.180000,118.070000,30.960000,101.580000,114.830000,91.620000,453585.000000,176055.000000,12.470000,0.810000,29.350000,23.220000
1998, 屏東縣,3.780000,1.670000,685661.000000,956460.000000,742449.000000,508399.000000,234049.000000,68.480000,31.520000,42.080000,-,128.910000,55.290000,18.650000,131.490000,52.860000,99.750000,172.410000,92.930000,667565.000000,196415.000000,12.280000,1.240000,25.790000,18.190000
1998, 臺東縣,3.270000,1.490000,541465.000000,726480.000000,562213.000000,401379.000000,160834.000000,71.390000,28.610000,46.060000,-,79.760000,47.680000,14.070000,122.670000,35.080000,109.310000,126.020000,82.020000,462018.000000,171931.000000,10.170000,0.810000,25.080000,18.470000
1998, 花蓮縣,3.370000,1.320000,742767.000000,906415.000000,718903.000000,573757.000000,145146.000000,79.810000,20.190000,41.690000,-,97.360000,62.610000,22.850000,138.480000,41.590000,119.470000,115.910000,83.450000,614168.000000,213324.000000,10.720000,0.960000,24.070000,18.120000
1998, 澎湖縣,3.090000,0.960000,526982.000000,660563.000000,504624.000000,397552.000000,107072.000000,78.780000,21.220000,57.090000,-,78.230000,27.200000,13.800000,120.360000,37.090000,114.190000,105.670000,85.640000,430878.000000,163309.000000,10.430000,0.740000,24.400000,19.730000
1998, 基隆市,3.660000,1.590000,833762.000000,1037722.000000,804378.000000,639052.000000,165326.000000,79.450000,20.550000,77.350000,-,124.260000,43.890000,31.480000,146.670000,34.240000,135.840000,87.150000,84.500000,720102.000000,219775.000000,7.860000,0.790000,27.600000,18.510000
1998, 新竹市,3.750000,1.630000,965731.000000,1262533.000000,960109.000000,718282.000000,241827.000000,74.810000,25.190000,89.440000,-,176.120000,73.110000,42.700000,162.290000,55.070000,148.880000,159.220000,80.890000,807953.000000,256029.000000,12.080000,0.870000,24.670000,18.090000
1998, 嘉義市,3.500000,1.460000,802102.000000,1092044.000000,873466.000000,615946.000000,257520.000000,70.520000,29.480000,80.610000,-,137.990000,60.080000,35.580000,130.030000,57.300000,114.410000,161.130000,79.280000,739447.000000,249562.000000,11.850000,0.930000,26.530000,18.560000
1998, 金門縣,3.750000,1.330000,582995.000000,970313.000000,816296.000000,453724.000000,362573.000000,55.580000,44.420000,38.510000,-,90.200000,50.720000,31.180000,141.450000,45.640000,122.300000,100.690000,85.730000,701573.000000,217679.000000,13.760000,0.720000,23.630000,17.800000
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999, 臺灣地區,3.630000,1.600000,855805.000000,1135817.000000,889053.000000,655282.000000,233770.000000,73.710000,26.290000,67.960000,89.290000,149.020000,61.840000,42.430000,141.340000,51.680000,116.130000,125.180000,84.910000,776134.000000,244918.000000,10.910000,0.860000,24.910000,17.440000
1999, 新北市,3.720000,1.640000,912580.000000,1169204.000000,892692.000000,702709.000000,189983.000000,78.720000,21.280000,71.330000,104.450000,163.670000,50.480000,49.160000,143.190000,52.600000,123.670000,118.540000,83.280000,795295.000000,239971.000000,8.560000,0.830000,25.160000,16.060000
1999, 臺北市,3.590000,1.530000,1196159.000000,1560633.000000,1208578.000000,931758.000000,276820.000000,77.100000,22.900000,78.880000,120.490000,205.230000,57.480000,68.600000,151.180000,69.600000,143.440000,81.020000,76.840000,1066591.000000,336651.000000,8.550000,0.920000,23.720000,17.230000
1999, 桃園市,3.770000,1.640000,899920.000000,1198322.000000,944302.000000,669567.000000,274735.000000,70.910000,29.090000,71.740000,100.220000,146.610000,77.390000,47.570000,143.670000,48.900000,113.710000,114.750000,88.710000,835682.000000,250478.000000,12.030000,0.830000,24.060000,16.170000
1999, 臺中市,3.690000,1.640000,872258.000000,1178232.000000,925933.000000,661184.000000,264749.000000,71.410000,28.590000,72.040000,89.090000,143.650000,82.960000,44.770000,150.110000,58.440000,110.860000,133.530000,80.410000,813818.000000,250930.000000,12.360000,0.930000,22.320000,14.280000
1999, 臺南市,3.400000,1.560000,700041.000000,925891.000000,736363.000000,539802.000000,196561.000000,73.310000,26.690000,58.230000,67.060000,133.770000,58.490000,32.080000,131.810000,50.180000,105.040000,139.400000,85.910000,653751.000000,216577.000000,12.610000,0.790000,25.150000,18.100000
1999, 高雄市,3.590000,1.540000,820342.000000,1089138.000000,846303.000000,614883.000000,231420.000000,72.660000,27.340000,82.800000,89.120000,159.970000,59.140000,40.390000,139.880000,47.500000,110.850000,153.780000,86.050000,741014.000000,235739.000000,11.240000,0.810000,26.890000,19.580000
1999, 宜蘭縣,3.550000,1.570000,809829.000000,1065318.000000,826697.000000,614020.000000,212677.000000,74.270000,25.730000,50.900000,77.320000,133.770000,60.780000,31.900000,154.540000,46.980000,112.850000,131.860000,90.410000,673874.000000,232872.000000,12.700000,0.800000,21.090000,15.400000
1999, 新竹縣,4.140000,1.810000,830741.000000,1189640.000000,968579.000000,631867.000000,336712.000000,65.240000,34.760000,66.180000,97.050000,136.650000,93.170000,45.270000,159.760000,39.480000,118.020000,127.730000,93.480000,878298.000000,233956.000000,12.160000,0.690000,19.490000,14.040000
1999, 苗栗縣,3.810000,1.630000,751914.000000,978959.000000,779814.000000,585753.000000,194061.000000,75.110000,24.890000,59.230000,76.000000,115.650000,72.970000,29.240000,136.250000,47.260000,103.620000,120.870000,93.760000,738887.000000,204676.000000,12.830000,0.930000,23.380000,17.540000
1999, 彰化縣,3.910000,1.740000,648295.000000,914110.000000,755213.000000,512199.000000,243015.000000,67.820000,32.180000,54.160000,64.430000,119.160000,62.630000,28.210000,129.670000,48.150000,105.310000,148.070000,91.890000,717264.000000,193149.000000,12.360000,0.880000,31.500000,23.950000
1999, 南投縣,3.770000,1.770000,677279.000000,1035096.000000,858800.000000,531000.000000,327800.000000,61.830000,38.170000,63.650000,71.340000,68.200000,71.180000,25.700000,127.370000,48.100000,109.480000,131.580000,83.130000,720238.000000,227798.000000,11.880000,0.850000,25.750000,19.840000
1999, 雲林縣,3.490000,1.860000,644542.000000,917622.000000,742533.000000,497392.000000,245141.000000,66.990000,33.010000,44.730000,56.050000,113.880000,55.880000,20.640000,126.530000,46.890000,107.280000,135.320000,94.490000,681635.000000,212760.000000,11.960000,0.830000,26.790000,20.300000
1999, 嘉義縣,3.520000,1.660000,623312.000000,791594.000000,628540.000000,484947.000000,143593.000000,77.150000,22.850000,38.910000,50.890000,83.510000,56.330000,16.250000,118.600000,25.780000,106.300000,126.400000,91.750000,553576.000000,178563.000000,11.420000,0.520000,30.230000,23.230000
1999, 屏東縣,3.340000,1.570000,659559.000000,918556.000000,718919.000000,499116.000000,219803.000000,69.430000,30.570000,42.060000,60.220000,121.870000,54.540000,21.140000,126.590000,45.700000,101.440000,149.640000,90.080000,637265.000000,215245.000000,13.160000,1.190000,24.660000,16.580000
1999, 臺東縣,3.400000,1.500000,594972.000000,768179.000000,574406.000000,444314.000000,130092.000000,77.350000,22.650000,44.640000,53.060000,73.730000,47.400000,17.610000,120.670000,38.960000,91.920000,122.420000,81.780000,476684.000000,168943.000000,10.820000,0.850000,25.680000,19.460000
1999, 花蓮縣,3.400000,1.310000,719250.000000,902812.000000,711084.000000,546797.000000,164287.000000,76.900000,23.100000,42.080000,70.150000,100.770000,53.610000,23.310000,138.740000,35.640000,110.320000,113.040000,84.940000,574256.000000,209142.000000,11.160000,0.760000,23.880000,17.160000
1999, 澎湖縣,3.160000,0.900000,543714.000000,756137.000000,588607.000000,408405.000000,180202.000000,69.390000,30.610000,45.930000,35.780000,70.060000,30.600000,16.450000,125.830000,40.120000,101.740000,99.940000,85.150000,491671.000000,186268.000000,9.700000,0.980000,25.770000,19.700000
1999, 基隆市,3.580000,1.480000,828330.000000,1102552.000000,868974.000000,639150.000000,229824.000000,73.550000,26.450000,79.140000,103.830000,149.880000,45.110000,39.250000,160.800000,40.320000,107.440000,79.520000,88.960000,755392.000000,242730.000000,8.840000,0.690000,27.070000,18.310000
1999, 新竹市,3.870000,1.620000,996206.000000,1317979.000000,1011061.000000,738726.000000,272335.000000,73.060000,26.940000,86.830000,107.870000,189.840000,72.430000,58.460000,162.970000,44.050000,122.030000,149.980000,82.750000,813525.000000,261256.000000,10.860000,0.940000,25.850000,18.690000
1999, 嘉義市,3.230000,1.330000,739432.000000,992232.000000,796358.000000,577328.000000,219030.000000,72.500000,27.500000,71.810000,62.910000,140.450000,55.090000,35.550000,125.400000,52.690000,108.890000,146.750000,78.870000,689646.000000,246550.000000,12.250000,0.890000,26.060000,18.500000
1999, 金門縣,3.700000,1.160000,486937.000000,776282.000000,665210.000000,403372.000000,261837.000000,60.640000,39.360000,40.600000,77.940000,100.580000,51.920000,30.840000,148.370000,35.850000,125.230000,93.400000,87.440000,594254.000000,179786.000000,14.620000,0.730000,22.910000,16.390000
1999, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 臺灣地區,3.620000,1.580000,862755.000000,1139336.000000,891445.000000,662722.000000,228723.000000,74.340000,25.660000,73.160000,142.440000,154.860000,64.100000,50.270000,143.910000,46.910000,119.730000,129.240000,85.350000,776390.000000,246256.000000,11.170000,0.820000,24.000000,16.530000
2000, 新北市,3.510000,1.590000,900943.000000,1153690.000000,882634.000000,688385.000000,194249.000000,77.990000,22.010000,77.150000,153.610000,168.490000,50.510000,57.390000,140.860000,49.350000,125.000000,116.730000,82.880000,773160.000000,251463.000000,9.190000,0.790000,24.350000,15.330000
2000, 臺北市,3.660000,1.550000,1265665.000000,1630330.000000,1237777.000000,972707.000000,265070.000000,78.580000,21.420000,92.490000,181.420000,213.710000,60.740000,71.190000,157.410000,66.400000,150.930000,83.290000,80.190000,1109877.000000,338190.000000,8.730000,0.940000,22.210000,15.770000
2000, 桃園市,3.880000,1.650000,934796.000000,1234864.000000,985426.000000,710859.000000,274567.000000,72.140000,27.860000,73.090000,156.250000,157.700000,82.780000,57.670000,149.670000,40.430000,115.950000,126.140000,87.930000,871866.000000,253976.000000,11.890000,0.730000,22.490000,14.630000
2000, 臺中市,3.730000,1.590000,819861.000000,1085192.000000,855399.000000,636780.000000,218618.000000,74.440000,25.560000,74.190000,146.590000,142.570000,78.170000,55.160000,151.010000,51.070000,113.600000,148.840000,82.420000,771310.000000,229329.000000,12.340000,0.890000,23.130000,14.770000
2000, 臺南市,3.570000,1.590000,733363.000000,968231.000000,763523.000000,563150.000000,200373.000000,73.760000,26.240000,63.900000,117.560000,147.010000,68.280000,44.400000,137.890000,47.180000,108.330000,146.430000,87.620000,658140.000000,213872.000000,12.230000,0.730000,24.380000,17.800000
2000, 高雄市,3.480000,1.490000,786848.000000,1073347.000000,835452.000000,590730.000000,244722.000000,70.710000,29.290000,85.900000,139.110000,160.680000,62.610000,43.970000,143.940000,40.740000,112.760000,157.060000,85.200000,726241.000000,240072.000000,12.040000,0.730000,26.060000,18.740000
2000, 宜蘭縣,3.630000,1.530000,732438.000000,1005648.000000,805088.000000,564530.000000,240558.000000,70.120000,29.880000,57.990000,131.060000,134.600000,60.250000,39.420000,143.400000,37.130000,116.740000,131.940000,87.170000,726576.000000,221787.000000,11.200000,0.720000,21.160000,15.250000
2000, 新竹縣,4.130000,1.850000,880060.000000,1253586.000000,1021919.000000,669806.000000,352113.000000,65.540000,34.460000,68.660000,168.750000,127.580000,98.180000,50.960000,149.390000,40.360000,125.830000,126.310000,94.010000,912217.000000,247438.000000,12.750000,0.680000,17.750000,12.430000
2000, 苗栗縣,3.920000,1.740000,710123.000000,965883.000000,788159.000000,562446.000000,225713.000000,71.360000,28.640000,72.460000,117.760000,117.000000,73.140000,34.590000,144.040000,42.970000,113.520000,132.700000,91.870000,700895.000000,201061.000000,12.120000,0.850000,21.920000,15.450000
2000, 彰化縣,4.040000,1.810000,687424.000000,922140.000000,757817.000000,548241.000000,209576.000000,72.340000,27.660000,53.780000,119.920000,123.230000,72.710000,42.760000,134.150000,38.830000,116.480000,153.270000,90.700000,686395.000000,187578.000000,12.370000,0.690000,30.240000,22.490000
2000, 南投縣,3.710000,1.630000,702682.000000,900459.000000,729438.000000,557775.000000,171663.000000,76.470000,23.530000,63.280000,125.970000,74.290000,66.440000,38.770000,134.000000,37.080000,112.070000,129.510000,88.620000,661374.000000,196614.000000,12.400000,0.760000,23.790000,18.190000
2000, 雲林縣,3.130000,1.570000,576592.000000,836703.000000,694363.000000,460321.000000,234042.000000,66.290000,33.710000,41.440000,83.300000,104.460000,48.630000,23.120000,124.090000,37.250000,102.150000,116.530000,94.710000,617167.000000,221841.000000,13.730000,0.820000,25.960000,19.810000
2000, 嘉義縣,3.530000,1.590000,673336.000000,883295.000000,725986.000000,541707.000000,184279.000000,74.620000,25.380000,46.980000,100.370000,92.880000,52.470000,25.300000,129.480000,22.560000,109.080000,120.130000,93.630000,619599.000000,205662.000000,12.090000,0.540000,28.250000,21.390000
2000, 屏東縣,3.450000,1.550000,671473.000000,951647.000000,767107.000000,524732.000000,242375.000000,68.400000,31.600000,49.680000,110.550000,149.240000,59.250000,32.490000,127.410000,52.900000,103.090000,164.110000,88.210000,674874.000000,222350.000000,12.720000,1.280000,24.300000,16.400000
2000, 臺東縣,3.160000,1.350000,580010.000000,818517.000000,641298.000000,440341.000000,200957.000000,68.660000,31.340000,50.510000,92.400000,92.250000,56.990000,25.840000,128.470000,37.550000,102.660000,118.950000,87.320000,521902.000000,202942.000000,12.380000,0.850000,23.140000,16.030000
2000, 花蓮縣,3.280000,1.280000,790242.000000,950705.000000,741877.000000,598494.000000,143383.000000,80.670000,19.330000,44.500000,126.560000,130.570000,62.980000,36.050000,144.120000,39.950000,112.130000,107.670000,83.670000,649976.000000,226182.000000,11.920000,0.900000,21.960000,14.770000
2000, 澎湖縣,3.050000,1.070000,562543.000000,871465.000000,697315.000000,428628.000000,268687.000000,61.470000,38.530000,59.050000,88.730000,102.870000,34.580000,21.130000,128.390000,34.110000,105.010000,104.990000,71.700000,551095.000000,228628.000000,10.740000,0.630000,24.140000,18.890000
2000, 基隆市,3.440000,1.520000,828877.000000,1094019.000000,863374.000000,640137.000000,223237.000000,74.140000,25.860000,78.350000,157.440000,143.150000,37.700000,44.350000,148.760000,28.600000,115.310000,89.170000,84.850000,772589.000000,250981.000000,9.270000,0.670000,26.270000,17.160000
2000, 新竹市,3.810000,1.740000,1096303.000000,1448624.000000,1099335.000000,799936.000000,299400.000000,72.770000,27.230000,86.960000,178.510000,187.070000,75.490000,67.790000,170.160000,45.650000,124.260000,158.020000,83.370000,938122.000000,288539.000000,11.040000,0.840000,25.070000,17.460000
2000, 嘉義市,3.460000,1.400000,815902.000000,1046789.000000,808703.000000,619154.000000,189549.000000,76.560000,23.440000,86.190000,122.420000,151.810000,63.320000,42.330000,132.750000,54.080000,113.130000,151.580000,78.550000,711998.000000,233729.000000,12.400000,0.810000,26.490000,18.670000
2000, 金門縣,3.670000,1.200000,581992.000000,909621.000000,755729.000000,457608.000000,298121.000000,60.550000,39.450000,46.740000,93.280000,116.410000,55.530000,33.140000,137.840000,40.490000,120.650000,94.920000,90.410000,633559.000000,205921.000000,15.140000,0.730000,18.670000,13.900000
2000, 連江縣,3.790000,1.770000,892256.000000,1462431.000000,1243827.000000,706526.000000,537301.000000,56.800000,43.200000,44.060000,156.010000,138.750000,41.070000,42.400000,192.770000,40.880000,148.570000,64.960000,79.690000,1094090.000000,328187.000000,10.700000,0.660000,21.610000,15.160000
2001, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001, 臺灣地區,3.580000,1.560000,853357.000000,1108461.000000,868651.000000,657872.000000,210779.000000,75.730000,24.270000,72.360000,159.020000,159.530000,65.050000,57.680000,145.580000,41.440000,120.120000,127.910000,85.640000,737682.000000,242640.000000,11.450000,0.780000,24.050000,16.470000
2001, 新北市,3.660000,1.620000,895289.000000,1142103.000000,896186.000000,693068.000000,203119.000000,77.340000,22.660000,78.430000,168.400000,174.060000,51.680000,63.630000,144.880000,41.910000,125.180000,121.680000,83.940000,784285.000000,244860.000000,9.050000,0.750000,24.480000,15.520000
2001, 臺北市,3.590000,1.500000,1243472.000000,1596257.000000,1217932.000000,955897.000000,262034.000000,78.490000,21.510000,82.920000,199.010000,211.190000,58.870000,86.290000,154.070000,58.270000,150.150000,88.470000,78.370000,1077550.000000,339257.000000,8.620000,0.860000,22.630000,15.980000
2001, 桃園市,3.840000,1.670000,913451.000000,1165179.000000,923301.000000,693702.000000,229599.000000,75.130000,24.870000,78.650000,180.730000,160.170000,88.970000,65.630000,156.090000,35.800000,118.740000,120.400000,87.350000,807623.000000,240443.000000,12.550000,0.720000,23.930000,16.150000
2001, 臺中市,3.700000,1.600000,851056.000000,1108237.000000,866609.000000,661721.000000,204888.000000,76.360000,23.640000,69.140000,165.290000,147.560000,81.970000,61.580000,152.610000,42.200000,115.260000,139.310000,82.900000,730726.000000,234219.000000,12.640000,0.790000,23.100000,14.730000
2001, 臺南市,3.470000,1.550000,707538.000000,905392.000000,717591.000000,552940.000000,164651.000000,77.060000,22.940000,64.990000,138.830000,144.610000,63.150000,46.810000,132.700000,41.820000,109.640000,145.740000,85.460000,615097.000000,206799.000000,12.460000,0.730000,25.460000,17.790000
2001, 高雄市,3.430000,1.490000,765091.000000,1043009.000000,820781.000000,582764.000000,238017.000000,71.000000,29.000000,83.890000,152.490000,166.790000,61.430000,53.110000,142.730000,35.850000,113.760000,154.440000,84.870000,690189.000000,239295.000000,11.960000,0.740000,25.740000,18.320000
2001, 宜蘭縣,3.560000,1.350000,698750.000000,900896.000000,725890.000000,547440.000000,178449.000000,75.420000,24.580000,52.840000,131.300000,128.500000,57.680000,40.770000,148.560000,32.310000,116.620000,124.360000,91.770000,600820.000000,203902.000000,12.160000,0.610000,19.680000,14.140000
2001, 新竹縣,3.760000,1.700000,827549.000000,1144397.000000,922675.000000,643622.000000,279054.000000,69.760000,30.240000,75.520000,159.680000,145.000000,91.780000,54.420000,166.540000,41.870000,115.750000,118.910000,95.170000,811290.000000,245392.000000,14.470000,0.560000,17.820000,12.710000
2001, 苗栗縣,3.980000,1.750000,763179.000000,978213.000000,777341.000000,596454.000000,180887.000000,76.730000,23.270000,67.210000,148.780000,146.720000,84.670000,45.420000,150.170000,37.280000,119.580000,140.910000,93.500000,701846.000000,195312.000000,13.590000,0.800000,20.410000,14.280000
2001, 彰化縣,3.800000,1.660000,661166.000000,867859.000000,706694.000000,522152.000000,184542.000000,73.890000,26.110000,53.760000,119.520000,133.060000,67.840000,45.730000,133.580000,35.290000,109.840000,139.160000,92.240000,632254.000000,185972.000000,12.600000,0.720000,27.830000,20.210000
2001, 南投縣,3.550000,1.610000,640433.000000,867103.000000,694028.000000,498200.000000,195829.000000,71.780000,28.220000,68.030000,144.920000,75.670000,74.970000,40.620000,138.970000,38.960000,113.110000,128.360000,84.260000,576704.000000,195501.000000,13.540000,0.700000,25.790000,19.500000
2001, 雲林縣,3.260000,1.570000,648161.000000,896122.000000,732284.000000,506641.000000,225642.000000,69.190000,30.810000,52.460000,113.520000,126.250000,60.120000,29.890000,131.490000,42.710000,109.750000,114.500000,93.470000,592004.000000,224627.000000,13.920000,0.900000,25.340000,18.490000
2001, 嘉義縣,3.490000,1.620000,625882.000000,801051.000000,660383.000000,502445.000000,157937.000000,76.080000,23.920000,45.490000,118.280000,105.310000,57.860000,31.670000,131.370000,23.910000,106.220000,130.120000,91.770000,521342.000000,189221.000000,11.770000,0.530000,27.690000,20.380000
2001, 屏東縣,3.370000,1.530000,658642.000000,879138.000000,679721.000000,500335.000000,179385.000000,73.610000,26.390000,50.660000,132.630000,140.840000,54.210000,32.330000,133.620000,42.530000,102.410000,153.970000,91.540000,603842.000000,201698.000000,13.730000,1.130000,24.760000,16.520000
2001, 臺東縣,3.110000,1.440000,563319.000000,795255.000000,627005.000000,429335.000000,197670.000000,68.470000,31.530000,55.120000,113.980000,101.010000,48.510000,31.460000,123.760000,23.930000,102.770000,120.770000,92.950000,444750.000000,201609.000000,11.590000,0.720000,23.170000,17.250000
2001, 花蓮縣,3.280000,1.300000,766813.000000,955175.000000,744651.000000,577981.000000,166670.000000,77.620000,22.380000,50.100000,131.730000,117.640000,70.990000,44.330000,146.390000,37.910000,114.880000,106.510000,86.430000,608585.000000,227028.000000,12.430000,0.720000,21.700000,15.450000
2001, 澎湖縣,2.940000,0.940000,527270.000000,780142.000000,595548.000000,390512.000000,205036.000000,65.570000,34.430000,60.900000,90.690000,105.560000,29.070000,20.830000,134.650000,26.260000,106.510000,110.460000,94.190000,425219.000000,202567.000000,12.450000,0.640000,23.240000,17.230000
2001, 基隆市,3.500000,1.470000,830424.000000,1003245.000000,775698.000000,641952.000000,133746.000000,82.760000,17.240000,81.930000,174.150000,148.460000,41.010000,52.340000,153.890000,34.090000,112.280000,92.530000,86.330000,687696.000000,221628.000000,9.350000,0.740000,25.970000,16.810000
2001, 新竹市,3.620000,1.610000,1168438.000000,1485881.000000,1101828.000000,850319.000000,251508.000000,77.170000,22.830000,87.310000,183.830000,220.250000,84.080000,83.170000,172.200000,46.550000,127.990000,145.410000,87.650000,861828.000000,304372.000000,12.480000,1.130000,22.290000,15.600000
2001, 嘉義市,3.470000,1.480000,825002.000000,1022021.000000,785582.000000,634707.000000,150875.000000,80.790000,19.210000,83.630000,164.880000,173.170000,74.360000,57.360000,140.810000,45.770000,114.050000,158.300000,86.780000,701583.000000,226393.000000,14.170000,0.740000,25.990000,18.400000
2001, 金門縣,3.630000,1.160000,602112.000000,922000.000000,745565.000000,467036.000000,278529.000000,62.640000,37.360000,54.150000,122.220000,153.450000,57.170000,44.030000,153.560000,39.100000,123.930000,103.640000,95.040000,582607.000000,205390.000000,16.580000,0.690000,18.750000,13.080000
