"年度","縣市","漁戶數","遠洋漁戶數","近海漁戶數","沿岸漁戶數","海面養殖漁戶數","內陸漁撈漁戶數","內陸養殖漁戶數","漁業生產量","遠洋漁業生產量","近海漁業生產量","沿岸漁業生產量","海面養殖漁業生產量","內陸漁撈漁業生產量","內陸養殖漁業生產量","漁戶率","遠洋漁戶數占總漁戶數比率","近海漁戶數占總漁戶數比率","沿岸漁戶數占總漁戶數比率","海面養殖漁戶數占總漁戶數比率","內陸漁撈漁戶數占總漁戶數比率","內陸養殖漁戶數占總漁戶數比率","遠洋漁業生產量占總漁業生產量比率","近海漁業生產量占總漁業生產量比率","沿岸漁業生產量占總漁業生產量比率","海面養殖漁業生產量占總漁業生產量比率","內陸漁撈漁業生產量占總漁業生產量比率","內陸養殖漁業生產量占總漁業生產量比率"
2000, 基隆市,3837.000000,917.000000,2550.000000,370.000000,-,-,-,60076.000000,36593.000000,18694.000000,4789.000000,-,-,-,2.963003,23.898879,66.458170,9.642950,-,-,-,60.911179,31.117251,7.971569,-,-,-
2000, 新竹市,2237.000000,-,857.000000,522.000000,741.000000,-,117.000000,24674.000000,-,19787.000000,4768.000000,95.000000,-,25.000000,1.993992,-,38.310237,23.334823,33.124721,-,5.230219,-,80.193726,19.323985,0.385021,-,0.101321
2000, 嘉義市,1.000000,-,-,-,-,-,1.000000,1.000000,-,-,-,-,-,1.000000,0.001254,-,-,-,-,-,100.000000,-,-,-,-,-,100.000000
2000, 金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001, 總計,133713.000000,7291.000000,29918.000000,56711.000000,5952.000000,615.000000,33226.000000,798250.000000,275130.000000,159862.000000,49559.000000,27053.000000,609.000000,286037.000000,1.965708,5.452723,22.374788,42.412480,4.451325,0.459940,24.848743,34.466646,20.026558,6.208456,3.389039,0.076292,35.833010
2001, 臺灣地區,130628.000000,7291.000000,29281.000000,54776.000000,5439.000000,615.000000,33226.000000,796414.000000,275130.000000,158968.000000,48923.000000,26764.000000,609.000000,286020.000000,1.926051,5.581499,22.415562,41.932817,4.163732,0.470803,25.435588,34.546103,19.960473,6.142911,3.360564,0.076468,35.913482
2001, 新北市,9529.000000,-,3049.000000,6380.000000,70.000000,1.000000,29.000000,27617.000000,-,18253.000000,9077.000000,-,-,288.000000,0.818349,-,31.997062,66.953510,0.734600,0.010494,0.304334,-,66.093348,32.867437,-,-,1.042836
2001, 臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001, 桃園市,2303.000000,-,261.000000,1903.000000,-,78.000000,61.000000,9004.000000,-,95.000000,444.000000,-,94.000000,8371.000000,0.441865,-,11.333044,82.631350,-,3.386887,2.648719,-,1.055087,4.931142,-,1.043980,92.969791
