"年度","縣市","森林面積","造林面積","林木採伐面積","森林地占土地面積比率","平均每人森林面積","平均每萬人造林面積","植伐比"
2000, 臺中市,110573.000000,60.200000,-,49.922344,0.044947,0.246615,-
2000, 臺南市,41491.000000,80.820000,-,18.931312,0.022521,0.439942,-
2000, 高雄市,174050.000000,226.480000,-,59.074895,0.063865,0.834008,-
2000, 宜蘭縣,163854.000000,317.020000,-,76.437988,0.352233,6.816242,-
2000, 新竹縣,97527.000000,256.300000,40.430000,68.315833,0.221797,5.868480,633.935197
2000, 苗栗縣,122133.000000,219.760000,22.670000,67.094616,0.218210,3.926014,969.386855
2000, 彰化縣,5931.000000,-,-,5.520290,0.004526,-,-
2000, 南投縣,298324.000000,236.590000,36.260000,72.647841,0.550884,4.358796,652.482074
2000, 雲林縣,15860.000000,19.420000,-,12.286573,0.021335,0.260740,-
2000, 嘉義縣,83315.000000,69.580000,7.160000,43.811492,0.148167,1.237014,971.787709
2000, 屏東縣,146777.000000,594.760000,100.500000,52.881179,0.161722,6.548039,591.800995
2000, 臺東縣,280224.000000,226.720000,-,79.716663,1.142317,9.195458,-
2000, 花蓮縣,359716.000000,191.950000,319.440000,77.716444,1.017210,5.412256,60.089532
2000, 澎湖縣,211.000000,46.470000,-,1.663251,0.002358,5.206460,-
2000, 基隆市,9064.000000,14.800000,-,68.273576,0.023335,0.382614,-
2000, 新竹市,1782.000000,-,-,17.118156,0.004837,-,-
2000, 嘉義市,145.000000,-,-,2.415459,0.000545,-,-
2000, 金門縣,-,-,-,-,-,-,-
2000, 連江縣,-,-,-,-,-,-,-
2001, 總計,-,-,-,-,-,-,-
2001, 臺灣地區,2101717.000000,2895.860000,222.390000,58.371008,0.094080,1.299878,1302.153874
2001, 新北市,139533.000000,188.070000,-,67.979655,0.038649,0.524007,-
2001, 臺北市,8979.000000,8.100000,-,33.035357,0.003409,0.030680,-
2001, 桃園市,42228.000000,86.910000,-,34.586183,0.023953,0.497257,-
2001, 臺中市,110573.000000,67.460000,-,49.922344,0.044479,0.272782,-
2001, 臺南市,41491.000000,40.740000,-,18.931312,0.022449,0.220778,-
2001, 高雄市,174050.000000,264.100000,1.140000,59.074895,0.063722,0.967988,23166.666667
2001, 宜蘭縣,163854.000000,259.110000,-,76.437988,0.351770,5.566363,-
2001, 新竹縣,97527.000000,214.090000,11.350000,68.315833,0.218523,4.832660,1886.255507
2001, 苗栗縣,122133.000000,139.430000,50.270000,67.094616,0.217846,2.489059,277.362244
2001, 彰化縣,5931.000000,-,-,5.520290,0.004514,-,-
2001, 南投縣,298324.000000,436.560000,17.340000,72.647841,0.550598,8.059408,2517.647059
2001, 雲林縣,15860.000000,6.220000,-,12.286573,0.021330,0.083662,-
2001, 嘉義縣,83315.000000,39.520000,6.350000,43.811492,0.147888,0.702160,622.362205
2001, 屏東縣,146777.000000,559.930000,128.040000,52.881179,0.161406,6.163392,437.308654
2001, 臺東縣,280224.000000,213.240000,4.670000,79.716663,1.145586,8.705024,4566.167024
2001, 花蓮縣,359716.000000,299.800000,3.230000,77.716444,1.018624,8.483677,9281.733746
2001, 澎湖縣,211.000000,67.580000,-,1.663251,0.002287,7.436016,-
2001, 基隆市,9064.000000,5.000000,-,68.273576,0.023184,0.128305,-
2001, 新竹市,1782.000000,-,-,17.118156,0.004774,-,-
2001, 嘉義市,145.000000,-,-,2.415459,0.000541,-,-
2001, 金門縣,-,-,-,-,-,-,-
2001, 連江縣,-,-,-,-,-,-,-
2002, 總計,-,-,-,-,-,-,-
2002, 臺灣地區,2101717.000000,4063.670000,196.930000,58.371007,0.093605,1.814428,2063.509877
2002, 新北市,139533.000000,253.150000,-,67.979764,0.038318,0.698181,-
2002, 臺北市,8979.000000,3.480000,-,33.035320,0.003399,0.013193,-
2002, 桃園市,42228.000000,200.840000,-,34.586070,0.023557,1.129722,-
2002, 臺中市,110573.000000,72.930000,-,49.922416,0.044079,0.292043,-
2002, 臺南市,41491.000000,69.620000,4.060000,18.931334,0.022395,0.376232,1714.778325
2002, 高雄市,174050.000000,247.550000,-,59.074753,0.063455,0.904405,-
2002, 宜蘭縣,163854.000000,512.460000,-,76.437806,0.353052,11.021759,-
2002, 新竹縣,97527.000000,228.810000,6.920000,68.315685,0.215444,5.090441,3306.502890
2002, 苗栗縣,122133.000000,160.780000,42.830000,67.094435,0.217797,2.867472,375.391081
2002, 彰化縣,5931.000000,4.340000,-,5.520311,0.004506,0.033002,-
2002, 南投縣,298324.000000,494.310000,9.110000,72.647912,0.551133,9.127605,5426.015368
2002, 雲林縣,15860.000000,99.990000,-,12.286620,0.021352,1.345435,-
2002, 嘉義縣,83315.000000,38.660000,1.280000,43.811434,0.148143,0.686826,3020.312500
2002, 屏東縣,146777.000000,711.330000,82.970000,52.881173,0.161974,7.836007,857.333976
2002, 臺東縣,280224.000000,246.700000,34.040000,79.716604,1.148624,10.098715,724.735605
2002, 花蓮縣,359716.000000,522.800000,15.720000,77.716420,1.021474,14.825044,3325.699746
2002, 澎湖縣,211.000000,120.220000,-,1.663251,0.002282,13.016880,-
2002, 基隆市,9064.000000,75.700000,-,68.274142,0.023155,1.935032,-
2002, 新竹市,1782.000000,-,-,17.118748,0.004704,-,-
2002, 嘉義市,145.000000,-,-,2.415636,0.000541,-,-
2002, 金門縣,-,-,-,-,-,-,-
2002, 連江縣,-,-,-,-,-,-,-
2003, 總計,-,-,-,-,-,-,-
2003, 臺灣地區,2101718.850000,2011.520000,381.340000,58.371059,0.093266,0.894251,527.487282
2003, 新北市,139533.200000,20.440000,-,67.979862,0.037952,0.055862,-
2003, 臺北市,8979.000000,3.000000,-,33.035357,0.003418,0.011387,-
2003, 桃園市,42227.830000,12.640000,-,34.585930,0.023176,0.069937,-
2003, 臺中市,110573.040000,75.260000,-,49.922434,0.043709,0.298754,-
2003, 臺南市,41491.430000,14.070000,-,18.931530,0.022350,0.075867,-
2003, 高雄市,174049.650000,55.380000,-,59.074634,0.063364,0.201759,-
2003, 宜蘭縣,163853.900000,468.490000,-,76.437760,0.353678,10.103387,-
2003, 新竹縣,97527.320000,111.690000,34.000000,68.315909,0.212345,2.449433,328.500000
2003, 苗栗縣,122133.410000,-,76.680000,67.094660,0.217744,-,-
2003, 彰化縣,5930.810000,-,-,5.520134,0.004505,-,-
2003, 南投縣,298324.090000,190.070000,25.610000,72.647934,0.552046,3.514319,742.171027
2003, 雲林縣,15860.020000,-,-,12.286635,0.021418,-,-
2003, 嘉義縣,83315.110000,24.640000,6.750000,43.811492,0.148668,0.438901,365.037037
2003, 屏東縣,146777.390000,635.390000,43.210000,52.881314,0.162405,7.021078,1470.469799
2003, 臺東縣,280223.820000,59.390000,190.310000,79.716553,1.153935,2.439981,31.206978
2003, 花蓮縣,359716.430000,255.970000,3.510000,77.716513,1.024407,7.279113,7292.592593
2003, 澎湖縣,210.870000,85.090000,-,1.662226,0.002286,9.213910,-
2003, 基隆市,9064.190000,-,-,68.275573,0.023109,-,-
2003, 新竹市,1782.290000,-,1.270000,17.121534,0.004655,-,-
2003, 嘉義市,145.050000,-,-,2.416469,0.000538,-,-
2003, 金門縣,-,-,-,-,-,-,-
2003, 連江縣,-,-,-,-,-,-,-
2004, 總計,-,-,-,-,-,-,-
2004, 臺灣地區,2101718.850000,1085.730000,424.050000,58.371060,0.092933,0.480943,256.038203
2004, 新北市,139533.200000,139.250000,-,67.979862,0.037629,0.377135,-
2004, 臺北市,8979.000000,1.030000,-,33.035357,0.003424,0.003924,-
2004, 桃園市,42227.830000,16.710000,-,34.585930,0.022789,0.090936,-
2004, 臺中市,110573.040000,56.480000,-,49.922434,0.043390,0.222446,-
2004, 臺南市,41491.430000,39.960000,-,18.931568,0.022300,0.215009,-
2004, 高雄市,174049.650000,16.200000,-,59.074634,0.063254,0.058926,-
2004, 宜蘭縣,163853.900000,90.600000,-,76.437760,0.354443,1.957710,-
2004, 新竹縣,97527.320000,60.810000,4.900000,68.315909,0.208728,1.312635,1241.020408
2004, 苗栗縣,122133.410000,35.740000,114.770000,67.094660,0.217845,0.637335,31.140542
2004, 彰化縣,5930.810000,4.160000,-,5.520134,0.004504,0.031596,-
2004, 南投縣,298324.090000,89.190000,29.380000,72.647934,0.554080,1.653489,303.573860
2004, 雲林縣,15860.020000,15.160000,-,12.286635,0.021526,0.205243,-
2004, 嘉義縣,83315.110000,37.930000,10.990000,43.811492,0.149336,0.678343,345.131938
2004, 屏東縣,146777.390000,112.360000,37.110000,52.881314,0.163050,1.245696,302.775532
2004, 臺東縣,280223.820000,35.950000,222.750000,79.716553,1.165787,1.487950,16.139169
2004, 花蓮縣,359716.430000,216.070000,3.410000,77.716513,1.030266,6.170828,6336.363636
2004, 澎湖縣,210.870000,69.480000,-,1.662172,0.002297,7.549671,-
2004, 基隆市,9064.190000,48.170000,-,68.275573,0.023103,1.227920,-
2004, 新竹市,1782.290000,-,0.740000,17.121534,0.004606,-,-
2004, 嘉義市,145.050000,0.480000,-,2.416469,0.000537,0.017780,-
2004, 金門縣,-,-,-,-,-,-,-
2004, 連江縣,-,-,-,-,-,-,-
2005, 總計,-,-,-,-,-,-,-
2005, 臺灣地區,2101718.850000,149.020000,262.770000,58.371060,0.092628,0.065785,56.711192
2005, 新北市,139533.200000,-,-,67.979862,0.037342,-,-
2005, 臺北市,8979.000000,-,-,33.035357,0.003432,-,-
2005, 桃園市,42227.830000,-,-,34.585930,0.022458,-,-
2005, 臺中市,110573.040000,-,-,49.922434,0.043088,-,-
2005, 臺南市,41491.430000,2.270000,-,18.931568,0.022272,0.012193,-
2005, 高雄市,174049.650000,3.340000,-,59.074634,0.063211,0.012134,-
2005, 宜蘭縣,163853.900000,-,-,76.437760,0.354980,-,-
2005, 新竹縣,97527.320000,-,17.720000,68.315909,0.204170,-,-
2005, 苗栗縣,122133.410000,-,69.770000,67.094660,0.218117,-,-
2005, 彰化縣,5930.810000,16.030000,-,5.520134,0.004507,0.121781,-
2005, 南投縣,298324.090000,-,21.980000,72.647934,0.555365,-,-
2005, 雲林縣,15860.020000,3.760000,0.200000,12.286635,0.021627,0.051153,1880.000000
2005, 嘉義縣,83315.110000,-,-,43.811492,0.149551,-,-
2005, 屏東縣,146777.390000,48.220000,25.720000,52.881314,0.163395,0.536225,187.480560
2005, 臺東縣,280223.820000,18.600000,124.490000,79.716553,1.172764,0.776106,14.940959
2005, 花蓮縣,359716.430000,56.800000,2.890000,77.716513,1.035757,1.631136,1965.397924
2005, 澎湖縣,210.870000,-,-,1.662172,0.002280,-,-
2005, 基隆市,9064.190000,-,-,68.275573,0.023139,-,-
2005, 新竹市,1782.290000,-,-,17.121534,0.004562,-,-
2005, 嘉義市,145.050000,-,-,2.416469,0.000534,-,-
2005, 金門縣,-,-,-,-,-,-,-
2005, 連江縣,-,-,-,-,-,-,-
2006, 總計,-,-,-,-,-,-,-
2006, 臺灣地區,2101718.850000,138.550000,384.560000,58.371060,0.092220,0.060928,36.028188
2006, 新北市,139533.200000,-,-,67.979862,0.037040,-,-
2006, 臺北市,8979.000000,0.450000,-,33.035357,0.003411,0.001715,-
2006, 桃園市,42227.830000,-,-,34.585930,0.022095,-,-
2006, 臺中市,110573.040000,-,-,49.922434,0.042728,-,-
2006, 臺南市,41491.430000,-,-,18.931568,0.022227,-,-
2006, 高雄市,174049.650000,-,-,59.074634,0.063057,-,-
2006, 宜蘭縣,163853.900000,-,-,76.437760,0.355875,-,-
2006, 新竹縣,97527.320000,-,20.930000,68.315909,0.199977,-,-
2006, 苗栗縣,122133.410000,-,133.940000,67.094660,0.218101,-,-
2006, 彰化縣,5930.810000,-,-,5.520134,0.004510,-,-
2006, 南投縣,298324.090000,-,16.590000,72.647934,0.557402,-,-
2006, 雲林縣,15860.020000,4.800000,-,12.286635,0.021771,0.065672,-
2006, 嘉義縣,83315.110000,-,-,43.811492,0.150431,-,-
2006, 屏東縣,146777.390000,14.000000,41.030000,52.881314,0.164264,0.156264,34.121375
2006, 臺東縣,280223.820000,5.840000,171.720000,79.716553,1.187605,0.245947,3.400885
2006, 花蓮縣,359716.430000,38.760000,0.350000,77.716513,1.041741,1.119259,11074.285714
2006, 澎湖縣,210.870000,74.700000,-,1.662172,0.002297,8.107492,-
2006, 基隆市,9064.190000,-,-,68.275573,0.023204,-,-
2006, 新竹市,1782.290000,-,-,17.121534,0.004515,-,-
2006, 嘉義市,145.050000,-,-,2.416469,0.000533,-,-
2006, 金門縣,-,-,-,-,-,-,-
2006, 連江縣,-,-,-,-,-,-,-
2007, 總計,-,-,-,-,-,-,-
2007, 臺灣地區,2101718.850000,197.950000,181.900000,58.371060,0.091911,0.086712,108.823529
2007, 新北市,139533.200000,-,-,67.979862,0.036738,-,-
2007, 臺北市,8979.000000,1.770000,-,33.035357,0.003415,0.006728,-
2007, 桃園市,42227.830000,-,-,34.585930,0.021824,-,-
2007, 臺中市,110573.040000,-,-,49.922434,0.042417,-,-
2007, 臺南市,41491.430000,5.840000,-,18.931568,0.022187,0.031257,-
2007, 高雄市,174049.650000,10.410000,-,59.074634,0.062950,0.037683,-
2007, 宜蘭縣,163853.900000,-,-,76.437760,0.355896,-,-
2007, 新竹縣,97527.320000,15.120000,26.930000,68.318598,0.196699,0.307469,56.145563
2007, 苗栗縣,122133.410000,-,73.230000,67.094660,0.218032,-,-
2007, 彰化縣,5930.810000,10.890000,-,5.520134,0.004512,0.082833,-
2007, 南投縣,298324.090000,-,15.160000,72.647934,0.558956,-,-
2007, 雲林縣,15860.020000,7.600000,-,12.286659,0.021856,0.104528,-
2007, 嘉義縣,83315.110000,-,0.500000,43.811435,0.151112,-,-
2007, 屏東縣,146777.390000,20.330000,17.620000,52.881314,0.164999,0.228029,115.380250
2007, 臺東縣,280223.820000,12.620000,48.140000,79.716553,1.199280,0.537459,26.215206
2007, 花蓮縣,359716.430000,10.900000,0.320000,77.716513,1.047813,0.316582,3406.250000
2007, 澎湖縣,210.870000,102.470000,-,1.662172,0.002282,11.127460,-
2007, 基隆市,9064.190000,-,-,68.275573,0.023218,-,-
2007, 新竹市,1782.290000,-,-,17.112295,0.004467,-,-
2007, 嘉義市,145.050000,-,-,2.416469,0.000531,-,-
2007, 金門縣,-,-,-,-,-,-,-
2007, 連江縣,-,-,-,-,-,-,-
2008, 總計,-,-,-,-,-,-,-
2008, 臺灣地區,2101718.850000,98.560000,103.250000,58.371060,0.091607,0.043030,95.457627
2008, 新北市,139533.200000,-,-,67.979862,0.036396,-,-
2008, 臺北市,8979.000000,0.250000,-,33.035357,0.003423,0.000952,-
2008, 桃園市,42227.830000,-,-,34.585930,0.021559,-,-
2008, 臺中市,110573.040000,-,-,49.922434,0.042138,-,-
2008, 臺南市,41491.430000,3.150000,-,18.931568,0.022152,0.016831,-
2008, 高雄市,174049.650000,-,-,59.074634,0.062855,-,-
2008, 宜蘭縣,163853.900000,-,-,76.437760,0.355507,-,-
2008, 新竹縣,97527.320000,-,32.470000,68.318598,0.193786,-,-
2008, 苗栗縣,122133.410000,-,2.150000,67.094660,0.217941,-,-
2008, 彰化縣,5930.810000,1.760000,-,5.520134,0.004517,0.013398,-
2008, 南投縣,298324.090000,-,1.100000,72.647934,0.561020,-,-
2008, 雲林縣,15860.020000,6.700000,0.280000,12.286659,0.021916,0.092455,2392.857143
2008, 嘉義縣,83315.110000,-,-,43.811435,0.151832,-,-
2008, 屏東縣,146777.390000,19.550000,11.760000,52.881314,0.165881,0.220356,166.241497
2008, 臺東縣,280223.820000,25.730000,51.820000,79.716553,1.208648,1.105457,49.652644
2008, 花蓮縣,359716.430000,0.920000,-,77.716513,1.053549,0.026872,-
2008, 澎湖縣,210.870000,40.500000,-,1.662172,0.002260,4.361921,-
2008, 基隆市,9064.190000,-,-,68.275573,0.023303,-,-
2008, 新竹市,1782.290000,-,3.670000,17.112295,0.004397,-,-
2008, 嘉義市,145.050000,-,-,2.416469,0.000530,-,-
2008, 金門縣,-,-,-,-,-,-,-
2008, 連江縣,-,-,-,-,-,-,-
2009, 總計,-,-,-,-,-,-,-
2009, 臺灣地區,2101718.850000,697.700000,78.960000,58.367880,0.091315,0.303620,883.611955
2009, 新北市,139533.200000,2.080000,1.850000,67.979862,0.036021,0.005397,112.432432
2009, 臺北市,8979.000000,1.720000,-,33.035357,0.003444,0.006577,-
2009, 桃園市,42227.830000,17.770000,-,34.585930,0.021340,0.090261,-
2009, 臺中市,110573.040000,2.470000,1.800000,49.922434,0.041951,0.009392,137.222222
2009, 臺南市,41491.430000,34.160000,0.410000,18.931568,0.022124,0.182264,8331.707317
2009, 高雄市,174049.650000,10.960000,2.300000,59.074634,0.062814,0.039567,476.521739
2009, 宜蘭縣,163853.900000,3.280000,-,76.437760,0.354950,0.071109,-
2009, 新竹縣,97527.320000,29.470000,39.460000,68.318598,0.190900,0.581173,74.683224
2009, 苗栗縣,122133.410000,87.400000,6.620000,67.094660,0.217418,1.557737,1320.241692
2009, 彰化縣,5930.810000,6.990000,-,5.520134,0.004519,0.053249,-
2009, 南投縣,298324.090000,45.970000,7.790000,72.647934,0.562002,0.865255,590.115533
2009, 雲林縣,15860.020000,9.170000,3.880000,12.286659,0.021943,0.126792,236.340206
2009, 嘉義縣,83315.110000,29.680000,1.460000,43.766287,0.152114,0.541385,2032.876712
2009, 屏東縣,146777.390000,250.950000,5.140000,52.881314,0.166294,2.839639,4882.295720
2009, 臺東縣,280223.820000,87.520000,3.360000,79.716553,1.205279,3.769603,2604.761905
2009, 花蓮縣,359716.430000,35.110000,3.370000,77.716513,1.054998,1.029020,1041.839763
2009, 澎湖縣,210.870000,43.000000,-,1.662172,0.002192,4.537828,-
2009, 基隆市,9064.190000,-,-,68.275573,0.023342,-,-
2009, 新竹市,1782.290000,-,1.520000,17.112295,0.004330,-,-
2009, 嘉義市,145.050000,-,-,2.416469,0.000530,-,-
2009, 金門縣,-,-,-,-,-,-,-
2009, 連江縣,-,-,-,-,-,-,-
2010, 總計,-,910.189100,80.880000,-,-,0.393324,1125.357443
2010, 臺灣地區,2101718.850000,878.279100,80.880000,58.367880,0.091162,0.381273,1085.903932
2010, 新北市,139533.200000,0.710000,1.800000,67.979862,0.035802,0.001827,39.444444
2010, 臺北市,8979.000000,1.410000,-,33.035357,0.003429,0.005396,-
2010, 桃園市,42227.830000,16.350000,-,34.585930,0.021092,0.082143,-
2010, 臺中市,110573.040000,6.380000,-,49.922434,0.041751,0.024148,-
2010, 臺南市,41491.430000,51.319500,-,18.931568,0.022143,0.273762,-
2010, 高雄市,174049.650000,25.680000,-,59.074634,0.062755,0.092635,-
2010, 宜蘭縣,163853.900000,8.520000,-,76.437760,0.355828,0.184793,-
2010, 新竹縣,97527.320000,56.570000,53.310000,68.318598,0.190106,1.104994,106.115175
2010, 苗栗縣,122133.410000,66.620000,2.830000,67.094660,0.217719,1.186769,2354.063604
2010, 彰化縣,5930.810000,18.319600,-,5.520134,0.004537,0.139857,-
2010, 南投縣,298324.090000,56.480000,12.570000,72.647934,0.566627,1.068367,449.323787
2010, 雲林縣,15860.020000,19.060000,-,12.286659,0.022100,0.264640,-
2010, 嘉義縣,83315.110000,49.020000,-,43.766287,0.153365,0.898655,-
2010, 屏東縣,146777.390000,317.950000,5.590000,52.881314,0.168032,3.620991,5687.835420
2010, 臺東縣,280223.820000,102.400000,-,79.716553,1.214810,4.421703,-
2010, 花蓮縣,359716.430000,67.100000,3.500000,77.716513,1.061721,1.974200,1917.142857
2010, 澎湖縣,210.870000,15.800000,-,1.662172,0.002176,1.636221,-
2010, 基隆市,9064.190000,-,-,68.275573,0.023596,-,-
2010, 新竹市,1782.290000,-,1.280000,17.112295,0.004291,-,-
2010, 嘉義市,145.050000,-,-,2.416469,0.000533,-,-
2010, 金門縣,-,30.500000,-,-,-,3.190927,-
2010, 連江縣,-,-,-,-,-,-,-
2011, 總計,-,1355.330000,95.530000,-,-,0.584357,1418.748037
2011, 臺灣地區,2101718.850000,1352.130000,95.530000,58.365693,0.090940,0.585772,1415.398304
2011, 新北市,139533.200000,1.700000,-,67.979862,0.035627,0.004351,-
2011, 臺北市,8979.000000,13.680000,-,33.035357,0.003387,0.051919,-
2011, 桃園市,42227.830000,14.130000,-,34.585930,0.020974,0.070380,-
2011, 臺中市,110573.040000,17.000000,0.830000,49.922434,0.041500,0.063996,2048.192771
2011, 臺南市,41491.430000,14.130000,-,18.931568,0.022106,0.075345,-
2011, 高雄市,174049.650000,22.130000,-,59.047602,0.062733,0.079777,-
2011, 宜蘭縣,163853.900000,10.010000,-,76.437760,0.356933,0.217716,-
2011, 新竹縣,97527.320000,117.550000,64.370000,68.318598,0.188407,2.281071,182.616126
2011, 苗栗縣,122133.410000,64.090000,11.800000,67.094660,0.217315,1.141429,543.135593
2011, 彰化縣,5930.810000,16.400000,-,5.520134,0.004552,0.125655,-
2011, 南投縣,298324.090000,49.660000,4.180000,72.647934,0.570620,0.946538,1188.038278
2011, 雲林縣,15860.020000,487.040000,-,12.286659,0.022227,6.805994,-
2011, 嘉義縣,83315.110000,54.280000,1.210000,43.766287,0.154877,1.004079,4485.950413
2011, 屏東縣,146777.390000,320.870000,5.410000,52.881314,0.169777,3.692324,5931.053604
2011, 臺東縣,280223.820000,85.300000,3.200000,79.716553,1.227491,3.717075,2665.625000
2011, 花蓮縣,359716.430000,62.160000,-,77.716513,1.067921,1.840025,-
2011, 澎湖縣,210.870000,2.000000,-,1.662172,0.002170,0.206106,-
2011, 基隆市,9064.190000,-,-,68.275573,0.023858,-,-
2011, 新竹市,1782.290000,-,4.530000,17.112295,0.004243,-,-
2011, 嘉義市,145.050000,-,-,2.416469,0.000534,-,-
2011, 金門縣,-,3.200000,-,-,-,0.318017,-
2011, 連江縣,-,-,-,-,-,-,-
2012, 總計,-,1514.380000,102.220000,-,-,0.650776,1481.490902
2012, 臺灣地區,2101718.850000,1465.910000,102.220000,58.365693,0.090625,0.633191,1434.073567
2012, 新北市,139533.200000,0.000000,-,67.979862,0.035421,0.000000,-
2012, 臺北市,8979.000000,1.660000,-,33.035357,0.003359,0.006236,-
2012, 桃園市,42227.830000,2.540000,-,34.585930,0.020800,0.012563,-
2012, 臺中市,110573.040000,41.520000,-,49.922434,0.041183,0.155236,-
2012, 臺南市,41491.430000,61.490000,-,18.931568,0.022051,0.327196,-
2012, 高雄市,174049.650000,33.140000,-,59.047602,0.062638,0.119356,-
2012, 宜蘭縣,163853.900000,7.630000,-,76.437760,0.357295,0.166293,-
2012, 新竹縣,97527.320000,147.800000,60.310000,68.318598,0.186123,2.837849,245.067153
2012, 苗栗縣,122133.410000,21.950000,29.320000,67.094660,0.216558,0.389881,74.863574
2012, 彰化縣,5930.810000,10.880000,-,5.520134,0.004563,0.083599,-
2012, 南投縣,298324.090000,27.520000,0.290000,72.647934,0.573484,0.527707,9489.655172
2012, 雲林縣,15860.020000,571.580000,-,12.286659,0.022307,8.024726,-
2012, 嘉義縣,83315.110000,47.290000,12.300000,43.766287,0.156102,0.882552,384.471545
2012, 屏東縣,146777.390000,330.430000,-,52.881314,0.170981,3.835586,-
2012, 臺東縣,280223.820000,109.290000,-,79.716553,1.238547,4.808797,-
2012, 花蓮縣,359716.430000,49.190000,-,77.716513,1.073172,1.463927,-
2012, 澎湖縣,210.870000,2.000000,-,1.662172,0.002133,0.204082,-
2012, 基隆市,9064.190000,-,-,68.275573,0.024033,-,-
2012, 新竹市,1782.290000,-,-,17.112295,0.004193,-,-
2012, 嘉義市,145.050000,-,-,2.416469,0.000535,-,-
