"年度","縣市","土地面積","山坡面積","平原面積","高山面積","山坡地區占土地面積比率","平原地區占土地面積比率","高山地區占土地面積比率"
2001, 新北市,2052.566700,111820.000000,23118.000000,70319.000000,54.478132,11.262971,34.259057
2001, 臺北市,271.799700,14915.540000,12264.430000,-,54.876955,45.123045,-
2001, 桃園市,1220.954000,32055.000000,65696.000000,24344.000000,26.254060,53.807105,19.938507
2001, 臺中市,2214.896800,56614.000000,61843.000000,103033.000000,25.560522,27.921351,46.518127
2001, 臺南市,2191.653100,50609.000000,137071.000000,31486.000000,23.091629,62.542091,14.366279
2001, 高雄市,2946.267100,62682.000000,76330.000000,155614.000000,21.275108,25.907422,52.817470
2001, 宜蘭縣,2143.625100,33325.000000,39161.000000,141876.000000,15.546095,18.268586,66.185081
2001, 新竹縣,1427.593100,65535.000000,19080.000000,58144.000000,45.905938,13.365153,40.728692
2001, 苗栗縣,1820.314900,86886.000000,22696.000000,72449.000000,47.731302,12.468172,39.800257
2001, 彰化縣,1074.396000,10020.000000,94240.000000,3180.000000,9.326170,87.714400,2.959803
2001, 南投縣,4106.436000,127816.000000,20464.000000,262364.000000,31.125774,4.983397,63.890926
2001, 雲林縣,1290.835100,8150.000000,115344.000000,5590.000000,6.313742,89.356108,4.330530
2001, 嘉義縣,1901.672500,42940.000000,80631.000000,66596.000000,22.580124,42.400045,35.019700
2001, 屏東縣,2775.600300,90332.000000,95655.000000,91573.000000,32.545032,34.462815,32.992142
2001, 臺東縣,3515.252600,97567.000000,22208.000000,231750.000000,27.755331,6.317611,65.926983
2001, 花蓮縣,4628.571400,76814.000000,50337.000000,335706.000000,16.595617,10.875278,72.529075
2001, 澎湖縣,126.864100,-,12686.000000,-,-,99.996768,-
2001, 基隆市,132.758900,10400.000000,768.000000,2108.000000,78.337498,5.784923,15.878408
2001, 新竹市,104.096400,4602.000000,5709.000000,99.000000,44.209022,54.843395,0.951042
2001, 嘉義市,60.025600,570.000000,5144.000000,289.000000,9.495948,85.690000,4.814612
2001, 金門縣,153.056000,-,-,-,-,-,-
2001, 連江縣,28.800000,-,-,-,-,-,-
2002, 總計,36188.035400,-,-,-,-,-,-
2002, 臺灣地區,36006.179400,980451.000000,963740.000000,1656427.000000,27.230076,26.765961,46.003964
2002, 新北市,2052.566700,111796.000000,23141.670000,70319.000000,54.466440,11.274503,34.259057
2002, 臺北市,271.799700,12567.000000,14613.000000,-,46.236254,53.763746,-
2002, 桃園市,1220.954000,31817.000000,65934.400000,24344.000000,26.059131,54.002362,19.938507
2002, 臺中市,2214.896800,56587.000000,61869.680000,103033.000000,25.548369,27.933437,46.518194
2002, 臺南市,2191.653100,50609.000000,137070.750000,31486.000000,23.091656,62.542049,14.366296
2002, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2002, 宜蘭縣,2143.625100,33307.000000,39179.510000,141876.000000,15.537698,18.277221,66.185081
2002, 新竹縣,1427.593100,65433.000000,19182.310000,58144.000000,45.834489,13.436819,40.728692
2002, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2002, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2002, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2002, 雲林縣,1290.835100,8150.000000,115343.510000,5590.000000,6.313742,89.355728,4.330530
2002, 嘉義縣,1901.672500,42940.000000,80631.250000,66596.000000,22.580124,42.400177,35.019700
2002, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.540708,34.467149,32.992142
2002, 臺東縣,3515.252600,97567.000000,22208.260000,231750.000000,27.755331,6.317685,65.926983
2002, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2002, 澎湖縣,126.864100,-,12686.000000,-,-,99.996768,-
2002, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2002, 新竹市,104.096400,4077.000000,6233.640000,99.000000,39.165620,59.883339,0.951042
2002, 嘉義市,60.025600,570.000000,5143.560000,289.000000,9.495948,85.690000,4.814612
2002, 金門縣,153.056000,-,-,-,-,-,-
2002, 連江縣,28.800000,-,-,-,-,-,-
2003, 總計,36188.035400,-,-,-,-,-,-
2003, 臺灣地區,36006.179400,983226.000000,960964.970000,1656427.000000,27.307146,26.688890,46.003964
2003, 新北市,2052.566700,111796.000000,23141.670000,70319.000000,54.466440,11.274503,34.259057
2003, 臺北市,271.799700,15493.000000,11686.970000,-,57.001535,42.998465,-
2003, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,25.968218,54.093275,19.938507
2003, 臺中市,2214.896800,56587.000000,61869.680000,103033.000000,25.548369,27.933437,46.518194
2003, 臺南市,2191.653100,50609.000000,137070.750000,31486.000000,23.091656,62.542049,14.366296
2003, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2003, 宜蘭縣,2143.625100,33294.000000,39192.510000,141876.000000,15.531634,18.283286,66.185081
2003, 新竹縣,1427.593100,65433.000000,19182.310000,58144.000000,45.834489,13.436819,40.728692
2003, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2003, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2003, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2003, 雲林縣,1290.835100,8150.000000,115343.510000,5590.000000,6.313742,89.355728,4.330530
2003, 嘉義縣,1901.672500,42940.000000,80631.250000,66596.000000,22.580124,42.400177,35.019700
2003, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.540708,34.467149,32.992142
2003, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2003, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2003, 澎湖縣,126.864100,-,12686.000000,-,-,99.996768,-
2003, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2003, 新竹市,104.096400,4077.000000,6233.640000,99.000000,39.165620,59.883339,0.951042
2003, 嘉義市,60.025600,570.000000,5143.560000,289.000000,9.495948,85.689439,4.814612
2003, 金門縣,153.056000,-,-,-,-,-,-
2003, 連江縣,28.800000,-,-,-,-,-,-
2004, 總計,36188.035400,-,-,-,-,-,-
2004, 臺灣地區,36006.179400,982737.000000,961453.940000,1656427.000000,27.293565,26.702470,46.003965
2004, 新北市,2052.566700,111796.000000,23141.670000,70319.000000,54.466440,11.274503,34.259057
2004, 臺北市,271.799700,15004.000000,12175.970000,-,55.202416,44.797584,-
2004, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,25.968218,54.093275,19.938507
2004, 臺中市,2214.896800,56587.000000,61869.680000,103033.000000,25.548369,27.933437,46.518194
2004, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2004, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2004, 宜蘭縣,2143.625100,33294.000000,39192.510000,141876.000000,15.531634,18.283286,66.185081
2004, 新竹縣,1427.593100,65433.000000,19182.310000,58144.000000,45.834489,13.436819,40.728692
2004, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2004, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2004, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2004, 雲林縣,1290.835100,8150.000000,115343.510000,5590.000000,6.313742,89.355728,4.330530
2004, 嘉義縣,1901.672500,42940.000000,80631.250000,66596.000000,22.580124,42.400177,35.019700
2004, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.540708,34.467149,32.992142
2004, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2004, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2004, 澎湖縣,126.864100,-,12686.410000,-,-,100.000000,-
2004, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2004, 新竹市,104.096400,4077.000000,6233.640000,99.000000,39.165620,59.883339,0.951042
2004, 嘉義市,60.025600,570.000000,5143.560000,289.000000,9.495948,85.689439,4.814612
2004, 金門縣,153.056000,-,-,-,-,-,-
2004, 連江縣,28.800000,-,-,-,-,-,-
2005, 總計,36188.035400,-,-,-,-,-,-
2005, 臺灣地區,36006.179400,981795.000000,962395.940000,1656427.000000,27.267403,26.728633,46.003965
2005, 新北市,2052.566700,111030.000000,23907.670000,70319.000000,54.093248,11.647695,34.259057
2005, 臺北市,271.799700,15004.000000,12175.970000,-,55.202416,44.797584,-
2005, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,25.968218,54.093275,19.938507
2005, 臺中市,2214.896800,56587.000000,61869.680000,103033.000000,25.548369,27.933437,46.518194
2005, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2005, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2005, 宜蘭縣,2143.625100,33294.000000,39192.510000,141876.000000,15.531634,18.283286,66.185081
2005, 新竹縣,1427.593100,65433.000000,19182.310000,58144.000000,45.834489,13.436819,40.728692
2005, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2005, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2005, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2005, 雲林縣,1290.832600,8150.000000,115343.510000,5590.000000,6.313742,89.355728,4.330530
2005, 嘉義縣,1901.675000,42940.000000,80631.250000,66596.000000,22.580124,42.400177,35.019700
2005, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.540708,34.467149,32.992142
2005, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2005, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2005, 澎湖縣,126.864100,-,12686.410000,-,-,100.000000,-
2005, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2005, 新竹市,104.096400,4077.000000,6233.640000,99.000000,39.165620,59.883339,0.951042
2005, 嘉義市,60.025600,394.000000,5319.560000,289.000000,6.563866,88.621521,4.814612
2005, 金門縣,153.056000,-,-,-,-,-,-
2005, 連江縣,28.800000,-,-,-,-,-,-
2006, 總計,36188.035400,-,-,-,-,-,-
2006, 臺灣地區,36006.179400,981505.000000,962685.940000,1656427.000000,27.259349,26.736687,46.003965
2006, 新北市,2052.566700,111030.000000,23907.670000,70319.000000,54.093248,11.647695,34.259057
2006, 臺北市,271.799700,15004.000000,12175.970000,-,55.202416,44.797584,-
2006, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,25.968218,54.093275,19.938507
2006, 臺中市,2214.896800,56300.000000,62156.680000,103033.000000,25.418792,28.063014,46.518194
2006, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2006, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2006, 宜蘭縣,2143.625100,33291.000000,39195.510000,141876.000000,15.530234,18.284685,66.185081
2006, 新竹縣,1427.536900,65433.000000,19182.310000,58144.000000,45.834489,13.436819,40.728692
2006, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2006, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2006, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2006, 雲林縣,1290.832600,8150.000000,115343.510000,5590.000000,6.313742,89.355728,4.330530
2006, 嘉義縣,1901.675000,42940.000000,80631.250000,66596.000000,22.580124,42.400177,35.019700
2006, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.540708,34.467149,32.992142
2006, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2006, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2006, 澎湖縣,126.864100,-,12686.410000,-,-,100.000000,-
2006, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2006, 新竹市,104.152600,4077.000000,6233.640000,99.000000,39.165620,59.883339,0.951042
2006, 嘉義市,60.025600,394.000000,5319.560000,289.000000,6.563866,88.621521,4.814612
2006, 金門縣,153.056000,-,-,-,-,-,-
2006, 連江縣,28.800000,-,-,-,-,-,-
2007, 總計,36189.505000,-,-,-,-,-,-
2007, 臺灣地區,36006.179400,981505.000000,962685.940000,1656427.000000,27.259349,26.736687,46.003965
2007, 新北市,2052.566700,111030.000000,23907.670000,70319.000000,54.093248,11.647695,34.259057
2007, 臺北市,271.799700,15004.000000,12175.970000,-,55.202416,44.797584,-
2007, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,25.968218,54.093275,19.938507
2007, 臺中市,2214.896800,56300.000000,62156.680000,103033.000000,25.418792,28.063014,46.518194
2007, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2007, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2007, 宜蘭縣,2143.625100,33291.000000,39195.510000,141876.000000,15.530234,18.284685,66.185081
2007, 新竹縣,1427.536900,65433.000000,19176.690000,58144.000000,45.836293,13.433411,40.730296
2007, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2007, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2007, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2007, 雲林縣,1290.832600,8150.000000,115343.260000,5590.000000,6.313754,89.355707,4.330538
2007, 嘉義縣,1901.675000,42940.000000,80631.500000,66596.000000,22.580094,42.400252,35.019654
2007, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.540708,34.467149,32.992142
2007, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2007, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2007, 澎湖縣,126.864100,-,12686.410000,-,-,100.000000,-
2007, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2007, 新竹市,104.152600,4077.000000,6239.260000,99.000000,39.144486,59.904986,0.950528
2007, 嘉義市,60.025600,394.000000,5319.560000,289.000000,6.563866,88.621521,4.814612
2007, 金門縣,151.656000,-,-,-,-,-,-
2007, 連江縣,28.800000,-,-,-,-,-,-
2008, 總計,36189.505000,-,-,-,-,-,-
2008, 臺灣地區,36006.179400,981505.000000,962685.940000,1656427.000000,27.259349,26.736687,46.003965
2008, 新北市,2052.566700,111030.000000,23907.670000,70319.000000,55.242054,10.498889,34.259057
2008, 臺北市,271.799700,15004.000000,12175.970000,-,44.742507,55.257493,-
2008, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,27.723403,52.338090,19.938507
2008, 臺中市,2214.896800,56300.000000,62156.680000,103033.000000,25.418792,28.063014,46.518194
2008, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2008, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2008, 宜蘭縣,2143.625100,33291.000000,39195.510000,141876.000000,17.538515,16.276405,66.185081
2008, 新竹縣,1427.536900,65433.000000,19176.690000,58144.000000,46.270608,12.999097,40.730296
2008, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.658787,12.540957,39.800257
2008, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.312209,87.727989,2.959803
2008, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,30.106155,6.002918,63.890926
2008, 雲林縣,1290.832600,8150.000000,115343.260000,5590.000000,6.430733,89.238729,4.330538
2008, 嘉義縣,1901.675000,42940.000000,80631.500000,66596.000000,23.088067,41.892279,35.019654
2008, 屏東縣,2775.600300,90320.000000,95667.030000,91573.000000,32.051085,34.956773,32.992142
2008, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,29.053673,5.019343,65.926983
2008, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.069969,11.400956,72.529075
2008, 澎湖縣,126.864100,-,12686.410000,-,-,100.000000,-
2008, 基隆市,132.758900,10400.000000,767.890000,2108.000000,79.038016,5.083576,15.878408
2008, 新竹市,104.152600,4077.000000,6239.260000,99.000000,40.171825,58.877647,0.950528
2008, 嘉義市,60.025600,394.000000,5319.560000,289.000000,20.008130,75.177258,4.814612
2008, 金門縣,151.656000,-,-,-,-,-,-
2008, 連江縣,28.800000,-,-,-,-,-,-
2009, 總計,36191.466700,-,-,-,-,-,-
2009, 臺灣地區,36008.141100,981464.000000,962923.110000,1656427.000000,27.256725,26.741817,46.001458
2009, 新北市,2052.566700,111030.000000,23907.670000,70319.000000,54.093248,11.647695,34.259057
2009, 臺北市,271.799700,15004.000000,12175.970000,-,55.202416,44.797584,-
2009, 桃園市,1220.954000,31706.000000,66045.400000,24344.000000,25.968218,54.093275,19.938507
2009, 臺中市,2214.896800,56301.000000,62155.680000,103033.000000,25.419243,28.062563,46.518194
2009, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2009, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2009, 宜蘭縣,2143.625100,33291.000000,39195.510000,141876.000000,15.530234,18.284685,66.185081
2009, 新竹縣,1427.536900,65433.000000,19176.690000,58144.000000,45.836293,13.433411,40.730296
2009, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2009, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2009, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2009, 雲林縣,1290.832600,8150.000000,115343.260000,5590.000000,6.313754,89.355707,4.330538
2009, 嘉義縣,1903.636700,42940.000000,80827.670000,66596.000000,22.556825,42.459609,34.983566
2009, 屏東縣,2775.600300,90278.000000,95709.030000,91573.000000,32.525577,34.482281,32.992142
2009, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2009, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
2009, 澎湖縣,126.864100,-,12686.410000,-,-,100.000000,-
2009, 基隆市,132.758900,10400.000000,767.890000,2108.000000,78.337498,5.784094,15.878408
2009, 新竹市,104.152600,4077.000000,6239.260000,99.000000,39.144486,59.904986,0.950528
2009, 嘉義市,60.025600,394.000000,5319.560000,289.000000,6.563866,88.621521,4.814612
2009, 金門縣,151.656000,-,-,-,-,-,-
2009, 連江縣,28.800000,-,-,-,-,-,-
2010, 總計,36191.466700,981277.000000,981155.710000,1656427.000000,27.115641,27.112289,45.772070
2010, 臺灣地區,36008.141100,981277.000000,963110.110000,1656427.000000,27.251532,26.747010,46.001458
2010, 新北市,2052.566700,111030.000000,23907.670000,70319.000000,54.093248,11.647695,34.259057
2010, 臺北市,271.799700,15004.000000,12175.970000,-,55.202416,44.797584,-
2010, 桃園市,1220.954000,31519.000000,66232.400000,24344.000000,25.815059,54.246434,19.938507
2010, 臺中市,2214.896800,56301.000000,62155.680000,103033.000000,25.419243,28.062563,46.518194
2010, 臺南市,2191.653100,50609.000000,137070.310000,31486.000000,23.091702,62.541973,14.366325
2010, 高雄市,2946.267100,62775.000000,76330.710000,155521.000000,21.306622,25.907600,52.785778
2010, 宜蘭縣,2143.625100,33291.000000,39195.510000,141876.000000,15.530234,18.284685,66.185081
2010, 新竹縣,1427.536900,65433.000000,19176.690000,58144.000000,45.836293,13.433411,40.730296
2010, 苗栗縣,1820.314900,86886.000000,22696.490000,72449.000000,47.731302,12.468442,39.800257
2010, 彰化縣,1074.396000,10020.000000,94239.600000,3180.000000,9.326170,87.714027,2.959803
2010, 南投縣,4106.436000,127816.000000,20463.600000,262364.000000,31.125774,4.983299,63.890926
2010, 雲林縣,1290.832600,8150.000000,115343.260000,5590.000000,6.313754,89.355707,4.330538
2010, 嘉義縣,1903.636700,42940.000000,80827.670000,66596.000000,22.556825,42.459609,34.983566
2010, 屏東縣,2775.600300,90278.000000,95709.030000,91573.000000,32.525577,34.482281,32.992142
2010, 臺東縣,3515.252600,97540.000000,22235.260000,231750.000000,27.747650,6.325366,65.926983
2010, 花蓮縣,4628.571400,76814.000000,50337.140000,335706.000000,16.595617,10.875308,72.529075
