"年度","縣市","刑案發生數","刑案破獲數","嫌疑犯人數","兒童嫌疑犯人數","少年嫌疑犯人數","青年嫌疑犯人數","成年嫌疑犯人數","刑案發生率","刑案破獲率","犯罪人口率","兒童犯罪人口率","少年犯罪人口率","青年犯罪人口率","成年犯罪人口率","竊盜案發生數","竊盜案破獲數","竊盜案嫌疑犯人數","少年竊盜嫌疑犯人數","竊盜案發生率","竊盜案破獲率","竊盜犯罪人口率","少年竊盜犯罪人口率","暴力犯罪發生數","暴力犯罪破獲數","暴力犯罪嫌疑犯人數","少年暴力犯罪嫌疑犯人數","暴力犯罪發生率","暴力犯罪破獲率","暴力犯罪人口率","少年暴力犯罪人口率","家庭暴力事件通報件數","查獲經濟案件件數","經濟案件-每萬人查獲數","平均每人警政支出"
1998, 苗栗縣,8645.000000,5801.000000,5314.000000,19.000000,759.000000,863.000000,3673.000000,1543.470000,67.100000,948.760000,19.083874,1343.517396,1474.029412,1063.096961,5903.000000,3295.000000,1486.000000,425.000000,1053.920000,55.820000,265.309292,752.298937,206.000000,168.000000,252.000000,55.000000,36.780000,81.550000,44.991885,97.356333,-,176.000000,3.142290,2557.810176
1998, 彰化縣,22135.000000,14862.000000,8301.000000,17.000000,1172.000000,1611.000000,5501.000000,1703.210000,67.140000,638.730000,7.297656,822.208035,1072.919927,710.760246,16931.000000,10308.000000,1888.000000,675.000000,1302.780000,60.880000,145.274855,473.541317,488.000000,332.000000,417.000000,102.000000,37.550000,68.030000,32.086660,71.557355,-,551.000000,4.239748,2117.653550
1998, 南投縣,8362.000000,5747.000000,4669.000000,15.000000,619.000000,829.000000,3206.000000,1530.690000,68.730000,854.670000,15.847358,1150.365181,1460.368351,940.005043,5127.000000,2750.000000,998.000000,308.000000,938.510000,53.640000,182.686684,572.394953,323.000000,238.000000,317.000000,61.000000,59.130000,73.680000,58.027734,113.363935,-,100.000000,1.830528,2851.350831
1998, 雲林縣,8409.000000,4835.000000,4319.000000,22.000000,595.000000,682.000000,3020.000000,1120.520000,57.500000,575.520000,18.371301,832.960018,817.637961,634.641774,6012.000000,2603.000000,1133.000000,402.000000,801.120000,43.300000,150.975276,562.772987,209.000000,162.000000,216.000000,40.000000,27.850000,77.510000,28.782577,55.997312,-,178.000000,2.371898,2280.471982
1998, 嘉義縣,5628.000000,3840.000000,3886.000000,15.000000,464.000000,481.000000,2926.000000,993.090000,68.230000,685.710000,16.556657,928.037121,820.910169,796.137400,2936.000000,1426.000000,723.000000,262.000000,518.070000,48.570000,127.577579,524.020961,185.000000,122.000000,158.000000,30.000000,32.640000,65.950000,27.880024,60.002400,-,76.000000,1.341064,2654.976656
1998, 屏東縣,15283.000000,6893.000000,5088.000000,29.000000,824.000000,842.000000,3393.000000,1675.490000,45.100000,557.800000,19.048683,939.133012,840.768274,593.157449,11465.000000,3886.000000,1348.000000,558.000000,1256.920000,33.890000,147.782387,635.966287,399.000000,288.000000,311.000000,68.000000,43.740000,72.180000,34.095195,77.501268,-,178.000000,1.951429,2608.536040
1998, 臺東縣,3377.000000,2555.000000,2918.000000,66.000000,616.000000,470.000000,1766.000000,1342.910000,75.660000,1160.380000,161.359330,2593.138287,1705.246354,1108.948195,1849.000000,1145.000000,917.000000,413.000000,735.280000,61.930000,364.656549,1738.581351,241.000000,225.000000,273.000000,75.000000,95.840000,93.360000,108.561873,315.723006,-,661.000000,26.285494,5783.529962
1998, 花蓮縣,6073.000000,3204.000000,3453.000000,52.000000,725.000000,499.000000,2177.000000,1699.510000,52.760000,966.310000,87.064989,2094.104734,1287.575797,970.845644,3719.000000,1645.000000,1246.000000,535.000000,1040.750000,44.230000,348.688500,1545.304873,284.000000,202.000000,277.000000,69.000000,79.480000,71.130000,77.517427,199.301002,-,60.000000,1.679078,4176.333133
1998, 澎湖縣,735.000000,635.000000,868.000000,5.000000,124.000000,110.000000,629.000000,813.810000,86.390000,961.070000,36.767409,1465.288035,1101.652479,1079.466960,338.000000,233.000000,202.000000,82.000000,374.240000,68.930000,223.659152,968.980798,15.000000,19.000000,26.000000,10.000000,16.610000,126.670000,28.787812,118.168390,-,486.000000,53.811063,13617.461050
1998, 基隆市,8114.000000,5004.000000,4229.000000,24.000000,575.000000,626.000000,3004.000000,2131.090000,61.670000,1110.720000,37.168964,1601.872101,1588.348726,1247.163885,5531.000000,2594.000000,859.000000,314.000000,1452.680000,46.900000,225.610909,874.761460,293.000000,243.000000,350.000000,118.000000,76.950000,82.940000,91.925283,328.732014,-,503.000000,13.210976,3798.810671
1998, 新竹市,11701.000000,5354.000000,2818.000000,15.000000,475.000000,565.000000,1763.000000,3305.170000,45.760000,796.000000,22.572175,1322.107021,1582.322794,816.455066,9835.000000,3924.000000,690.000000,302.000000,2778.080000,39.900000,194.903417,840.581727,287.000000,237.000000,259.000000,72.000000,81.070000,82.580000,73.159399,200.403591,-,68.000000,1.920787,2487.895669
1998, 嘉義市,7211.000000,3640.000000,3198.000000,12.000000,488.000000,558.000000,2140.000000,2742.490000,50.480000,1216.270000,26.093764,1763.547332,1980.900990,1328.305634,5299.000000,1867.000000,583.000000,296.000000,2015.320000,35.230000,221.726960,1069.692644,264.000000,217.000000,277.000000,63.000000,100.400000,82.200000,105.348830,227.671070,-,283.000000,10.763075,3219.325366
1998, 金門縣,339.000000,194.000000,261.000000,8.000000,35.000000,67.000000,151.000000,663.790000,57.230000,511.060000,93.539901,581.588568,1096.114519,496.923026,230.000000,102.000000,59.000000,28.000000,450.360000,44.350000,115.527707,465.270854,6.000000,6.000000,9.000000,-,11.750000,100.000000,17.622871,-,-,35.000000,6.853339,353.777992
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.000000,54.398302,1644.454383
1999, 總計,386241.000000,253299.000000,179597.000000,649.000000,21224.000000,32464.000000,125260.000000,1754.800000,65.580000,815.960000,17.085971,995.206373,1361.934632,914.589625,272355.000000,148520.000000,40677.000000,13090.000000,1237.390000,54.530000,184.807343,613.798126,11362.000000,8922.000000,9681.000000,2190.000000,51.620000,78.520000,43.983575,102.690443,-,11485.000000,5.217967,2842.663929
1999, 臺灣地區,385842.000000,252998.000000,179215.000000,646.000000,21173.000000,32382.000000,125014.000000,1757.620000,65.570000,816.380000,17.049137,995.857922,1362.469646,915.141614,272177.000000,148421.000000,40606.000000,13051.000000,1239.850000,54.530000,184.972217,613.845073,11355.000000,8915.000000,9674.000000,2190.000000,51.730000,78.510000,44.067902,103.005188,-,11339.000000,5.165246,2848.621626
1999, 新北市,65788.000000,26591.000000,20176.000000,77.000000,2783.000000,3935.000000,13381.000000,1887.600000,40.420000,578.890000,12.746593,780.846670,995.642955,628.346499,53059.000000,17587.000000,4452.000000,1614.000000,1522.380000,33.150000,127.737574,452.851788,1656.000000,1104.000000,1368.000000,384.000000,47.510000,66.670000,39.250899,107.741689,-,1815.000000,5.207630,1584.485016
1999, 臺北市,48820.000000,40815.000000,25602.000000,40.000000,2397.000000,4003.000000,19162.000000,1848.800000,83.600000,969.540000,9.447811,1027.734247,1614.617471,1103.742714,31472.000000,23526.000000,4419.000000,1297.000000,1191.840000,74.750000,167.346714,556.099841,1399.000000,951.000000,1207.000000,260.000000,52.980000,67.980000,45.708867,111.477223,-,1348.000000,5.104851,4818.498381
1999, 桃園市,30712.000000,19133.000000,11339.000000,55.000000,1613.000000,2443.000000,7228.000000,1837.790000,62.300000,678.520000,16.715039,940.724994,1376.900424,727.747226,23903.000000,13386.000000,3354.000000,1088.000000,1430.340000,56.000000,200.701558,634.537380,804.000000,638.000000,727.000000,166.000000,48.110000,79.350000,43.503289,96.813608,-,425.000000,2.543177,1966.664860
1999, 臺中市,50294.000000,33919.000000,17252.000000,64.000000,2138.000000,3452.000000,11598.000000,2092.370000,67.440000,717.730000,13.944586,848.510344,1303.298077,812.250571,39709.000000,24119.000000,4075.000000,1398.000000,1652.010000,60.740000,169.531612,554.825754,1169.000000,951.000000,875.000000,191.000000,48.630000,81.350000,36.402493,75.802374,-,1526.000000,6.348595,2227.041107
1999, 臺南市,25376.000000,15744.000000,13250.000000,46.000000,1693.000000,2141.000000,9370.000000,1388.990000,62.040000,725.260000,15.352678,962.142287,1080.104832,812.565717,16239.000000,7664.000000,3034.000000,1067.000000,888.860000,47.200000,166.069813,606.382646,1166.000000,1027.000000,995.000000,223.000000,63.820000,88.080000,54.462579,126.732268,-,781.000000,4.274902,2605.452153
1999, 高雄市,57474.000000,31459.000000,21765.000000,61.000000,2735.000000,4099.000000,14870.000000,2130.550000,54.740000,806.820000,13.779519,1068.194556,1341.802939,878.112183,42814.000000,17937.000000,4656.000000,1606.000000,1587.110000,41.900000,172.596873,627.246968,2104.000000,1477.000000,1355.000000,357.000000,77.990000,70.200000,50.229545,139.431611,-,791.000000,2.932219,2961.035709
1999, 宜蘭縣,5848.000000,4090.000000,3553.000000,10.000000,415.000000,719.000000,2409.000000,1256.780000,69.940000,763.570000,12.352770,945.879725,1431.330002,829.961293,3563.000000,1954.000000,899.000000,285.000000,765.720000,54.840000,193.202247,649.580052,144.000000,121.000000,155.000000,20.000000,30.950000,84.030000,33.310732,45.584565,-,258.000000,5.544625,3138.970859
1999, 新竹縣,5806.000000,5207.000000,4426.000000,16.000000,517.000000,910.000000,2983.000000,1347.500000,89.680000,1027.220000,18.802625,1292.790878,2111.172977,1135.584961,3234.000000,2375.000000,1140.000000,310.000000,750.570000,73.440000,264.578815,775.174414,175.000000,228.000000,222.000000,43.000000,40.620000,130.290000,51.523243,107.524193,-,71.000000,1.647815,2538.998437
1999, 苗栗縣,7835.000000,6226.000000,5668.000000,18.000000,665.000000,1028.000000,3957.000000,1399.530000,79.460000,1012.450000,18.418185,1231.800837,1731.076871,1134.687101,4688.000000,3279.000000,1730.000000,416.000000,837.400000,69.940000,309.021830,770.570148,208.000000,160.000000,203.000000,26.000000,37.150000,76.920000,36.260943,48.160634,-,209.000000,3.733270,2728.784011
1999, 彰化縣,17337.000000,14327.000000,9973.000000,34.000000,993.000000,1971.000000,6975.000000,1329.980000,82.640000,765.060000,14.816203,730.557998,1287.604116,888.448451,11092.000000,8270.000000,2023.000000,507.000000,850.900000,74.560000,155.191176,373.003932,419.000000,392.000000,406.000000,98.000000,32.140000,93.560000,31.145634,72.099379,-,800.000000,6.137071,2336.651933
1999, 南投縣,7226.000000,5555.000000,5045.000000,18.000000,466.000000,1002.000000,3559.000000,1325.980000,76.880000,925.760000,19.446950,908.506034,1736.959800,1036.350903,3938.000000,2455.000000,1184.000000,253.000000,722.630000,62.340000,217.265247,493.244692,201.000000,149.000000,198.000000,18.000000,36.880000,74.130000,36.333209,35.092508,-,94.000000,1.724910,2778.403180
1999, 雲林縣,6892.000000,4536.000000,4202.000000,17.000000,462.000000,753.000000,2970.000000,921.860000,65.820000,562.050000,14.448840,685.261682,901.526489,620.019749,4452.000000,2224.000000,1189.000000,312.000000,595.490000,49.960000,159.038439,462.774123,193.000000,156.000000,181.000000,19.000000,25.820000,80.830000,24.210225,28.181758,-,149.000000,1.992996,2438.179647
1999, 嘉義縣,5067.000000,4454.000000,4426.000000,10.000000,437.000000,599.000000,3380.000000,898.090000,87.900000,784.480000,11.299563,918.626895,1018.499626,915.206646,2132.000000,1739.000000,870.000000,262.000000,377.880000,81.570000,154.201321,550.755713,198.000000,171.000000,197.000000,42.000000,35.090000,86.360000,34.916851,88.289084,-,86.000000,1.524289,2871.136229
1999, 屏東縣,12954.000000,6777.000000,5943.000000,29.000000,707.000000,1092.000000,4115.000000,1423.860000,52.320000,653.240000,19.373630,853.699768,1081.129245,714.077478,9190.000000,3576.000000,1584.000000,501.000000,1010.140000,38.910000,174.108505,604.955564,382.000000,268.000000,322.000000,56.000000,41.990000,70.160000,35.393269,67.619784,-,422.000000,4.638497,2828.993518
1999, 臺東縣,2636.000000,2247.000000,2600.000000,59.000000,564.000000,352.000000,1625.000000,1059.190000,85.240000,1044.730000,146.969074,2532.839340,1291.885345,1020.664531,1427.000000,1054.000000,910.000000,432.000000,573.390000,73.860000,365.654220,1940.047154,157.000000,154.000000,190.000000,47.000000,63.090000,98.090000,76.345387,211.069945,-,230.000000,9.241810,6488.709536
1999, 花蓮縣,5638.000000,3515.000000,3692.000000,36.000000,534.000000,609.000000,2513.000000,1583.070000,62.340000,1036.660000,61.119506,1638.765709,1569.344947,1112.680484,3108.000000,1636.000000,1166.000000,380.000000,872.680000,52.640000,327.396120,1166.162864,195.000000,169.000000,288.000000,61.000000,54.750000,86.670000,80.866280,187.199828,-,80.000000,2.246286,4441.973176
1999, 澎湖縣,716.000000,658.000000,847.000000,5.000000,115.000000,151.000000,576.000000,802.350000,91.900000,949.150000,37.443367,1448.453933,1542.784163,990.413962,319.000000,257.000000,197.000000,67.000000,357.470000,80.560000,220.757973,843.881857,15.000000,16.000000,29.000000,7.000000,16.810000,106.670000,32.497367,88.166761,-,295.000000,33.057666,14850.378154
1999, 基隆市,7980.000000,5868.000000,5233.000000,17.000000,522.000000,872.000000,3822.000000,2079.970000,73.530000,1363.970000,26.485939,1511.838390,2198.522553,1558.193767,4752.000000,2672.000000,958.000000,294.000000,1238.600000,56.230000,249.700581,851.495185,255.000000,258.000000,287.000000,74.000000,66.470000,101.180000,74.805915,214.321917,-,660.000000,17.202754,4359.872703
1999, 新竹市,10875.000000,6139.000000,3600.000000,15.000000,518.000000,716.000000,2351.000000,3028.400000,56.450000,1002.500000,22.461142,1501.449275,1953.588628,1062.992838,8549.000000,4229.000000,993.000000,354.000000,2380.670000,49.470000,276.524260,1026.086957,308.000000,215.000000,215.000000,44.000000,85.770000,69.810000,59.871819,127.536232,-,103.000000,2.868278,2947.160977
1999, 嘉義市,5998.000000,3447.000000,3217.000000,11.000000,432.000000,657.000000,2117.000000,2271.290000,57.470000,1218.190000,23.784298,1640.277936,2298.126869,1299.530401,4136.000000,1589.000000,650.000000,271.000000,1566.200000,38.420000,246.138000,1028.970650,170.000000,146.000000,162.000000,40.000000,64.370000,85.880000,61.345163,151.877587,-,235.000000,8.898835,3569.447816
1999, 金門縣,384.000000,299.000000,381.000000,3.000000,51.000000,82.000000,245.000000,747.150000,77.860000,741.310000,35.855145,867.125733,1332.466688,790.501081,169.000000,98.000000,71.000000,39.000000,328.820000,57.990000,138.144390,663.096149,7.000000,7.000000,7.000000,-,13.620000,100.000000,13.619869,-,-,64.000000,12.452452,508.956931
1999, 連江縣,15.000000,2.000000,1.000000,-,-,-,1.000000,227.010000,13.330000,15.130000,-,-,-,24.102193,9.000000,1.000000,-,-,136.210000,11.110000,-,-,-,-,-,-,-,-,-,-,-,82.000000,124.101400,1269.473227
2000, 總計,438520.000000,259645.000000,181614.000000,525.000000,18144.000000,32311.000000,130634.000000,1976.690000,59.210000,818.650000,13.931709,882.660279,1347.726153,935.566018,305793.000000,144398.000000,38068.000000,10656.000000,1378.410000,47.220000,171.597058,518.387783,10306.000000,6834.000000,8217.000000,1589.000000,46.460000,66.310000,37.039325,77.300881,-,11760.000000,5.300991,4218.967589
2000, 臺灣地區,438067.000000,259332.000000,181249.000000,521.000000,18076.000000,32253.000000,130399.000000,1979.950000,59.200000,819.200000,13.859905,882.088494,1349.243020,936.345402,305582.000000,144295.000000,37945.000000,10603.000000,1381.160000,47.220000,171.502038,517.414489,10295.000000,6824.000000,8204.000000,1585.000000,46.530000,66.280000,37.080056,77.346219,-,11646.000000,5.263705,4227.762562
2000, 新北市,75954.000000,26234.000000,18084.000000,64.000000,2241.000000,3691.000000,12088.000000,2145.950000,34.540000,510.930000,10.682869,650.886801,917.129145,551.066289,61692.000000,17765.000000,4822.000000,1440.000000,1743.000000,28.800000,136.237530,418.240514,1627.000000,941.000000,1158.000000,212.000000,45.970000,57.840000,32.717350,61.574298,-,1678.000000,4.740908,3583.006148
2000, 臺北市,53210.000000,41579.000000,27425.000000,40.000000,2282.000000,4241.000000,20862.000000,2012.560000,78.140000,1037.300000,9.546460,1021.095328,1717.323874,1189.090598,32123.000000,22433.000000,4069.000000,1037.000000,1214.990000,69.830000,153.901841,464.012207,903.000000,643.000000,832.000000,189.000000,34.150000,71.210000,31.468747,84.569245,-,2203.000000,8.332410,7357.514457
2000, 桃園市,34554.000000,19514.000000,11894.000000,39.000000,1286.000000,2403.000000,8166.000000,2018.390000,56.470000,694.760000,11.685778,765.348632,1316.816953,794.588315,26027.000000,12829.000000,3043.000000,817.000000,1520.310000,49.290000,177.750051,486.228486,750.000000,454.000000,551.000000,97.000000,43.810000,60.530000,32.185435,57.728474,-,448.000000,2.616892,2873.421750
2000, 臺中市,59317.000000,36344.000000,14455.000000,38.000000,1789.000000,2956.000000,9672.000000,2429.980000,61.270000,592.160000,8.260187,729.644191,1094.997314,659.814744,48216.000000,27238.000000,3449.000000,1122.000000,1975.220000,56.490000,141.291831,457.608040,1138.000000,666.000000,601.000000,119.000000,46.620000,58.520000,24.620583,48.534186,-,1224.000000,5.014242,2832.625531
2000, 臺南市,27539.000000,15545.000000,12757.000000,50.000000,1456.000000,2155.000000,9096.000000,1499.080000,56.450000,694.420000,16.949957,856.659557,1080.788298,775.632717,17525.000000,7041.000000,2790.000000,899.000000,953.970000,40.180000,151.873102,528.940207,760.000000,527.000000,716.000000,145.000000,41.370000,69.340000,38.975319,85.312937,-,704.000000,3.832210,3961.594679
2000, 高雄市,62238.000000,30426.000000,22068.000000,40.000000,2212.000000,3954.000000,15862.000000,2291.900000,48.890000,812.650000,9.137176,901.548977,1303.786554,917.321897,44782.000000,15504.000000,4018.000000,1154.000000,1649.090000,34.620000,147.962006,470.337938,2374.000000,1286.000000,1396.000000,299.000000,87.420000,54.170000,51.407407,121.863989,-,815.000000,3.001220,4056.430887
2000, 宜蘭縣,6903.000000,4437.000000,4158.000000,7.000000,416.000000,817.000000,2918.000000,1484.210000,64.280000,894.010000,8.818509,985.455062,1630.087789,994.606018,4114.000000,1912.000000,1004.000000,274.000000,884.550000,46.480000,215.869876,649.073767,188.000000,154.000000,223.000000,56.000000,40.420000,81.910000,47.947194,132.657412,-,169.000000,3.633666,4191.291483
2000, 新竹縣,6805.000000,4881.000000,4132.000000,21.000000,467.000000,797.000000,2847.000000,1558.140000,71.730000,946.100000,24.499939,1197.098254,1820.923485,1061.341197,4378.000000,2412.000000,1111.000000,308.000000,1002.430000,55.090000,254.384760,789.520904,180.000000,157.000000,225.000000,26.000000,41.210000,87.220000,51.518066,66.647869,-,46.000000,1.053258,3704.687299
2000, 苗栗縣,9509.000000,7362.000000,6051.000000,25.000000,647.000000,1091.000000,4288.000000,1698.780000,77.420000,1081.010000,26.073308,1247.758085,1822.966707,1217.595504,6002.000000,4057.000000,1898.000000,386.000000,1072.260000,67.590000,339.077826,744.412088,194.000000,172.000000,252.000000,39.000000,34.660000,88.660000,45.019817,75.212620,-,179.000000,3.197836,3527.399972
2000, 彰化縣,19759.000000,15621.000000,11480.000000,24.000000,855.000000,2294.000000,8307.000000,1510.530000,79.060000,877.620000,10.607664,656.477824,1491.246888,1041.287351,11799.000000,7975.000000,1965.000000,394.000000,902.010000,67.590000,150.219538,302.517266,393.000000,309.000000,405.000000,87.000000,30.040000,78.630000,30.961279,66.799498,-,637.000000,4.869712,3557.356848
2000, 南投縣,8726.000000,6226.000000,4985.000000,30.000000,420.000000,1026.000000,3509.000000,1607.630000,71.350000,918.410000,33.372639,854.944429,1773.000622,1014.456511,5124.000000,2877.000000,1221.000000,250.000000,944.020000,56.150000,224.949911,508.895493,187.000000,142.000000,155.000000,17.000000,34.450000,75.940000,28.556295,34.604894,-,51.000000,0.939594,3865.562935
2000, 雲林縣,8532.000000,5014.000000,4199.000000,13.000000,380.000000,802.000000,3004.000000,1145.540000,58.770000,563.770000,11.230713,594.056310,975.562286,622.107815,5709.000000,2460.000000,1046.000000,226.000000,766.510000,43.090000,140.439538,353.307174,193.000000,177.000000,194.000000,40.000000,25.910000,91.710000,26.047104,62.532243,-,146.000000,1.960246,3613.349211
2000, 嘉義縣,6321.000000,4890.000000,4891.000000,11.000000,429.000000,653.000000,3798.000000,1123.770000,77.360000,869.540000,12.698266,943.002220,1118.974587,1020.947158,2836.000000,1627.000000,844.000000,266.000000,504.190000,57.370000,150.048846,584.705339,137.000000,119.000000,139.000000,25.000000,24.360000,86.860000,24.711836,54.953509,-,87.000000,1.546712,3765.392004
2000, 屏東縣,13294.000000,6542.000000,5437.000000,21.000000,519.000000,1030.000000,3867.000000,1463.610000,49.210000,598.590000,14.289165,655.418887,1030.566812,664.196755,9447.000000,3252.000000,1343.000000,341.000000,1040.070000,34.420000,147.858230,430.631677,316.000000,214.000000,286.000000,41.000000,34.790000,67.720000,31.487307,51.776829,-,443.000000,4.877230,3773.980793
2000, 臺東縣,2550.000000,2073.000000,2507.000000,32.000000,447.000000,364.000000,1664.000000,1034.250000,81.290000,1016.810000,81.361793,2137.222089,1365.443769,1042.260402,1252.000000,798.000000,756.000000,336.000000,507.790000,63.740000,306.623431,1606.502510,136.000000,125.000000,188.000000,37.000000,55.160000,91.910000,76.250271,176.906526,-,497.000000,20.157651,8350.852612
2000, 花蓮縣,5784.000000,3855.000000,4035.000000,22.000000,447.000000,761.000000,2805.000000,1630.870000,66.650000,1137.720000,38.012959,1451.628617,1979.348194,1232.734033,2796.000000,1534.000000,1034.000000,305.000000,788.370000,54.860000,291.548478,990.484850,162.000000,145.000000,207.000000,38.000000,45.680000,89.510000,58.366088,123.404670,-,77.000000,2.171106,5890.281412
2000, 澎湖縣,546.000000,497.000000,657.000000,-,59.000000,124.000000,474.000000,611.730000,91.030000,736.100000,-,775.041051,1293.148399,805.430710,192.000000,128.000000,132.000000,39.000000,215.120000,66.670000,147.891703,512.315271,13.000000,14.000000,21.000000,6.000000,14.570000,107.690000,23.528225,78.817734,-,257.000000,28.794066,20272.719131
2000, 基隆市,7921.000000,5741.000000,4447.000000,22.000000,454.000000,832.000000,3139.000000,2047.760000,72.480000,1149.650000,34.560221,1351.914716,2098.175445,1255.999408,4920.000000,2833.000000,868.000000,261.000000,1271.930000,57.580000,224.397836,777.202073,216.000000,200.000000,252.000000,56.000000,55.840000,92.590000,65.147759,166.756000,-,319.000000,8.246879,6176.087247
2000, 新竹市,12177.000000,5640.000000,2973.000000,8.000000,358.000000,655.000000,1952.000000,3334.350000,46.320000,814.080000,11.871814,1066.301305,1761.936785,859.673307,10187.000000,4048.000000,826.000000,244.000000,2789.440000,39.740000,226.178366,726.752844,238.000000,182.000000,189.000000,18.000000,65.170000,76.470000,51.752677,53.612915,-,85.000000,2.327501,3421.323774
2000, 嘉義市,7929.000000,3471.000000,2878.000000,6.000000,382.000000,527.000000,1963.000000,2984.800000,43.780000,1083.400000,12.903781,1507.408796,1850.778767,1187.307962,5852.000000,1759.000000,699.000000,279.000000,2202.930000,30.060000,263.132138,1100.960874,158.000000,107.000000,131.000000,24.000000,59.480000,67.720000,49.313748,94.706312,-,175.000000,6.587714,4198.085091
