"年度","縣市","道路交通事故肇事總件數(A1+A2類)","每萬輛機動車肇事數","道路交通事故死傷人數(A1+A2類)","每十萬人道路交通事故死傷人數","每件交通事故死傷人數","每日交通事故發生件數","事故傷害死亡人數","事故傷害死亡率","火災發生次數","火災死亡人數","火災受傷人數","每萬戶火災發生次數","每萬人火災發生次數","每日火災發生次數","每次火災死傷人數","每百萬人火災死亡人數","每百萬人火災受傷人數","火災財物損失","平均每件火災財物損失","消防人員數","義消人員數","消防車輛數","消防栓總數","每十萬人消防人數","每十萬人義消人數","每萬人消防車輛數","每千戶消防栓數"
1998, 屏東縣,83.000000,1.200000,137.000000,15.020000,1.650000,0.227397,648.000000,71.000000,638.000000,9.000000,13.000000,26.540000,6.990000,1.747945,0.034483,9.866777,14.252011,17894.000000,28.047022,230.000000,891.000000,69.000000,3111.000000,25.259736,97.854021,0.760000,12.837124
1998, 臺東縣,81.000000,4.340000,147.000000,58.460000,1.810000,0.221918,254.000000,101.000000,398.000000,1.000000,4.000000,56.160000,15.830000,1.090411,0.012563,3.976625,15.906502,21578.000000,54.216080,100.000000,631.000000,25.000000,1433.000000,40.010083,252.463621,1.000000,20.097895
1998, 花蓮縣,145.000000,5.320000,256.000000,71.640000,1.770000,0.397260,406.000000,113.600000,115.000000,6.000000,21.000000,11.280000,3.220000,0.315068,0.234783,16.790779,58.767725,41690.000000,362.521739,113.000000,820.000000,41.000000,2142.000000,31.688077,229.948878,1.150000,20.808642
1998, 澎湖縣,23.000000,3.630000,33.000000,36.540000,1.430000,0.063014,61.000000,67.500000,247.000000,4.000000,7.000000,93.300000,27.350000,0.676712,0.044534,44.288941,77.505647,72513.000000,293.574899,49.000000,144.000000,14.000000,397.000000,54.771246,160.960397,1.560000,14.856672
1998, 基隆市,32.000000,1.560000,47.000000,12.340000,1.470000,0.087671,152.000000,39.900000,409.000000,13.000000,22.000000,34.010000,10.740000,1.120548,0.085575,34.143677,57.781607,27024.000000,66.073350,142.000000,669.000000,38.000000,1327.000000,37.161296,175.076809,0.990000,10.812440
1998, 新竹市,60.000000,2.110000,92.000000,25.990000,1.530000,0.164384,165.000000,46.600000,101.000000,10.000000,25.000000,9.810000,2.850000,0.276712,0.346535,28.246872,70.617180,25681.000000,254.267327,97.000000,498.000000,28.000000,900.000000,27.228605,139.792220,0.790000,8.577228
1998, 嘉義市,34.000000,1.550000,54.000000,20.540000,1.590000,0.093151,102.000000,38.800000,460.000000,7.000000,19.000000,59.930000,17.490000,1.260274,0.056522,26.622448,72.260930,43097.000000,93.689130,109.000000,533.000000,29.000000,1095.000000,41.436989,202.623075,1.100000,14.152224
1998, 金門縣,6.000000,1.830000,10.000000,19.580000,1.670000,0.016438,13.000000,25.500000,449.000000,1.000000,-,253.750000,87.920000,1.230137,0.002227,19.580967,-,572.000000,1.273942,7.000000,112.000000,13.000000,92.000000,13.709362,219.349785,2.550000,5.208333
1998, 連江縣,1.000000,3.270000,4.000000,53.070000,4.000000,0.002740,-,-,19.000000,-,1.000000,128.250000,25.210000,0.052055,0.052632,-,132.678785,3230.000000,170.000000,-,127.000000,10.000000,71.000000,-,1908.339594,15.030000,47.619048
1999, 總計,2487.000000,1.540000,4028.000000,18.300000,1.620000,6.813699,12960.000000,58.900000,18254.000000,230.000000,644.000000,28.300000,8.290000,50.010959,0.047880,10.449563,29.258777,2611243.000000,143.050455,7004.000000,22612.000000,1808.000000,92173.000000,31.703229,102.352000,0.820000,14.109985
1999, 臺灣地區,2482.000000,1.540000,4021.000000,18.320000,1.620000,6.800000,12940.000000,58.900000,17579.000000,229.000000,644.000000,27.330000,8.010000,48.161644,0.049662,10.431620,29.336085,2605713.000000,148.228739,6997.000000,22378.000000,1783.000000,91963.000000,31.755330,101.560781,0.810000,14.119212
1999, 新北市,115.000000,0.490000,175.000000,5.020000,1.520000,0.315068,1070.000000,30.700000,2221.000000,52.000000,146.000000,20.520000,6.370000,6.084932,0.089149,14.919932,41.890579,771211.000000,347.235930,610.000000,2290.000000,225.000000,11646.000000,17.374378,65.225125,0.640000,10.566581
1999, 臺北市,166.000000,1.050000,214.000000,8.100000,1.290000,0.454795,658.000000,24.900000,936.000000,20.000000,111.000000,10.700000,3.540000,2.564384,0.139957,7.573963,42.035495,115551.000000,123.451923,1429.000000,932.000000,198.000000,14018.000000,54.101901,35.285494,0.750000,15.944838
1999, 桃園市,141.000000,1.190000,248.000000,14.840000,1.760000,0.386301,894.000000,53.500000,1169.000000,15.000000,54.000000,24.540000,7.000000,3.202740,0.059025,8.975919,32.313310,587382.000000,502.465355,413.000000,1204.000000,135.000000,5483.000000,24.419201,71.188180,0.800000,11.262566
1999, 臺中市,232.000000,1.260000,365.000000,15.190000,1.570000,0.635616,2149.000000,89.400000,2067.000000,15.000000,53.000000,30.610000,8.600000,5.663014,0.032898,6.240427,22.049510,134259.000000,64.953556,572.000000,1784.000000,166.000000,9789.000000,23.616885,73.658255,0.690000,14.277755
1999, 臺南市,257.000000,1.770000,358.000000,19.600000,1.390000,0.704110,971.000000,53.100000,2276.000000,8.000000,34.000000,42.260000,12.460000,6.235616,0.018453,4.378901,18.610328,237742.000000,104.456063,552.000000,3331.000000,136.000000,10186.000000,30.134574,181.844684,0.740000,18.715836
1999, 高雄市,254.000000,1.130000,361.000000,13.380000,1.420000,0.695890,1188.000000,44.000000,921.000000,22.000000,40.000000,10.900000,3.410000,2.523288,0.067318,8.155351,14.827910,156535.000000,169.961998,893.000000,2177.000000,256.000000,10743.000000,33.002483,80.455102,0.950000,12.544958
1999, 宜蘭縣,104.000000,3.020000,160.000000,34.390000,1.540000,0.284932,355.000000,76.300000,354.000000,11.000000,15.000000,27.490000,7.610000,0.969863,0.073446,23.639874,32.236192,22971.000000,64.889831,119.000000,710.000000,39.000000,3068.000000,25.591178,152.686859,0.840000,23.589294
1999, 新竹縣,85.000000,2.720000,149.000000,34.580000,1.750000,0.232877,329.000000,76.400000,784.000000,12.000000,17.000000,70.890000,18.200000,2.147945,0.036990,27.850402,39.454736,25108.000000,32.025510,136.000000,697.000000,44.000000,1982.000000,31.353238,160.685345,1.010000,17.617934
1999, 苗栗縣,99.000000,2.330000,168.000000,30.010000,1.700000,0.271233,439.000000,78.400000,225.000000,15.000000,25.000000,15.910000,4.020000,0.616438,0.177778,26.793800,44.656334,50438.000000,224.168889,169.000000,670.000000,64.000000,1794.000000,30.189138,119.684747,1.140000,12.551072
1999, 彰化縣,88.000000,0.870000,136.000000,10.430000,1.550000,0.241096,806.000000,61.800000,510.000000,7.000000,52.000000,16.450000,3.910000,1.397260,0.115686,5.369937,39.890960,145903.000000,286.084314,332.000000,1348.000000,89.000000,4899.000000,25.428143,103.244386,0.680000,15.648607
1999, 南投縣,119.000000,2.890000,242.000000,44.410000,2.030000,0.326027,1243.000000,228.100000,1014.000000,9.000000,10.000000,69.390000,18.610000,2.778082,0.018738,16.515095,18.350105,64673.000000,63.780079,190.000000,889.000000,48.000000,1746.000000,34.924031,163.407703,0.880000,11.822300
1999, 雲林縣,103.000000,1.830000,152.000000,20.330000,1.480000,0.282192,656.000000,87.700000,1159.000000,8.000000,12.000000,59.300000,15.500000,3.175342,0.017256,10.700652,16.050978,108318.000000,93.458154,192.000000,965.000000,57.000000,3592.000000,25.728954,129.314792,0.760000,18.278224
1999, 嘉義縣,145.000000,3.420000,249.000000,44.130000,1.720000,0.397260,391.000000,69.300000,1341.000000,3.000000,4.000000,88.780000,23.770000,3.673973,0.005220,5.317287,7.089716,44859.000000,33.451902,130.000000,987.000000,52.000000,1953.000000,23.104457,175.416147,0.920000,12.840068
1999, 屏東縣,88.000000,1.240000,196.000000,21.540000,2.230000,0.241096,664.000000,73.000000,856.000000,6.000000,17.000000,35.060000,9.410000,2.345205,0.026869,6.595019,18.685887,22439.000000,26.213785,259.000000,1082.000000,64.000000,3285.000000,28.492379,119.029939,0.700000,13.356590
1999, 臺東縣,78.000000,4.130000,131.000000,52.640000,1.680000,0.213699,270.000000,108.500000,317.000000,5.000000,5.000000,44.190000,12.740000,0.868493,0.031546,20.090891,20.090891,12096.000000,38.157729,128.000000,681.000000,26.000000,1571.000000,51.654352,274.817293,1.050000,21.766238
1999, 花蓮縣,88.000000,3.160000,162.000000,45.490000,1.840000,0.241096,344.000000,96.600000,229.000000,2.000000,12.000000,22.050000,6.430000,0.627397,0.061135,5.615714,33.694283,33223.000000,145.078603,115.000000,810.000000,45.000000,2311.000000,32.331888,227.728952,1.270000,22.051737
1999, 澎湖縣,12.000000,1.880000,25.000000,28.010000,2.080000,0.032877,61.000000,68.400000,238.000000,-,-,88.450000,26.670000,0.652055,-,-,-,6245.000000,26.239496,65.000000,143.000000,15.000000,397.000000,73.023042,160.650691,1.690000,14.652150
1999, 基隆市,42.000000,1.970000,49.000000,12.770000,1.170000,0.115068,178.000000,46.400000,440.000000,14.000000,19.000000,35.300000,11.470000,1.205479,0.075000,36.490690,49.523080,14216.000000,32.309091,153.000000,645.000000,29.000000,1351.000000,39.719523,167.445048,0.750000,10.673598
1999, 新竹市,43.000000,1.470000,64.000000,17.820000,1.490000,0.117808,161.000000,44.800000,130.000000,1.000000,4.000000,12.150000,3.620000,0.356164,0.038462,2.784736,11.138943,15887.000000,122.207692,119.000000,521.000000,30.000000,896.000000,32.876743,143.939352,0.830000,8.213703
1999, 嘉義市,40.000000,1.780000,64.000000,24.240000,1.600000,0.109589,113.000000,42.800000,332.000000,4.000000,14.000000,42.620000,12.570000,0.909589,0.054217,15.146954,53.014338,30677.000000,92.400602,152.000000,512.000000,29.000000,1143.000000,57.334908,193.128110,1.090000,14.574806
1999, 金門縣,5.000000,1.450000,7.000000,13.620000,1.400000,0.013699,20.000000,38.900000,652.000000,1.000000,-,369.320000,126.860000,1.786301,0.001534,19.456956,-,1170.000000,1.794479,7.000000,122.000000,14.000000,130.000000,13.531538,235.835379,2.710000,7.367944
1999, 連江縣,-,-,-,-,-,-,-,-,23.000000,-,-,153.900000,34.810000,0.063014,-,-,-,4360.000000,189.565217,-,112.000000,11.000000,80.000000,-,1707.317073,16.770000,53.404539
2000, 總計,52952.000000,31.760000,70283.000000,316.810000,1.330000,144.677596,10515.000000,47.400000,15560.000000,262.000000,732.000000,23.550000,7.010000,42.513661,0.063882,11.810032,32.995967,2343786.000000,150.628920,7062.000000,24195.000000,1904.000000,96354.000000,31.701324,108.611376,0.850000,14.420614
2000, 臺灣地區,52859.000000,31.780000,70164.000000,317.120000,1.330000,144.423497,10500.000000,47.500000,14949.000000,261.000000,731.000000,22.690000,6.760000,40.844262,0.066359,11.796556,33.039396,2339596.000000,156.505184,7032.000000,23960.000000,1880.000000,96144.000000,31.652710,107.849679,0.850000,14.431286
2000, 新北市,2033.000000,8.380000,2761.000000,78.010000,1.360000,5.554645,1084.000000,30.600000,1484.000000,45.000000,146.000000,13.260000,4.190000,4.054645,0.128706,12.713996,41.249854,584091.000000,393.592318,626.000000,2356.000000,225.000000,11880.000000,17.545354,66.033315,0.630000,10.454985
2000, 臺北市,12224.000000,76.190000,16164.000000,611.370000,1.320000,33.398907,599.000000,22.700000,854.000000,18.000000,80.000000,9.660000,3.230000,2.333333,0.114754,6.808142,30.258411,110792.000000,129.733021,1457.000000,1020.000000,194.000000,14669.000000,55.054386,38.541849,0.730000,16.508733
2000, 桃園市,2203.000000,17.860000,3091.000000,180.550000,1.400000,6.019126,870.000000,50.800000,1056.000000,30.000000,95.000000,21.290000,6.170000,2.885246,0.118371,17.523830,55.492129,254882.000000,241.365530,460.000000,1225.000000,135.000000,5801.000000,26.549434,70.702296,0.780000,11.480400
2000, 臺中市,8066.000000,42.080000,10259.000000,420.270000,1.270000,22.038251,994.000000,40.700000,1754.000000,33.000000,62.000000,25.240000,7.190000,4.792350,0.054162,13.518789,25.398937,231926.000000,132.226910,589.000000,1898.000000,177.000000,10405.000000,23.942136,77.151398,0.720000,14.774625
2000, 臺南市,5514.000000,36.760000,7355.000000,400.370000,1.330000,15.065574,943.000000,51.300000,2570.000000,16.000000,58.000000,46.780000,13.990000,7.021858,0.028794,8.709569,31.572186,223866.000000,87.107393,328.000000,3567.000000,142.000000,10417.000000,17.803475,193.612786,0.770000,18.783957
2000, 高雄市,6458.000000,27.820000,8326.000000,306.600000,1.290000,17.644809,1254.000000,46.200000,1677.000000,21.000000,58.000000,19.370000,6.180000,4.581967,0.047108,7.733206,21.358378,133726.000000,79.741205,929.000000,2174.000000,263.000000,11170.000000,34.088403,79.772000,0.970000,12.765919
2000, 宜蘭縣,807.000000,22.880000,1107.000000,238.020000,1.370000,2.204918,330.000000,75.600000,356.000000,13.000000,47.000000,27.050000,7.650000,0.972678,0.168539,27.951279,101.054623,41438.000000,116.398876,128.000000,708.000000,38.000000,3068.000000,27.515875,152.197186,0.820000,23.042894
2000, 新竹縣,706.000000,21.800000,971.000000,222.330000,1.380000,1.928962,283.000000,60.800000,551.000000,8.000000,15.000000,48.220000,12.620000,1.505464,0.041742,18.317534,34.345377,34794.000000,63.147005,104.000000,696.000000,47.000000,2052.000000,23.651791,158.285063,1.070000,17.683253
2000, 苗栗縣,984.000000,22.420000,1404.000000,250.820000,1.430000,2.688525,427.000000,76.300000,182.000000,6.000000,7.000000,12.590000,3.250000,0.497268,0.071429,10.719004,12.505505,43882.000000,241.109890,179.000000,617.000000,68.000000,2037.000000,31.981247,110.237036,1.210000,13.936114
2000, 彰化縣,1126.000000,10.700000,1593.000000,121.780000,1.410000,3.076503,748.000000,57.200000,340.000000,18.000000,33.000000,10.760000,2.600000,0.928962,0.150000,13.760568,25.227709,185210.000000,544.735294,342.000000,1477.000000,96.000000,5180.000000,26.096292,112.702408,0.730000,16.240790
2000, 南投縣,685.000000,16.120000,951.000000,175.210000,1.390000,1.871585,382.000000,70.400000,615.000000,13.000000,21.000000,41.210000,11.330000,1.680328,0.055285,23.950441,38.689174,243572.000000,396.052033,193.000000,900.000000,61.000000,2072.000000,35.639301,166.193630,1.130000,13.739415
2000, 雲林縣,2017.000000,34.790000,2765.000000,371.240000,1.370000,5.510929,576.000000,77.300000,964.000000,4.000000,17.000000,48.570000,12.940000,2.633880,0.021784,5.370537,22.824782,36589.000000,37.955394,198.000000,964.000000,64.000000,3845.000000,26.635529,129.680051,0.860000,19.179640
2000, 嘉義縣,910.000000,20.940000,1316.000000,233.960000,1.450000,2.486339,360.000000,64.000000,1019.000000,13.000000,8.000000,66.300000,18.120000,2.784153,0.020608,23.111789,14.222639,41179.000000,40.411187,194.000000,1024.000000,53.000000,2001.000000,34.500849,182.107575,0.940000,12.887312
2000, 屏東縣,932.000000,12.880000,1448.000000,159.420000,1.550000,2.546448,585.000000,64.400000,124.000000,4.000000,13.000000,5.010000,1.370000,0.338798,0.137097,4.403819,14.312412,43199.000000,348.379032,261.000000,1355.000000,76.000000,3489.000000,28.757479,149.296489,0.840000,14.018072
2000, 臺東縣,514.000000,26.900000,780.000000,316.360000,1.520000,1.404372,263.000000,106.700000,271.000000,1.000000,3.000000,37.340000,10.990000,0.740437,0.014760,4.055865,12.167596,16270.000000,60.036900,137.000000,653.000000,34.000000,1628.000000,55.847248,266.191625,1.390000,22.309316
2000, 花蓮縣,1216.000000,42.570000,1731.000000,488.080000,1.420000,3.322404,310.000000,87.400000,149.000000,6.000000,7.000000,14.110000,4.200000,0.407104,0.087248,16.917707,19.737324,17655.000000,118.489933,117.000000,837.000000,54.000000,2441.000000,33.085428,236.688064,1.530000,22.926215
2000, 澎湖縣,198.000000,30.470000,264.000000,295.780000,1.330000,0.540984,54.000000,60.500000,68.000000,-,4.000000,24.850000,7.620000,0.185792,0.058824,-,44.815668,5393.000000,79.308824,67.000000,256.000000,17.000000,452.000000,74.863681,286.046304,1.900000,16.351337
2000, 基隆市,917.000000,41.570000,1193.000000,308.420000,1.300000,2.505464,189.000000,48.900000,329.000000,6.000000,12.000000,25.700000,8.510000,0.898907,0.054711,15.511371,31.022742,7897.000000,24.003040,162.000000,954.000000,33.000000,1413.000000,41.706893,245.607260,0.850000,10.911450
2000, 新竹市,2159.000000,70.900000,2722.000000,745.350000,1.260000,5.898907,148.000000,40.500000,118.000000,4.000000,25.000000,10.670000,3.230000,0.322404,0.245763,10.952948,68.455922,35164.000000,298.000000,126.000000,618.000000,33.000000,851.000000,34.198334,167.734686,0.900000,7.585549
2000, 嘉義市,2236.000000,97.200000,2478.000000,932.820000,1.110000,6.109290,101.000000,38.000000,434.000000,2.000000,19.000000,54.890000,16.340000,1.185792,0.048387,7.528817,71.523757,43994.000000,101.368664,165.000000,496.000000,29.000000,1168.000000,61.987430,186.337970,1.090000,14.652015
2000, 金門縣,92.000000,25.380000,118.000000,223.560000,1.280000,0.251366,14.000000,26.500000,581.000000,-,1.000000,326.140000,110.080000,1.587432,0.001721,-,18.946032,2890.000000,4.974182,30.000000,114.000000,14.000000,130.000000,55.728934,211.769951,2.600000,7.228246
2000, 連江縣,1.000000,2.900000,1.000000,15.050000,1.000000,0.002732,1.000000,15.000000,30.000000,1.000000,-,199.600000,45.140000,0.081967,0.033333,150.455127,-,1300.000000,43.333333,-,121.000000,10.000000,80.000000,-,1797.118669,14.850000,53.050398
2001, 總計,64264.000000,37.270000,83956.000000,375.790000,1.310000,176.065753,9513.000000,42.600000,13750.000000,234.000000,806.000000,20.390000,6.150000,37.671233,0.075636,10.473960,36.076974,15562856.000000,1131.844073,8179.000000,26500.000000,1956.000000,102254.000000,36.504319,118.274172,0.870000,15.032310
2001, 臺灣地區,64077.000000,37.250000,83735.000000,375.870000,1.310000,175.553425,9488.000000,42.600000,12896.000000,234.000000,804.000000,19.180000,5.790000,35.331507,0.080490,10.503667,36.089524,15562170.000000,1206.743952,8127.000000,26267.000000,1927.000000,102033.000000,36.379085,117.579603,0.860000,15.044304
2001, 新北市,3059.000000,12.100000,4153.000000,115.710000,1.360000,8.380822,896.000000,25.000000,1011.000000,27.000000,134.000000,8.790000,2.820000,2.769863,0.159248,7.522832,37.335536,14135373.000000,13981.575668,711.000000,2423.000000,219.000000,12150.000000,19.693916,67.114429,0.610000,10.434397
2001, 臺北市,12604.000000,77.260000,16679.000000,631.750000,1.320000,34.531507,506.000000,19.200000,814.000000,16.000000,74.000000,9.130000,3.080000,2.230137,0.110565,6.060289,28.028838,74928.000000,92.049140,1482.000000,1022.000000,198.000000,14956.000000,56.268467,38.803221,0.750000,16.715041
2001, 桃園市,2624.000000,20.410000,3531.000000,202.030000,1.350000,7.189041,759.000000,43.400000,1042.000000,25.000000,102.000000,20.300000,5.960000,2.854795,0.121881,14.303778,58.359414,195533.000000,187.651631,582.000000,1349.000000,149.000000,6211.000000,33.012604,76.518906,0.850000,11.916731
2001, 臺中市,10432.000000,52.330000,12899.000000,521.590000,1.240000,28.580822,857.000000,34.700000,1105.000000,34.000000,57.000000,15.520000,4.470000,3.027397,0.082353,13.748300,23.048621,212761.000000,192.543891,635.000000,1920.000000,182.000000,12330.000000,25.543370,77.233496,0.730000,17.129401
2001, 臺南市,6098.000000,39.420000,8142.000000,441.230000,1.340000,16.706849,806.000000,43.700000,1795.000000,22.000000,51.000000,32.140000,9.730000,4.917808,0.040669,11.922245,27.637932,93945.000000,52.337047,610.000000,3586.000000,142.000000,10962.000000,33.004318,194.022106,0.770000,19.493961
2001, 高雄市,8215.000000,33.950000,10350.000000,379.350000,1.260000,22.506849,1201.000000,44.000000,1649.000000,19.000000,97.000000,18.700000,6.040000,4.517808,0.070346,6.963939,35.552741,191159.000000,115.924196,1064.000000,3222.000000,267.000000,11422.000000,38.954168,117.960837,0.980000,12.848838
2001, 宜蘭縣,887.000000,24.680000,1189.000000,255.430000,1.340000,2.430137,305.000000,65.500000,410.000000,5.000000,7.000000,30.630000,8.810000,1.123288,0.029268,10.741312,15.037836,28995.000000,70.719512,126.000000,705.000000,38.000000,3358.000000,27.050294,151.352837,0.820000,24.953927
2001, 新竹縣,931.000000,27.720000,1250.000000,282.160000,1.340000,2.550685,268.000000,60.500000,748.000000,13.000000,127.000000,63.530000,16.880000,2.049315,0.187166,29.344942,286.677509,167360.000000,223.743316,177.000000,709.000000,47.000000,2220.000000,39.659422,158.861752,1.050000,18.588917
2001, 苗栗縣,1304.000000,28.890000,1816.000000,324.190000,1.390000,3.572603,370.000000,66.100000,120.000000,7.000000,3.000000,8.140000,2.140000,0.328767,0.083333,12.496173,5.355503,86299.000000,719.158333,204.000000,631.000000,73.000000,2471.000000,36.386986,112.549943,1.300000,16.623163
2001, 彰化縣,1942.000000,17.770000,2546.000000,194.020000,1.310000,5.320548,630.000000,48.000000,334.000000,17.000000,22.000000,10.400000,2.550000,0.915068,0.116766,12.954725,16.764938,124937.000000,374.062874,363.000000,1579.000000,95.000000,5486.000000,27.625697,120.167976,0.720000,16.967133
2001, 南投縣,883.000000,20.010000,1210.000000,223.380000,1.370000,2.419178,367.000000,67.800000,497.000000,6.000000,10.000000,32.690000,9.180000,1.361644,0.032193,11.076702,18.461169,33919.000000,68.247485,242.000000,897.000000,61.000000,2151.000000,44.664445,165.553747,1.130000,14.034515
2001, 雲林縣,2482.000000,41.860000,3430.000000,461.350000,1.380000,6.800000,526.000000,70.700000,1005.000000,8.000000,9.000000,49.720000,13.520000,2.753425,0.016915,10.760426,12.105479,29295.000000,29.149254,235.000000,1068.000000,66.000000,3950.000000,31.604627,143.632945,0.890000,19.386408
2001, 嘉義縣,1101.000000,24.790000,1515.000000,269.170000,1.380000,3.016438,352.000000,62.500000,793.000000,4.000000,11.000000,50.720000,14.090000,2.172603,0.018916,7.106879,19.543916,51766.000000,65.278689,289.000000,1122.000000,52.000000,2092.000000,51.298891,199.160402,0.920000,13.286926
2001, 屏東縣,2747.000000,36.870000,3728.000000,410.360000,1.360000,7.526027,622.000000,68.500000,358.000000,7.000000,27.000000,14.300000,3.940000,0.980822,0.094972,7.705203,29.720070,26184.000000,73.139665,276.000000,1461.000000,80.000000,3643.000000,30.350883,160.661737,0.880000,14.471682
2001, 臺東縣,1521.000000,77.770000,2067.000000,843.800000,1.360000,4.167123,218.000000,89.000000,87.000000,1.000000,8.000000,11.860000,3.550000,0.238356,0.103448,4.082266,32.658127,12255.000000,140.862069,143.000000,656.000000,35.000000,1687.000000,58.459928,268.179811,1.430000,22.869615
2001, 花蓮縣,1254.000000,42.800000,1744.000000,493.510000,1.390000,3.435616,353.000000,99.900000,144.000000,7.000000,6.000000,13.440000,4.070000,0.394521,0.090278,19.808452,16.978673,35504.000000,246.555556,124.000000,1151.000000,55.000000,2488.000000,35.113652,325.933981,1.560000,23.065014
