"年度","縣市","社會福利工作人員數","社會福利工作人員占全縣(市)人口比率","志願服務隊員人數","志工志願服務時數","志工人數占15歲以上人口比率","每位志工一年內提供服務時數"
2000, 連江縣,16.000000,23.763553,-,-,-,-
2001, 總計,9476.000000,4.229306,58734.000000,5427450.000000,0.331014,94.055108
2001, 臺灣地區,8746.000000,3.914993,58314.000000,5395516.000000,0.329636,94.045232
2001, 新北市,935.000000,2.589847,4110.000000,372368.000000,0.143743,82.391415
2001, 臺北市,1229.000000,4.666258,7603.000000,791919.000000,0.357588,104.571372
2001, 桃園市,301.000000,1.707353,3443.000000,159374.000000,0.256198,49.273149
2001, 臺中市,1021.000000,4.107052,5694.000000,592784.000000,0.297672,123.535271
2001, 臺南市,642.000000,3.473569,3732.000000,431379.000000,0.251830,122.065365
2001, 高雄市,672.000000,2.460263,10640.000000,1257489.000000,0.485539,115.086167
2001, 宜蘭縣,386.000000,8.286836,2577.000000,25884.000000,0.698516,10.571370
2001, 新竹縣,158.000000,3.540220,1129.000000,111881.000000,0.331110,86.931624
2001, 苗栗縣,260.000000,4.637557,1559.000000,106639.000000,0.351639,55.919769
2001, 彰化縣,689.000000,5.243555,3429.000000,276998.000000,0.331479,87.768695
2001, 南投縣,348.000000,6.422821,3316.000000,38653.000000,0.766918,12.197223
2001, 雲林縣,596.000000,8.015471,1136.000000,215108.000000,0.188827,182.681953
2001, 嘉義縣,343.000000,6.088415,952.000000,149721.000000,0.208077,158.267442
2001, 屏東縣,357.000000,3.925821,1663.000000,53103.000000,0.227875,34.583523
2001, 臺東縣,189.000000,7.726522,1316.000000,156132.000000,0.667736,106.212245
2001, 花蓮縣,246.000000,6.966096,1839.000000,138050.000000,0.650028,82.714200
2001, 澎湖縣,126.000000,13.655872,386.000000,29330.000000,0.511536,98.093645
2001, 基隆市,145.000000,3.708762,1056.000000,174745.000000,0.338416,160.096198
2001, 新竹市,72.000000,1.928764,1416.000000,93651.000000,0.490617,69.758659
2001, 嘉義市,29.000000,1.082118,1318.000000,220308.000000,0.628325,171.179487
2001, 金門縣,56.000000,9.831806,384.000000,31934.000000,0.836911,101.217116
2001, 連江縣,4.000000,4.519263,36.000000,-,0.486684,-
2002, 總計,13531.000000,6.008230,50266.000000,4388410.000000,0.280473,80.521284
2002, 臺灣地區,12127.000000,5.401041,49985.000000,4369139.000000,0.279765,80.686599
2002, 新北市,1453.000000,3.990173,1903.000000,152929.000000,0.065603,50.866123
2002, 臺北市,1572.000000,5.950362,3942.000000,284482.000000,0.183700,49.282287
2002, 桃園市,701.000000,3.910514,2375.000000,215049.000000,0.173005,73.925404
2002, 臺中市,2088.000000,8.323716,6530.000000,551747.000000,0.336397,90.272742
2002, 臺南市,487.000000,2.628647,3434.000000,351217.000000,0.229919,98.023165
2002, 高雄市,780.000000,2.843700,11464.000000,1121263.000000,0.518354,101.453402
2002, 宜蘭縣,376.000000,8.101580,2491.000000,53916.000000,0.674474,21.277032
2002, 新竹縣,269.000000,5.942401,627.000000,66725.000000,0.180741,75.996583
2002, 苗栗縣,254.000000,4.529519,1836.000000,89283.000000,0.412224,52.596760
2002, 彰化縣,719.000000,5.462783,1942.000000,158581.000000,0.186423,59.050829
2002, 南投縣,698.000000,12.895073,3055.000000,48036.000000,0.704695,15.079579
2002, 雲林縣,815.000000,10.972042,1437.000000,252183.000000,0.238327,196.022542
2002, 嘉義縣,419.000000,7.450293,1003.000000,240673.000000,0.218884,246.212788
2002, 屏東縣,386.000000,4.259649,1358.000000,209458.000000,0.186027,138.667991
2002, 臺東縣,247.000000,10.124403,805.000000,107464.000000,0.409014,101.333333
2002, 花蓮縣,334.000000,9.484487,1916.000000,149383.000000,0.677221,79.564847
2002, 澎湖縣,193.000000,20.877053,578.000000,52835.000000,0.763359,109.616183
2002, 基隆市,209.000000,5.339124,941.000000,75154.000000,0.299775,75.266900
2002, 新竹市,93.000000,2.455141,1648.000000,121586.000000,0.561880,79.364230
2002, 嘉義市,35.000000,1.306423,700.000000,67175.000000,0.332954,66.575818
2002, 金門縣,65.000000,11.029474,245.000000,19271.000000,0.512220,61.275040
2002, 連江縣,17.000000,19.399749,36.000000,-,0.493624,-
2003, 總計,14192.000000,6.278382,58671.000000,4938201.000000,0.323739,90.661593
2003, 臺灣地區,12783.000000,5.672570,58419.000000,4920053.000000,0.323371,90.772536
