"年度","縣市","食品衛生查驗件數","食品衛生查驗與規定不符件數","食品衛生查驗不合格率","營業場所衛生稽查輔導改善次數","營業場所衛生稽查家次","營業場所衛生稽查輔導改善率"
2013, 臺東縣,42431.000000,160.000000,0.377083,67.000000,1792.000000,3.738839
2013, 花蓮縣,18838.000000,64.000000,0.339739,180.000000,976.000000,18.442623
2013, 澎湖縣,38379.000000,239.000000,0.622736,5.000000,244.000000,2.049180
2013, 基隆市,19622.000000,179.000000,0.912241,626.000000,850.000000,73.647059
2013, 新竹市,36757.000000,286.000000,0.778083,206.000000,586.000000,35.153584
2013, 嘉義市,12774.000000,483.000000,3.781118,-,947.000000,-
2013, 金門縣,9993.000000,18.000000,0.180126,12.000000,437.000000,2.745995
2013, 連江縣,1023.000000,32.000000,3.128055,21.000000,231.000000,9.090909
2014, 總計,564130.000000,7873.000000,1.395600,8469.000000,37878.000000,22.358625
2014, 臺灣地區,557938.000000,7834.000000,1.404099,8429.000000,37098.000000,22.720901
2014, 新北市,67369.000000,263.000000,0.390387,588.000000,970.000000,60.618557
2014, 臺北市,88432.000000,638.000000,0.721458,972.000000,6910.000000,14.066570
2014, 桃園市,21873.000000,476.000000,2.176199,496.000000,1965.000000,25.241730
2014, 臺中市,21817.000000,324.000000,1.485080,619.000000,1875.000000,33.013333
2014, 臺南市,10261.000000,412.000000,4.015203,1183.000000,4032.000000,29.340278
2014, 高雄市,43636.000000,1912.000000,4.381703,516.000000,3842.000000,13.430505
2014, 宜蘭縣,15731.000000,279.000000,1.773568,811.000000,1361.000000,59.588538
2014, 新竹縣,13617.000000,242.000000,1.777190,58.000000,788.000000,7.360406
2014, 苗栗縣,25892.000000,106.000000,0.409393,218.000000,1534.000000,14.211213
2014, 彰化縣,33967.000000,571.000000,1.681043,116.000000,1111.000000,10.441044
2014, 南投縣,16127.000000,239.000000,1.481987,342.000000,1332.000000,25.675676
2014, 雲林縣,20980.000000,356.000000,1.696854,268.000000,531.000000,50.470810
2014, 嘉義縣,21447.000000,419.000000,1.953653,328.000000,942.000000,34.819533
2014, 屏東縣,44009.000000,82.000000,0.186326,669.000000,4324.000000,15.471785
2014, 臺東縣,12690.000000,1.000000,0.007880,92.000000,1599.000000,5.753596
2014, 花蓮縣,16346.000000,195.000000,1.192952,184.000000,1259.000000,14.614774
2014, 澎湖縣,26162.000000,526.000000,2.010550,3.000000,295.000000,1.016949
2014, 基隆市,16497.000000,226.000000,1.369946,647.000000,873.000000,74.112257
2014, 新竹市,25912.000000,325.000000,1.254245,298.000000,707.000000,42.149929
2014, 嘉義市,15173.000000,242.000000,1.594938,21.000000,848.000000,2.476415
2014, 金門縣,4952.000000,26.000000,0.525040,4.000000,480.000000,0.833333
2014, 連江縣,1240.000000,13.000000,1.048387,36.000000,300.000000,12.000000
